sid,phone_number,friendly_name,iso_country,sms_enabled,voice_enabled,mms_enabled,capabilities_fax,date_created
PN-AP-01,+17135550142,Andrew mobile,US,True,True,True,False,2019-11-04T09:00:00-06:00
PN-KH-01,+17135550311,Kim Hoang caregiver,US,True,True,True,False,2024-01-15T09:00:00-06:00
PN-LILY-01,+15125550187,Lily Pham (daughter HCPOA),US,True,True,True,False,2019-11-04T09:00:00-06:00
PN-MARCUS-01,+15125550394,Marcus Pham (son Austin),US,True,True,True,False,2019-11-04T09:00:00-06:00
PN-DANNY-01,+17135550465,Danny Tran RN backup medical proxy,US,True,True,True,False,2020-06-01T09:00:00-05:00
PN-MINH-01,+17135550508,Minh Le music director,US,True,True,True,False,2021-05-01T09:00:00-05:00
PN-KEVIN-01,+17135550612,Kevin Park LSA AP,US,True,True,True,False,2022-08-01T09:00:00-05:00
PN-JAMAL-01,+17135550619,Jamal Washington LSA AP,US,True,True,True,False,2023-08-15T09:00:00-05:00
PN-MARSH-01,+17135550701,Alan Marsh COISD Supt cell,US,True,True,False,False,2020-01-15T09:00:00-06:00
PN-ANGELA-01,+17135550777,Angela Brooks LSA PTA president,US,True,True,True,False,2024-09-01T09:00:00-05:00
PN-SANDOVAL-01,+17135550824,Dr Sandoval Houston Memory Center line,US,True,True,False,False,2024-03-14T09:00:00-05:00
PN-DUCVO-01,+17135550903,Thay Duc Vo Jade Lotus Temple,US,True,True,False,False,2021-05-01T09:00:00-05:00
PN-LSA-FRONT,+17135550100,LSA main office front desk,US,True,True,False,False,2018-08-01T09:00:00-05:00
PN-COISD-BOARD,+17135550050,COISD board meeting call-in bridge,US,False,True,False,False,2020-01-15T09:00:00-06:00
