id,customer,subscription,amount_due,amount_paid,currency,status,number,charge,created,due_date
in_JP0001,cus_Nc4e04ff,,120000,120000,usd,paid,JP-2026-Q3-001,ch_3QZ8f0013,1785107640,1786317240
in_JP0002,cus_Nc4e04ff,,120000,120000,usd,paid,JP-2026-Q3-002,ch_3QZ8f0085,1783179360,1784388960
in_JP0003,cus_Nc30fcf5,,60000,60000,usd,paid,JP-2026-Q3-003,ch_3QZ8f0145,1785681120,1786890720
in_JP0004,cus_Nf07e3df,,300000,300000,usd,paid,JP-2026-Q3-004,ch_3QZ8f0120,1790093580,1791303180
in_JP0005,cus_Nf07e3df,,120000,0,usd,open,JP-2026-Q3-005,,1788986040,1790195640
in_JP0006,cus_N45a84b8,,60000,60000,usd,paid,JP-2026-Q3-006,ch_3QZ8f0052,1786982880,1788192480
in_JP0007,cus_Nf07e3df,,300000,300000,usd,paid,JP-2026-Q3-007,ch_3QZ8f0142,1784225460,1785435060
in_JP0008,cus_N2b11f8e,,210000,210000,usd,paid,JP-2026-Q3-008,ch_3QZ8tF2Lp7nXa01k,1787066520,1788276120
in_JP0009,cus_Nc4e04ff,,140000,140000,usd,paid,JP-2026-Q3-009,ch_3QZ8f0133,1789072920,1790282520
in_JP0010,cus_N6c3ed52,,200000,200000,usd,paid,JP-2026-Q3-010,ch_3QZ8f0136,1783282620,1784492220
in_JP0011,cus_Na831fb6,,60000,60000,usd,paid,JP-2026-Q3-011,ch_3QZ8f0040,1789247700,1790457300
in_JP0012,cus_N6c3ed52,,200000,0,usd,open,JP-2026-Q3-012,,1790189040,1791398640
in_JP0013,cus_Nd3d24af,,200000,200000,usd,paid,JP-2026-Q3-013,ch_3QZ8f0146,1787922660,1789132260
in_JP0014,cus_Nc4e04ff,,140000,140000,usd,paid,JP-2026-Q3-014,ch_3QZ8f0151,1787869500,1789079100
in_JP0015,cus_Nd3d24af,,180000,180000,usd,paid,JP-2026-Q3-015,ch_3QZ8f0130,1786888560,1788098160
in_JP0016,cus_Nd3d24af,,180000,180000,usd,paid,JP-2026-Q3-016,ch_3QZ8f0016,1789238220,1790447820
in_JP0017,cus_N5a7adf9,,300000,300000,usd,paid,JP-2026-Q3-017,ch_3QZ8f0062,1783453080,1784662680
in_JP0018,cus_Nd3d24af,,200000,200000,usd,paid,JP-2026-Q3-018,ch_3QZ8f0082,1790445840,1791655440
in_JP0019,cus_Nd3d24af,,200000,200000,usd,paid,JP-2026-Q3-019,ch_3QZ8f0068,1785240300,1786449900
in_JP0020,cus_N81466c0,,60000,60000,usd,paid,JP-2026-Q3-020,ch_3QZ8f0138,1788648420,1789858020
in_JP0021,cus_Nf07e3df,,50000,50000,usd,paid,JP-2026-Q3-021,ch_3QZ8r3,1787419980,1788629580
in_JP0022,cus_N6c3ed52,,120000,120000,usd,paid,JP-2026-Q3-022,ch_3QZ8f0071,1786042860,1787252460
in_JP0023,cus_N968702b,,60000,0,usd,open,JP-2026-Q3-023,,1783774860,1784984460
in_JP0024,cus_Nd3d24af,,200000,200000,usd,paid,JP-2026-Q3-024,ch_3QZ8f0113,1783871460,1785081060
in_JP0025,cus_N45a84b8,,60000,60000,usd,paid,JP-2026-Q3-025,ch_3QZ8f0090,1789316460,1790526060
in_JP0026,cus_Nd3d24af,,200000,200000,usd,paid,JP-2026-Q3-026,ch_3QZ8f0106,1784326260,1785535860
in_JP0027,cus_N6c3ed52,,50000,50000,usd,paid,JP-2026-Q3-027,ch_3QZ8f0060,1787167200,1788376800
in_JP0028,cus_Nf07e3df,,75000,75000,usd,paid,JP-2026-Q3-028,ch_3QZ8f0162,1786553400,1787763000
in_JP0029,cus_Nf07e3df,,120000,120000,usd,paid,JP-2026-Q3-029,ch_3QZ8f0059,1783886520,1785096120
in_JP0030,cus_N2b11f8e,,200000,200000,usd,paid,JP-2026-Q3-030,ch_3QZ8f0046,1787865240,1789074840
in_JP0031,cus_Nf07e3df,,75000,75000,usd,paid,JP-2026-Q3-031,ch_3QZ8f0054,1787165760,1788375360
in_JP0032,cus_N2b11f8e,,220000,220000,usd,paid,JP-2026-Q3-032,ch_3QZ8f0035,1783607760,1784817360
in_JP0033,cus_Nf07e3df,,120000,120000,usd,paid,JP-2026-Q3-033,ch_3QZ8f0104,1790262480,1791472080
in_JP0034,cus_N81466c0,,60000,60000,usd,paid,JP-2026-Q3-034,ch_3QZ8f0030,1790014980,1791224580
in_JP0035,cus_N5a7adf9,,300000,300000,usd,paid,JP-2026-Q3-035,ch_3QZ8f0158,1786122360,1787331960
in_JP0036,cus_N2b11f8e,,200000,0,usd,open,JP-2026-Q3-036,,1784415300,1785624900
in_JP0037,cus_Nf07e3df,,300000,300000,usd,paid,JP-2026-Q3-037,ch_3QZ8f0033,1787919000,1789128600
in_JP0038,cus_Nc4e04ff,,120000,120000,usd,paid,JP-2026-Q3-038,ch_3QZ8f0096,1783612500,1784822100
in_JP0039,cus_Nd3d24af,,180000,180000,usd,paid,JP-2026-Q3-039,ch_3QZ8f0089,1785240180,1786449780
in_JP0040,cus_Nc30fcf5,,60000,60000,usd,paid,JP-2026-Q3-040,ch_3QZ8f0061,1788707820,1789917420
in_JP0041,cus_N81466c0,,60000,60000,usd,paid,JP-2026-Q3-041,ch_3QZ8f0087,1787057580,1788267180
in_JP0042,cus_Nd3d24af,,150000,150000,usd,paid,JP-2026-Q3-042,ch_3QZ8vH4Nr9pZa03m,1788961680,1790171280
in_JP0043,cus_Nc87cd30,,60000,60000,usd,paid,JP-2026-Q3-043,ch_3QZ8f0147,1786232280,1787441880
in_JP0044,cus_N4cf9367,,60000,60000,usd,paid,JP-2026-Q3-044,ch_3QZ8f0037,1783609920,1784819520
in_JP0045,cus_Nc4e04ff,,140000,140000,usd,paid,JP-2026-Q3-045,ch_3QZ8f0077,1790444520,1791654120
in_JP0046,cus_N63884a2,,60000,60000,usd,paid,JP-2026-Q3-046,ch_3QZ8f0093,1790360880,1791570480
in_JP0047,cus_N6c3ed52,,200000,200000,usd,paid,JP-2026-Q3-047,ch_3QZ8f0117,1788479160,1789688760
