id,customer,amount,currency,status,paid,refunded,amount_refunded,description,payment_intent,created
ch_0001,,223652,usd,succeeded,,,,Freight services invoice #1,,1727600000
ch_0002,,178832,usd,succeeded,,,,Freight services invoice #2,,1727686400
ch_0003,,102127,usd,succeeded,,,,Freight services invoice #3,,1727772800
ch_0004,,453938,usd,succeeded,,,,Freight services invoice #4,,1727859200
ch_0005,,504988,usd,succeeded,,,,Freight services invoice #5,,1727945600
ch_0006,,196504,usd,succeeded,,,,Freight services invoice #6,,1728032000
ch_0007,,482407,usd,succeeded,,,,Freight services invoice #7,,1728118400
ch_0008,,403851,usd,succeeded,,,,Freight services invoice #8,,1728204800
ch_0009,,487752,usd,succeeded,,,,Freight services invoice #9,,1728291200
ch_0010,,289726,usd,succeeded,,,,Freight services invoice #10,,1728377600
ch_0011,,149460,usd,succeeded,,,,Freight services invoice #11,,1728464000
ch_0012,,341383,usd,succeeded,,,,Freight services invoice #12,,1728550400
ch_0013,,50978,usd,succeeded,,,,Freight services invoice #13,,1728636800
ch_0014,,339094,usd,succeeded,,,,Freight services invoice #14,,1728723200
ch_0015,,527098,usd,succeeded,,,,Freight services invoice #15,,1728809600
