id,firstName,lastName,workEmail,department,jobTitle,location,hireDate,status,supervisorId
1000,Mateo,Cohen,mateo.cohen1000@ridgewoodcollegiate.ca,English,English Teacher,Main Building,2019-01-23,Active,
1001,Hassan,Costa,hassan.costa1001@ridgewoodcollegiate.ca,Mathematics,Numeracy Lead Teacher,Science Wing,2015-08-11,Active,1000
1002,Sofia,Chen,sofia.chen1002@ridgewoodcollegiate.ca,Science,Science Teacher,Arts Wing,2019-12-05,On Leave,1000
1003,Carlos,Mensah,carlos.mensah1003@ridgewoodcollegiate.ca,Social Studies,History Teacher,Gymnasium,2017-10-07,Terminated,1000
1004,Nina,Dupont,nina.dupont1004@ridgewoodcollegiate.ca,French,French Teacher,Portable A,2014-03-13,On Leave,1000
1005,Ravi,Vasquez,ravi.vasquez1005@ridgewoodcollegiate.ca,Physical Education,Athletics Coordinator,Portable B,2017-04-17,On Leave,1000
1006,Diego,Novak,diego.novak1006@ridgewoodcollegiate.ca,Arts,Visual Arts Teacher,Library Learning Commons,2024-06-30,Active,1000
1007,Lucia,Sharma,lucia.sharma1007@ridgewoodcollegiate.ca,Technology,Computer Studies Teacher,Main Office,2026-11-24,Active,1000
1008,Talia,Mensah,talia.mensah1008@ridgewoodcollegiate.ca,Guidance,Guidance Counsellor,Main Building,2023-10-13,Active,1000
1009,Maya,Bauer,maya.bauer1009@ridgewoodcollegiate.ca,Special Education,Education Assistant,Science Wing,2011-12-08,Active,1000
1010,Lucia,Dupont,lucia.dupont1010@ridgewoodcollegiate.ca,Office Administration,Attendance Secretary,Arts Wing,2019-02-07,Active,1000
1011,Hiro,Petrov,hiro.petrov1011@ridgewoodcollegiate.ca,Custodial,Maintenance Technician,Gymnasium,2012-10-30,Active,1000
1012,Yuki,Hernandez,yuki.hernandez1012@ridgewoodcollegiate.ca,English,English Teacher,Portable A,2024-12-08,Active,1000
1013,Leah,Bello,leah.bello1013@ridgewoodcollegiate.ca,Mathematics,Numeracy Lead Teacher,Portable B,2020-01-08,Active,1000
1014,Wei,Dupont,wei.dupont1014@ridgewoodcollegiate.ca,Science,Science Teacher,Library Learning Commons,2022-06-18,Active,1000
1015,Lucia,Patel,lucia.patel1015@ridgewoodcollegiate.ca,Social Studies,History Teacher,Main Office,2015-10-20,Active,1000
1016,Olivia,Rivera,olivia.rivera1016@ridgewoodcollegiate.ca,French,French Teacher,Main Building,2021-08-13,Active,1000
1017,Liam,Vasquez,liam.vasquez1017@ridgewoodcollegiate.ca,Physical Education,Athletics Coordinator,Science Wing,2024-11-17,Active,1000
1018,Bruno,Park,bruno.park1018@ridgewoodcollegiate.ca,Arts,Visual Arts Teacher,Arts Wing,2025-06-23,Active,1000
1019,Owen,Costa,owen.costa1019@ridgewoodcollegiate.ca,Technology,Computer Studies Teacher,Gymnasium,2017-12-06,Active,1000
1020,Eduardo,Santos,eduardo.santos1020@ridgewoodcollegiate.ca,Guidance,Guidance Counsellor,Portable A,2024-06-30,Active,1000
1021,Lucas,Adeyemi,lucas.adeyemi1021@ridgewoodcollegiate.ca,Special Education,Education Assistant,Portable B,2021-05-03,Active,1000
1022,Hassan,Thompson,hassan.thompson1022@ridgewoodcollegiate.ca,Office Administration,Attendance Secretary,Library Learning Commons,2024-06-05,Active,1000
1023,Diego,Wallace,diego.wallace1023@ridgewoodcollegiate.ca,Custodial,Maintenance Technician,Main Office,2017-02-26,Terminated,1000
1024,Emma,Petrov,emma.petrov1024@ridgewoodcollegiate.ca,English,English Teacher,Main Building,2018-04-18,Active,1000
1025,Talia,Chen,talia.chen1025@ridgewoodcollegiate.ca,Mathematics,Numeracy Lead Teacher,Science Wing,2014-03-27,Active,1000
1026,Lucia,Serrano,lucia.serrano1026@ridgewoodcollegiate.ca,Science,Science Teacher,Arts Wing,2013-10-01,Active,1000
1027,Marcus,Antoine,marcus.antoine1027@ridgewoodcollegiate.ca,Social Studies,History Teacher,Gymnasium,2025-08-03,Active,1000
1028,Leah,Dupont,leah.dupont1028@ridgewoodcollegiate.ca,French,French Teacher,Portable A,2013-09-28,Active,1000
1029,Ethan,Boateng,ethan.boateng1029@ridgewoodcollegiate.ca,Physical Education,Athletics Coordinator,Portable B,2020-02-09,Active,1000
1030,Diego,Ivanov,diego.ivanov1030@ridgewoodcollegiate.ca,Arts,Visual Arts Teacher,Library Learning Commons,2018-08-30,Active,1000
1031,Lucia,Dubois,lucia.dubois1031@ridgewoodcollegiate.ca,Technology,Computer Studies Teacher,Main Office,2017-02-23,Active,1000
1032,James,Silva,james.silva1032@ridgewoodcollegiate.ca,Guidance,Guidance Counsellor,Main Building,2023-05-04,Active,1000
1033,Nina,Wallace,nina.wallace1033@ridgewoodcollegiate.ca,Special Education,Education Assistant,Science Wing,2023-07-17,Active,1000
1034,Ravi,Adeyemi,ravi.adeyemi1034@ridgewoodcollegiate.ca,Office Administration,Attendance Secretary,Arts Wing,2024-10-14,Active,1000
1035,Lucas,Patel,lucas.patel1035@ridgewoodcollegiate.ca,Custodial,Maintenance Technician,Gymnasium,2023-08-18,Active,1000
1036,Daniel,Mbeki,daniel.mbeki1036@ridgewoodcollegiate.ca,English,English Teacher,Portable A,2024-03-01,Active,1000
