subscriber_id,email,first_name,last_name,signup_date,segment,last_open_date,engagement_score
sub_00001,logan.brown000@gmail.com,Logan,Brown,2024-01-13,brand_lead,2026-07-22,74
sub_00002,lee.smith001@gmail.com,Lee,Smith,2023-06-15,general,2026-07-26,79
sub_00003,river.yamamoto002@gmail.com,River,Yamamoto,2025-05-25,collector_print,2026-10-05,95
sub_00004,phoenix.rivera003@gmail.com,Phoenix,Rivera,2025-05-04,brand_lead,2026-08-05,27
sub_00005,kai.mendez004@gmail.com,Kai,Mendez,2023-12-21,brand_lead,2026-09-06,25
sub_00006,tatum.brown005@gmail.com,Tatum,Brown,2024-12-16,general,2026-09-22,22
sub_00007,drew.mendez006@gmail.com,Drew,Mendez,2024-11-14,restaurant_lead,2026-09-17,14
sub_00008,drew.rivera007@gmail.com,Drew,Rivera,2024-05-12,general,2026-10-27,72
sub_00009,hayden.park008@gmail.com,Hayden,Park,2024-04-12,collector_print,2026-09-03,68
sub_00010,drew.mendez009@gmail.com,Drew,Mendez,2024-02-27,collector_print,2026-09-24,70
sub_00011,sage.kim010@gmail.com,Sage,Kim,2026-01-28,collector_print,2026-09-28,6
sub_00012,sage.zhang011@gmail.com,Sage,Zhang,2023-03-10,collector_print,2026-10-13,51
sub_00013,morgan.adams012@gmail.com,Morgan,Adams,2025-11-04,collector_print,2026-08-19,82
sub_00014,phoenix.iyer013@gmail.com,Phoenix,Iyer,2026-09-08,collector_print,2026-07-03,59
sub_00015,drew.rivera014@gmail.com,Drew,Rivera,2025-10-13,general,2026-10-19,17
sub_00016,blake.zhang015@gmail.com,Blake,Zhang,2025-09-15,collector_print,2026-09-16,34
sub_00017,kai.tanaka016@gmail.com,Kai,Tanaka,2024-10-22,restaurant_lead,2026-10-14,10
sub_00018,reese.iyer017@gmail.com,Reese,Iyer,2024-06-21,collector_print,2026-10-16,57
sub_00019,phoenix.davis018@gmail.com,Phoenix,Davis,2026-06-17,collector_print,2026-09-21,64
sub_00020,casey.harris019@gmail.com,Casey,Harris,2024-09-14,general,2026-07-27,33
sub_00021,noa.park020@gmail.com,Noa,Park,2023-07-20,brand_lead,2026-07-06,85
sub_00022,dakota.adams021@gmail.com,Dakota,Adams,2025-02-17,collector_print,2026-09-21,64
sub_00023,skylar.mendez022@gmail.com,Skylar,Mendez,2023-07-01,brand_lead,2026-07-12,29
