Date	Description	Category	Amount_USD	Balance_USD
2026-01-01	Opening balance			9420.00
2026-01-02	Payroll deposit, Oakbridge Law	Income	5250.00	14670.00
2026-01-02	Payroll deposit, Broadleaf Tech	Income	3650.00	18320.00
2026-01-03	Liberty Bell Home Lending, mortgage	Housing	-3200.00	15120.00
2026-01-05	BMW Financial Services, auto	Auto	-520.00	14600.00
2026-01-06	PSE&G, utilities	Utilities	-186.00	14414.00
2026-01-07	Whole Foods Montclair	Groceries	-142.18	14271.82
2026-01-09	Osteria Fresco	Dining	-98.40	14173.42
2026-01-10	Shell, fuel	Auto	-58.20	14115.22
2026-01-12	Transfer to IVF fund (****7741)	Savings	-450.00	13665.22
2026-01-12	Transfer to emergency fund (****5510)	Savings	-1000.00	12665.22
2026-01-14	Spotify Premium family	Subscriptions	-16.99	12648.23
2026-01-15	Montclair Athletic Club	Health	-89.00	12559.23
2026-01-16	Punjab Grill Edison	Dining	-76.30	12482.93
2026-01-18	Amazon	Shopping	-64.27	12418.66
2026-01-20	Walgreens #6612, Rx	Health	-38.49	12380.17
2026-01-22	NJ Transit monthly pass	Transit	-202.00	12178.17
2026-01-26	Brooks Brothers	Shopping	-219.00	11959.17
2026-01-28	Fidelity 401k contribution	Savings	-1750.00	10209.17
2026-01-31	Interest earned	Income	2.14	10211.31
