conversation_id,wa_id,started_at,last_message_at,origin,within_24h_window
chat_ravi_kapoor,+17325550539,2026-09-29T18:30:00-04:00,2026-09-27T19:00:00-04:00,user_initiated,true
chat_priya,+17325550188,2026-09-28T13:00:00-04:00,2026-09-28T13:15:00-04:00,user_initiated,true
chat_family_group,+17325550310,2026-09-27T17:30:00-04:00,2026-09-27T18:00:00-04:00,user_initiated,true
chat_amit,+17325550771,2026-09-24T16:45:00-04:00,2026-09-24T17:00:00-04:00,user_initiated,true
chat_sunita,+17325550623,2026-09-29T09:30:00-04:00,2026-09-29T09:30:00-04:00,user_initiated,true
conv_bg_000,17325555565,2026-07-06T09:00:00-04:00,2026-08-23T09:00:00-04:00,business_initiated,true
conv_bg_001,17325554982,2026-09-03T09:00:00-04:00,2026-08-25T09:00:00-04:00,business_initiated,true
conv_bg_002,17325559654,2026-09-15T09:00:00-04:00,2026-08-01T09:00:00-04:00,business_initiated,true
conv_bg_003,17325556978,2026-08-26T09:00:00-04:00,2026-07-23T09:00:00-04:00,business_initiated,true
conv_bg_004,17325557321,2026-09-27T09:00:00-04:00,2026-08-12T09:00:00-04:00,business_initiated,true
conv_bg_005,17325558787,2026-06-12T09:00:00-04:00,2026-09-22T09:00:00-04:00,business_initiated,true
conv_bg_006,17325558642,2026-09-28T09:00:00-04:00,2026-06-13T09:00:00-04:00,business_initiated,true
conv_bg_007,17325554339,2026-08-19T09:00:00-04:00,2026-07-04T09:00:00-04:00,business_initiated,true
conv_bg_008,17325558272,2026-09-25T09:00:00-04:00,2026-09-16T09:00:00-04:00,business_initiated,true
conv_bg_009,17325553345,2026-09-15T09:00:00-04:00,2026-06-16T09:00:00-04:00,business_initiated,true
conv_bg_010,17325552993,2026-09-24T09:00:00-04:00,2026-07-02T09:00:00-04:00,business_initiated,true
conv_bg_011,17325556979,2026-07-18T09:00:00-04:00,2026-06-12T09:00:00-04:00,business_initiated,true
conv_bg_012,17325559386,2026-09-03T09:00:00-04:00,2026-08-15T09:00:00-04:00,business_initiated,true
conv_bg_013,17325555360,2026-09-05T09:00:00-04:00,2026-09-17T09:00:00-04:00,business_initiated,true
conv_bg_014,17325555807,2026-06-11T09:00:00-04:00,2026-07-25T09:00:00-04:00,business_initiated,true
conv_bg_015,17325557736,2026-08-26T09:00:00-04:00,2026-06-13T09:00:00-04:00,business_initiated,true
conv_bg_016,17325552947,2026-06-08T09:00:00-04:00,2026-09-25T09:00:00-04:00,business_initiated,true
conv_bg_017,17325554286,2026-06-06T09:00:00-04:00,2026-08-18T09:00:00-04:00,business_initiated,true
conv_bg_018,17325555841,2026-08-20T09:00:00-04:00,2026-07-02T09:00:00-04:00,business_initiated,true
conv_bg_019,17325551825,2026-07-12T09:00:00-04:00,2026-07-06T09:00:00-04:00,business_initiated,true
conv_bg_020,17325559810,2026-06-20T09:00:00-04:00,2026-07-04T09:00:00-04:00,business_initiated,true
conv_bg_021,17325554671,2026-08-25T09:00:00-04:00,2026-06-02T09:00:00-04:00,business_initiated,true
conv_bg_022,17325556174,2026-09-10T09:00:00-04:00,2026-07-16T09:00:00-04:00,business_initiated,true
conv_bg_023,17325551545,2026-08-20T09:00:00-04:00,2026-09-02T09:00:00-04:00,business_initiated,true
conv_bg_024,17325558686,2026-09-24T09:00:00-04:00,2026-09-17T09:00:00-04:00,business_initiated,true
conv_bg_025,17325557789,2026-09-05T09:00:00-04:00,2026-08-20T09:00:00-04:00,business_initiated,true
conv_bg_026,17325555785,2026-08-05T09:00:00-04:00,2026-09-20T09:00:00-04:00,business_initiated,true
conv_bg_027,17325559621,2026-07-10T09:00:00-04:00,2026-08-26T09:00:00-04:00,business_initiated,true
conv_bg_028,17325557038,2026-06-11T09:00:00-04:00,2026-07-27T09:00:00-04:00,business_initiated,true
conv_bg_029,17325555258,2026-08-13T09:00:00-04:00,2026-06-11T09:00:00-04:00,business_initiated,true
conv_bg_030,17325557209,2026-09-06T09:00:00-04:00,2026-06-24T09:00:00-04:00,business_initiated,true
conv_bg_031,17325553898,2026-09-10T09:00:00-04:00,2026-09-11T09:00:00-04:00,business_initiated,true
conv_bg_032,17325553842,2026-06-26T09:00:00-04:00,2026-08-26T09:00:00-04:00,business_initiated,true
conv_bg_033,17325551092,2026-09-07T09:00:00-04:00,2026-06-14T09:00:00-04:00,business_initiated,true
conv_bg_034,17325559214,2026-06-02T09:00:00-04:00,2026-08-06T09:00:00-04:00,business_initiated,true
