message_id,to_email,from_email,subject,template_id,status,opens,clicks,sent_at
sg_msg_0001,list_esub_master,yves@cuisinedunord.com,Cuisine du Nord update 2024-01,tmpl_market_reminder,delivered,130,15,2024-01-01T09:00:00Z
sg_msg_0002,list_corporate,yves@cuisinedunord.com,Cuisine du Nord update 2024-02,tmpl_reveillon_preorder,delivered,137,18,2024-02-04T09:00:00Z
sg_msg_0003,list_reveillon_2026,yves@cuisinedunord.com,Cuisine du Nord update 2024-03,tmpl_new_client_intro,delivered,144,21,2024-03-07T09:00:00Z
sg_msg_0004,list_summer_2027,yves@cuisinedunord.com,Cuisine du Nord update 2024-04,tmpl_summer_schedule_change,delivered,151,24,2024-04-10T09:00:00Z
sg_msg_0005,list_esub_master,yves@cuisinedunord.com,Cuisine du Nord update 2024-05,tmpl_market_reminder,delivered,158,27,2024-05-13T09:00:00Z
sg_msg_0006,list_corporate,yves@cuisinedunord.com,Cuisine du Nord update 2024-06,tmpl_reveillon_preorder,delivered,165,30,2024-06-16T09:00:00Z
sg_msg_0007,list_reveillon_2026,yves@cuisinedunord.com,Cuisine du Nord update 2024-07,tmpl_new_client_intro,delivered,172,33,2024-07-19T09:00:00Z
sg_msg_0008,list_summer_2027,yves@cuisinedunord.com,Cuisine du Nord update 2024-08,tmpl_summer_schedule_change,delivered,179,36,2024-08-22T09:00:00Z
sg_msg_0009,list_esub_master,yves@cuisinedunord.com,Cuisine du Nord update 2024-09,tmpl_market_reminder,delivered,186,39,2024-09-25T09:00:00Z
sg_msg_0010,list_corporate,yves@cuisinedunord.com,Cuisine du Nord update 2024-10,tmpl_reveillon_preorder,delivered,193,42,2024-10-01T09:00:00Z
sg_msg_0011,list_reveillon_2026,yves@cuisinedunord.com,Cuisine du Nord update 2024-11,tmpl_new_client_intro,delivered,200,45,2024-11-04T09:00:00Z
sg_msg_0012,list_summer_2027,yves@cuisinedunord.com,Cuisine du Nord update 2024-12,tmpl_summer_schedule_change,delivered,207,48,2024-12-07T09:00:00Z
sg_msg_0013,list_esub_master,yves@cuisinedunord.com,Cuisine du Nord update 2024-01,tmpl_market_reminder,delivered,214,51,2024-01-10T09:00:00Z
sg_msg_0014,list_corporate,yves@cuisinedunord.com,Cuisine du Nord update 2024-02,tmpl_reveillon_preorder,delivered,221,54,2024-02-13T09:00:00Z
sg_msg_0015,list_reveillon_2026,yves@cuisinedunord.com,Cuisine du Nord update 2024-03,tmpl_new_client_intro,delivered,228,57,2024-03-16T09:00:00Z
sg_msg_0016,list_summer_2027,yves@cuisinedunord.com,Cuisine du Nord update 2024-04,tmpl_summer_schedule_change,delivered,235,60,2024-04-19T09:00:00Z
sg_msg_0017,list_esub_master,yves@cuisinedunord.com,Cuisine du Nord update 2024-05,tmpl_market_reminder,delivered,242,63,2024-05-22T09:00:00Z
sg_msg_0018,list_corporate,yves@cuisinedunord.com,Cuisine du Nord update 2024-06,tmpl_reveillon_preorder,delivered,249,16,2024-06-25T09:00:00Z
sg_msg_0019,list_reveillon_2026,yves@cuisinedunord.com,Cuisine du Nord update 2024-07,tmpl_new_client_intro,delivered,256,19,2024-07-01T09:00:00Z
sg_msg_0020,list_summer_2027,yves@cuisinedunord.com,Cuisine du Nord update 2024-08,tmpl_summer_schedule_change,delivered,263,22,2024-08-04T09:00:00Z
sg_msg_0021,list_esub_master,yves@cuisinedunord.com,Cuisine du Nord update 2024-09,tmpl_market_reminder,delivered,270,25,2024-09-07T09:00:00Z
sg_msg_0022,list_corporate,yves@cuisinedunord.com,Cuisine du Nord update 2024-10,tmpl_reveillon_preorder,delivered,277,28,2024-10-10T09:00:00Z
