Date	Description	Category	Amount	Balance
2026-01-01	Opening Balance	Balance	0.00	1985.00
2026-01-01	Brooklyn Court Apartments Rent ACH	Housing	-875.00	1110.00
2026-01-02	ORCA Student Pass Reload	Transit	-54.00	1056.00
2026-01-03	Figma Professional Monthly	Software	-15.00	1041.00
2026-01-05	Spotify Student	Subscription	-5.99	1035.01
2026-01-06	Instacart QFC Grocery	Groceries	-92.40	942.61
2026-01-07	Crunchyroll	Subscription	-7.99	934.62
2026-01-08	iCloud Storage	Subscription	-2.99	931.63
2026-01-08	Cafe Allegro	Coffee	-5.25	926.38
2026-01-09	Gusto Cascadia Makerspace Pay	Income	280.70	1207.08
2026-01-10	T-Mobile Line Share	Phone	-45.00	1162.08
2026-01-11	Honey Bee Tea	Boba	-6.00	1156.08
2026-01-12	Cafe Allegro	Coffee	-5.25	1150.83
2026-01-13	itch.io Asset Pack	Game Dev	-12.00	1138.83
2026-01-14	DoorDash Kizuki Ramen	Dining	-23.45	1115.38
2026-01-14	Mox Boarding House Dice	Hobby	-14.80	1100.58
2026-01-16	Stripe Payout Greenleaf Youth Arts	Freelance	300.00	1400.58
2026-01-16	Cafe Allegro	Coffee	-5.25	1395.33
2026-01-17	Kizuki Ramen Dinner	Dining	-38.20	1357.13
2026-01-18	Honey Bear Boba	Boba	-6.50	1350.63
2026-01-19	Cascadia Art Supply	Art Supplies	-28.75	1321.88
2026-01-20	Instacart QFC Grocery	Groceries	-88.10	1233.78
2026-01-21	Cafe Allegro	Coffee	-5.25	1228.53
2026-01-22	Honey Bee Tea	Boba	-6.00	1222.53
2026-01-23	Gusto Cascadia Makerspace Pay	Income	280.70	1503.23
2026-01-24	Porkbun Domain and Hosting	Software	-12.00	1491.23
2026-01-25	Daiso Household	Misc	-16.40	1474.83
2026-01-27	DoorDash Din Tai Fung	Dining	-27.90	1446.93
2026-01-28	Cafe Allegro	Coffee	-5.25	1441.68
2026-01-29	Honey Bee Tea	Boba	-6.00	1435.68
2026-01-30	Transfer to PSCCU Savings	Transfer	-50.00	1385.68
2026-01-31	Closing Balance	Balance	0.00	1385.68
