Day	Time	Child	Activity	Location	Transport	Notes
Monday	15:45	Lily	Gymnastics conditioning	Tacoma Gymnastics Academy	Jennifer drives	Level 4 group
Monday	18:30	Ethan	Homework block	Home	-	Sensory break at 18:00
Tuesday	16:00	Ethan	FIRST LEGO League build	Evergreen Elementary	Brian picks up	Team Gear Grinders
Tuesday	18:00	Family	Pho King takeout night	Home	-	Standing Tuesday order
Wednesday	15:45	Lily	Gymnastics practice	Tacoma Gymnastics Academy	Jennifer drives	2 hour session
Thursday	16:00	Ethan	Robotics programming	Evergreen Elementary	Brian picks up	Bring laptop
Thursday	17:30	Lily	Watercolor with Mom	Home studio	-	Fine motor practice
Friday	17:00	Family	Pizza from Proctor Pizza Co	Home	-	Game night follows
Friday	19:00	Family	Board game night	Home	-	Ticket to Ride or Azul
Saturday	09:00	Lily	Gymnastics open gym	Tacoma Gymnastics Academy	Brian drives	Optional
Saturday	10:00	Ethan	Robotics tinker time	Garage workshop	-	With Brian
Sunday	16:00	Family	Dinner at Dorothy's	Dorothy Long home	Jennifer drives	Weekly rotation
