sys_id,user_name,name,email,title,department,active
usr0000,genet.woldu.vol0@example.com,Genet Woldu,genet.woldu.vol0@example.com,Screening volunteer,Community Outreach,true
usr0001,kidan.gurung.vol1@example.com,Kidan Gurung,kidan.gurung.vol1@example.com,Screening volunteer,Community Outreach,true
usr0002,nardos.magar.vol2@example.com,Nardos Magar,nardos.magar.vol2@example.com,Screening volunteer,Community Outreach,true
usr0003,selam.basnet.vol3@example.com,Selam Basnet,selam.basnet.vol3@example.com,Screening volunteer,Community Outreach,true
usr0004,zena.johnson.vol4@example.com,Zena Johnson,zena.johnson.vol4@example.com,Screening volunteer,Community Outreach,true
usr0005,aarav.taylor.vol5@example.com,Aarav Taylor,aarav.taylor.vol5@example.com,Screening volunteer,Community Outreach,true
usr0006,deepak.gebre.vol6@example.com,Deepak Gebre,deepak.gebre.vol6@example.com,Screening volunteer,Community Outreach,true
usr0007,manish.girma.vol7@example.com,Manish Girma,manish.girma.vol7@example.com,Screening volunteer,Community Outreach,true
usr0008,rita.woldu.vol8@example.com,Rita Woldu,rita.woldu.vol8@example.com,Screening volunteer,Community Outreach,true
usr0009,sushma.gurung.vol9@example.com,Sushma Gurung,sushma.gurung.vol9@example.com,Screening volunteer,Community Outreach,true
usr0010,dipesh.magar.vol10@example.com,Dipesh Magar,dipesh.magar.vol10@example.com,Screening volunteer,Community Outreach,true
usr0011,sarita.basnet.vol11@example.com,Sarita Basnet,sarita.basnet.vol11@example.com,Screening volunteer,Community Outreach,true
usr0012,mary.johnson.vol12@example.com,Mary Johnson,mary.johnson.vol12@example.com,Screening volunteer,Community Outreach,true
usr0013,michael.taylor.vol13@example.com,Michael Taylor,michael.taylor.vol13@example.com,Screening volunteer,Community Outreach,true
usr0014,karen.gebre.vol14@example.com,Karen Gebre,karen.gebre.vol14@example.com,Screening volunteer,Community Outreach,true
usr0015,abebe.girma.vol15@example.com,Abebe Girma,abebe.girma.vol15@example.com,Screening volunteer,Community Outreach,true
usr0016,dawit.woldu.vol16@example.com,Dawit Woldu,dawit.woldu.vol16@example.com,Screening volunteer,Community Outreach,true
usr0017,hanna.gurung.vol17@example.com,Hanna Gurung,hanna.gurung.vol17@example.com,Screening volunteer,Community Outreach,true
usr0018,liya.magar.vol18@example.com,Liya Magar,liya.magar.vol18@example.com,Screening volunteer,Community Outreach,true
usr0019,rahel.basnet.vol19@example.com,Rahel Basnet,rahel.basnet.vol19@example.com,Screening volunteer,Community Outreach,true
usr0020,tesfay.johnson.vol20@example.com,Tesfay Johnson,tesfay.johnson.vol20@example.com,Screening volunteer,Community Outreach,true
usr0021,meron.taylor.vol21@example.com,Meron Taylor,meron.taylor.vol21@example.com,Screening volunteer,Community Outreach,true
usr0022,anjali.gebre.vol22@example.com,Anjali Gebre,anjali.gebre.vol22@example.com,Screening volunteer,Community Outreach,true
usr0023,gita.girma.vol23@example.com,Gita Girma,gita.girma.vol23@example.com,Screening volunteer,Community Outreach,true
usr0024,nabin.woldu.vol24@example.com,Nabin Woldu,nabin.woldu.vol24@example.com,Screening volunteer,Community Outreach,true
usr0025,sabina.gurung.vol25@example.com,Sabina Gurung,sabina.gurung.vol25@example.com,Screening volunteer,Community Outreach,true
usr0026,ujjwal.magar.vol26@example.com,Ujjwal Magar,ujjwal.magar.vol26@example.com,Screening volunteer,Community Outreach,true
usr0027,laxmi.basnet.vol27@example.com,Laxmi Basnet,laxmi.basnet.vol27@example.com,Screening volunteer,Community Outreach,true
usr0028,binod.johnson.vol28@example.com,Binod Johnson,binod.johnson.vol28@example.com,Screening volunteer,Community Outreach,true
usr0029,robert.taylor.vol29@example.com,Robert Taylor,robert.taylor.vol29@example.com,Screening volunteer,Community Outreach,true
usr0030,patricia.gebre.vol30@example.com,Patricia Gebre,patricia.gebre.vol30@example.com,Screening volunteer,Community Outreach,true
usr0031,david.girma.vol31@example.com,David Girma,david.girma.vol31@example.com,Screening volunteer,Community Outreach,true
usr0032,almaz.woldu.vol32@example.com,Almaz Woldu,almaz.woldu.vol32@example.com,Screening volunteer,Community Outreach,true
usr0033,feven.gurung.vol33@example.com,Feven Gurung,feven.gurung.vol33@example.com,Screening volunteer,Community Outreach,true
usr0034,isaias.magar.vol34@example.com,Isaias Magar,isaias.magar.vol34@example.com,Screening volunteer,Community Outreach,true
