contact_id,name,first_name,last_name,email,is_customer,is_supplier,status,account_number
X_C001,Harborview Property Mgmt LLC,maria@harborview-walker.com,Maria,Suarez,true,True,False,
X_C002,Helen Bjornson,h.bjornson1924@gmail.com,Helen,Bjornson,ACTIVE,True,False,
X_C003,Janet Kowalski,jkowalski.bayview@gmail.com,Janet,Kowalski,ACTIVE,True,False,
X_C004,Ron Heaton,heaton.house@gmail.com,Ron,Heaton,ACTIVE,True,False,
X_V001,Brewster Electric Supply Inc,m.voss@brewsterelectric.com,Marcus,Voss,ACTIVE,False,True,
X_V002,Midwest Conduit Inc,orders@midwestconduit.com,,,ACTIVE,False,True,
X_V003,Vorhees Financial Services LLC,linda@vorheesfinancial.com,Linda,Vorhees,ACTIVE,False,True,
X_V004,First Citizens Bank,statements@firstcitizens-business.com,,,ACTIVE,False,True,
xc_nyz1c6eg,kahx chrkdc,6zgog,kfbw0z,tom.kpn3@yahoo.com,+14145556718,123 wjhs St,Milwaukee,WI
xc_zz7wqw1a,qu64 yembso,eapod,bv07mm,lisa.ninu@yahoo.com,+14145559928,123 bomz St,Milwaukee,WI
xc_4jyjqwlw,6zxh w9hx7j,f57vk,rzeo9b,tom.s31j@yahoo.com,+14145559015,123 cgbm St,Milwaukee,WI
xc_ykbog5zx,mlxf q9z0aj,gv2s0,dkhovi,sarah.thgx@gmail.com,+14145556569,123 phwy St,Milwaukee,WI
xc_nrof6ku5,il45 l2fuvr,qn4b7,tvttqb,lisa.jrqb@chandlerelectric.com,+14145557387,123 srf6 St,Milwaukee,WI
xc_mvhho4pc,ibiv ktm051,u69aj,tx3ach,sarah.g4wv@chandlerelectric.com,+14145554699,123 woqz St,Milwaukee,WI
xc_5ga6c6ip,9b8k p9t50s,ap5bp,wruxri,lisa.bk8f@gmail.com,+14145558778,123 xvxq St,Milwaukee,WI
xc_yq20g17d,pmcv cm9vnh,vkqm2,i5391l,sarah.jwkw@gmail.com,+14145558121,123 e2sc St,Milwaukee,WI
xc_bdsjt5qi,488n da7vdz,tiwtm,y6u3u0,lisa.npse@chandlerelectric.com,+14145551133,123 0y2f St,Milwaukee,WI
xc_8g7xefq1,ancf 9y3tvg,pho1t,5qk62h,mike.t0v7@gmail.com,+14145555709,123 f35e St,Milwaukee,WI
