Week_Ending	Barber	Amount_USD	Payment_Method	Status	Notes
2025-10-04	Darius Webb	275.00	Bank transfer	Received	
2025-10-04	Andre Coleman	275.00	Bank transfer	Received	
2025-10-11	Darius Webb	275.00	Bank transfer	Received	
2025-10-11	Andre Coleman	275.00	Bank transfer	Received	
2025-10-18	Darius Webb	275.00	Bank transfer	Received	
2025-10-18	Andre Coleman	275.00	Bank transfer	Received	
2025-10-25	Darius Webb	275.00	Bank transfer	Received	
2025-10-25	Andre Coleman	275.00	Cash	Received	Paid cash, bank app down
2025-11-01	Darius Webb	275.00	Bank transfer	Received	
2025-11-01	Andre Coleman	275.00	Bank transfer	Received	
2025-11-08	Darius Webb	275.00	Bank transfer	Received	
2025-11-08	Andre Coleman	275.00	Bank transfer	Received	
2025-11-15	Darius Webb	275.00	Bank transfer	Received	Monthly reconciliation complete
2025-11-15	Andre Coleman	275.00	Bank transfer	Received	Monthly reconciliation complete
2025-11-22	Darius Webb	275.00	Bank transfer	Received	
2025-11-22	Andre Coleman	275.00	Bank transfer	Received	
2025-11-29	Darius Webb	275.00	Bank transfer	Received	Short week, Thanksgiving Thu and Fri off
2025-11-29	Andre Coleman	275.00	Bank transfer	Received	Short week, Thanksgiving Thu and Fri off
2025-12-06	Darius Webb	275.00	Bank transfer	Received	
2025-12-06	Andre Coleman	275.00	Bank transfer	Received	
2025-12-13	Darius Webb	275.00	Bank transfer	Received	Pre-holiday push, strong walk-in week
2025-12-13	Andre Coleman	275.00	Bank transfer	Received	Pre-holiday push, strong walk-in week
2025-12-20	Darius Webb	275.00	Bank transfer	Received	
2025-12-20	Andre Coleman	275.00	Bank transfer	Received	
2025-12-27	Darius Webb	275.00	Bank transfer	Received	Shop closed Dec 24 to 26
2025-12-27	Andre Coleman	275.00	Bank transfer	Received	Shop closed Dec 24 to 26
2026-01-03	Darius Webb	275.00	Bank transfer	Received	
2026-01-03	Andre Coleman	275.00	Bank transfer	Received	
2026-01-10	Darius Webb	275.00	Bank transfer	Received	
2026-01-10	Andre Coleman	275.00	Bank transfer	Received	
2026-01-17	Darius Webb	275.00	Bank transfer	Received	
2026-01-17	Andre Coleman	275.00	Bank transfer	Received	
2026-01-24	Darius Webb	275.00	Bank transfer	Received	
2026-01-24	Andre Coleman	275.00	Bank transfer	Received	
2026-01-31	Darius Webb	275.00	Bank transfer	Received	January complete, 5 rental weeks this month
2026-01-31	Andre Coleman	275.00	Bank transfer	Received	January complete, 5 rental weeks this month
2026-02-07	Darius Webb	275.00	Bank transfer	Received	
2026-02-07	Andre Coleman	275.00	Bank transfer	Received	
2026-02-14	Darius Webb	275.00	Bank transfer	Received	Valentine's week, strong walk-ins
2026-02-14	Andre Coleman	275.00	Bank transfer	Received	Valentine's week, strong walk-ins
2026-02-21	Darius Webb	275.00	Bank transfer	Received	
2026-02-21	Andre Coleman	275.00	Bank transfer	Received	
2026-02-28	Darius Webb	275.00	Bank transfer	Received	February complete
2026-02-28	Andre Coleman	275.00	Bank transfer	Received	February complete
