gid,name,project_gid,section_gid,assignee_gid,completed,due_on,notes,created_at,modified_at
1205000000004001,Audit current site IA,1203000000002001,1204000000003003,1202000000001001,true,2026-02-01,Document existing page hierarchy,2026-01-13T10:00:00.000Z,2026-02-01T16:00:00.000Z
1205000000004002,Design new homepage hero,1203000000002001,1204000000003002,1202000000001004,false,2026-06-10,Three variants for A/B test,2026-01-20T09:30:00.000Z,2026-05-22T12:00:00.000Z
1205000000004003,Migrate blog to new CMS,1203000000002001,1204000000003001,,false,2026-06-25,Includes redirect mapping,2026-02-05T11:00:00.000Z,2026-05-10T08:00:00.000Z
1205000000004004,Accessibility pass WCAG AA,1203000000002001,1204000000003001,1202000000001005,false,,Color contrast and alt text,2026-03-01T13:00:00.000Z,2026-04-18T09:00:00.000Z
1205000000004005,Set up offline cache layer,1203000000002002,1204000000003005,1202000000001002,false,2026-06-15,IndexedDB sync strategy,2026-02-10T15:00:00.000Z,2026-05-24T17:30:00.000Z
1205000000004006,Implement push notifications,1203000000002002,1204000000003004,1202000000001002,false,2026-07-01,APNs and FCM,2026-02-12T10:00:00.000Z,2026-03-15T10:00:00.000Z
1205000000004007,Rewrite auth flow,1203000000002002,1204000000003006,1202000000001004,true,2026-04-30,Biometric login,2026-02-15T09:00:00.000Z,2026-04-30T18:00:00.000Z
1205000000004008,Crash-free rate dashboard,1203000000002002,1204000000003005,1202000000001005,false,2026-06-20,Wire to analytics SDK,2026-03-02T14:00:00.000Z,2026-05-20T11:00:00.000Z
1205000000004009,Draft onboarding email series,1203000000002003,1204000000003008,1202000000001003,true,2026-04-10,Five-touch nurture,2026-03-21T09:00:00.000Z,2026-04-10T15:00:00.000Z
1205000000004010,Build in-app product tour,1203000000002003,1204000000003007,1202000000001001,false,2026-06-30,Interactive checklist,2026-03-25T10:30:00.000Z,2026-05-25T09:00:00.000Z
1205000000004011,Reduce signup form fields,1203000000002003,1204000000003007,,false,,Drop optional fields,2026-04-01T11:00:00.000Z,2026-04-01T11:00:00.000Z
1205000000004012,Add SSO for enterprise,1203000000002003,1204000000003007,1202000000001004,false,2026-07-15,SAML and OIDC,2026-04-05T13:00:00.000Z,2026-05-19T16:00:00.000Z
