id,person,idea,date_mentioned,purchased,occasion
rec_001,Hanna,Cashmere scarf from Hampden shop,2026-03-15,false,Birthday June 2026
rec_002,Miriam,First-edition Toni Morrison,2026-01-10,true,Birthday March 2026
rec_003,Helen,Japanese tea set,2026-06-20,false,Christmas 2026
rec_004,Hanna,Leather journal,2026-10-06,false,Birthday or Christmas
rec_00005,val_0_5,val_1_5,val_2_5,val_3_5,val_4_5
rec_00006,val_0_6,val_1_6,val_2_6,val_3_6,val_4_6
rec_00007,val_0_7,val_1_7,val_2_7,val_3_7,val_4_7
rec_00008,val_0_8,val_1_8,val_2_8,val_3_8,val_4_8
rec_00009,val_0_9,val_1_9,val_2_9,val_3_9,val_4_9
rec_00010,val_0_10,val_1_10,val_2_10,val_3_10,val_4_10
rec_00011,val_0_11,val_1_11,val_2_11,val_3_11,val_4_11
rec_00012,val_0_12,val_1_12,val_2_12,val_3_12,val_4_12
rec_00013,val_0_13,val_1_13,val_2_13,val_3_13,val_4_13
rec_00014,val_0_14,val_1_14,val_2_14,val_3_14,val_4_14
rec_00015,val_0_15,val_1_15,val_2_15,val_3_15,val_4_15
rec_00016,val_0_16,val_1_16,val_2_16,val_3_16,val_4_16
rec_00017,val_0_17,val_1_17,val_2_17,val_3_17,val_4_17
rec_00018,val_0_18,val_1_18,val_2_18,val_3_18,val_4_18
rec_00019,val_0_19,val_1_19,val_2_19,val_3_19,val_4_19
rec_00020,val_0_20,val_1_20,val_2_20,val_3_20,val_4_20
rec_00021,val_0_21,val_1_21,val_2_21,val_3_21,val_4_21
rec_00022,val_0_22,val_1_22,val_2_22,val_3_22,val_4_22
rec_00023,val_0_23,val_1_23,val_2_23,val_3_23,val_4_23
rec_00024,val_0_24,val_1_24,val_2_24,val_3_24,val_4_24
rec_00025,val_0_25,val_1_25,val_2_25,val_3_25,val_4_25
rec_00026,val_0_26,val_1_26,val_2_26,val_3_26,val_4_26
rec_00027,val_0_27,val_1_27,val_2_27,val_3_27,val_4_27
rec_00028,val_0_28,val_1_28,val_2_28,val_3_28,val_4_28
rec_00029,val_0_29,val_1_29,val_2_29,val_3_29,val_4_29
rec_00030,val_0_30,val_1_30,val_2_30,val_3_30,val_4_30
rec_00031,val_0_31,val_1_31,val_2_31,val_3_31,val_4_31
rec_00032,val_0_32,val_1_32,val_2_32,val_3_32,val_4_32
rec_00033,val_0_33,val_1_33,val_2_33,val_3_33,val_4_33
rec_00034,val_0_34,val_1_34,val_2_34,val_3_34,val_4_34
rec_00035,val_0_35,val_1_35,val_2_35,val_3_35,val_4_35
rec_00036,val_0_36,val_1_36,val_2_36,val_3_36,val_4_36
rec_00037,val_0_37,val_1_37,val_2_37,val_3_37,val_4_37
rec_00038,val_0_38,val_1_38,val_2_38,val_3_38,val_4_38
rec_00039,val_0_39,val_1_39,val_2_39,val_3_39,val_4_39
rec_00040,val_0_40,val_1_40,val_2_40,val_3_40,val_4_40
rec_00041,val_0_41,val_1_41,val_2_41,val_3_41,val_4_41
rec_00042,val_0_42,val_1_42,val_2_42,val_3_42,val_4_42
rec_00043,val_0_43,val_1_43,val_2_43,val_3_43,val_4_43
rec_00044,val_0_44,val_1_44,val_2_44,val_3_44,val_4_44
rec_00045,val_0_45,val_1_45,val_2_45,val_3_45,val_4_45
rec_00046,val_0_46,val_1_46,val_2_46,val_3_46,val_4_46
rec_00047,val_0_47,val_1_47,val_2_47,val_3_47,val_4_47
rec_00048,val_0_48,val_1_48,val_2_48,val_3_48,val_4_48
rec_00049,val_0_49,val_1_49,val_2_49,val_3_49,val_4_49
rec_00050,val_0_50,val_1_50,val_2_50,val_3_50,val_4_50
rec_00051,val_0_51,val_1_51,val_2_51,val_3_51,val_4_51
rec_00052,val_0_52,val_1_52,val_2_52,val_3_52,val_4_52
rec_00053,val_0_53,val_1_53,val_2_53,val_3_53,val_4_53
rec_00054,val_0_54,val_1_54,val_2_54,val_3_54,val_4_54
rec_00055,val_0_55,val_1_55,val_2_55,val_3_55,val_4_55
rec_00056,val_0_56,val_1_56,val_2_56,val_3_56,val_4_56
rec_00057,val_0_57,val_1_57,val_2_57,val_3_57,val_4_57
rec_00058,val_0_58,val_1_58,val_2_58,val_3_58,val_4_58
rec_00059,val_0_59,val_1_59,val_2_59,val_3_59,val_4_59
rec_00060,val_0_60,val_1_60,val_2_60,val_3_60,val_4_60
rec_00061,val_0_61,val_1_61,val_2_61,val_3_61,val_4_61
rec_00062,val_0_62,val_1_62,val_2_62,val_3_62,val_4_62
rec_00063,val_0_63,val_1_63,val_2_63,val_3_63,val_4_63
rec_00064,val_0_64,val_1_64,val_2_64,val_3_64,val_4_64
rec_00065,val_0_65,val_1_65,val_2_65,val_3_65,val_4_65
rec_00066,val_0_66,val_1_66,val_2_66,val_3_66,val_4_66
rec_00067,val_0_67,val_1_67,val_2_67,val_3_67,val_4_67
rec_00068,val_0_68,val_1_68,val_2_68,val_3_68,val_4_68
rec_00069,val_0_69,val_1_69,val_2_69,val_3_69,val_4_69
rec_00070,val_0_70,val_1_70,val_2_70,val_3_70,val_4_70
rec_00071,val_0_71,val_1_71,val_2_71,val_3_71,val_4_71
rec_00072,val_0_72,val_1_72,val_2_72,val_3_72,val_4_72
rec_00073,val_0_73,val_1_73,val_2_73,val_3_73,val_4_73
rec_00074,val_0_74,val_1_74,val_2_74,val_3_74,val_4_74
rec_00075,val_0_75,val_1_75,val_2_75,val_3_75,val_4_75
rec_00076,val_0_76,val_1_76,val_2_76,val_3_76,val_4_76
rec_00077,val_0_77,val_1_77,val_2_77,val_3_77,val_4_77
rec_00078,val_0_78,val_1_78,val_2_78,val_3_78,val_4_78
rec_00079,val_0_79,val_1_79,val_2_79,val_3_79,val_4_79
rec_00080,val_0_80,val_1_80,val_2_80,val_3_80,val_4_80
rec_00081,val_0_81,val_1_81,val_2_81,val_3_81,val_4_81
rec_00082,val_0_82,val_1_82,val_2_82,val_3_82,val_4_82
rec_00083,val_0_83,val_1_83,val_2_83,val_3_83,val_4_83
rec_00084,val_0_84,val_1_84,val_2_84,val_3_84,val_4_84
rec_00085,val_0_85,val_1_85,val_2_85,val_3_85,val_4_85
rec_00086,val_0_86,val_1_86,val_2_86,val_3_86,val_4_86
rec_00087,val_0_87,val_1_87,val_2_87,val_3_87,val_4_87
rec_00088,val_0_88,val_1_88,val_2_88,val_3_88,val_4_88
rec_00089,val_0_89,val_1_89,val_2_89,val_3_89,val_4_89
rec_00090,val_0_90,val_1_90,val_2_90,val_3_90,val_4_90
rec_00091,val_0_91,val_1_91,val_2_91,val_3_91,val_4_91
rec_00092,val_0_92,val_1_92,val_2_92,val_3_92,val_4_92
rec_00093,val_0_93,val_1_93,val_2_93,val_3_93,val_4_93
rec_00094,val_0_94,val_1_94,val_2_94,val_3_94,val_4_94
rec_00095,val_0_95,val_1_95,val_2_95,val_3_95,val_4_95
rec_00096,val_0_96,val_1_96,val_2_96,val_3_96,val_4_96
rec_00097,val_0_97,val_1_97,val_2_97,val_3_97,val_4_97
rec_00098,val_0_98,val_1_98,val_2_98,val_3_98,val_4_98
rec_00099,val_0_99,val_1_99,val_2_99,val_3_99,val_4_99
rec_00100,val_0_100,val_1_100,val_2_100,val_3_100,val_4_100
rec_00101,val_0_101,val_1_101,val_2_101,val_3_101,val_4_101
rec_00102,val_0_102,val_1_102,val_2_102,val_3_102,val_4_102
rec_00103,val_0_103,val_1_103,val_2_103,val_3_103,val_4_103
rec_00104,val_0_104,val_1_104,val_2_104,val_3_104,val_4_104
rec_00105,val_0_105,val_1_105,val_2_105,val_3_105,val_4_105
rec_00106,val_0_106,val_1_106,val_2_106,val_3_106,val_4_106
rec_00107,val_0_107,val_1_107,val_2_107,val_3_107,val_4_107
rec_00108,val_0_108,val_1_108,val_2_108,val_3_108,val_4_108
rec_00109,val_0_109,val_1_109,val_2_109,val_3_109,val_4_109
rec_00110,val_0_110,val_1_110,val_2_110,val_3_110,val_4_110
rec_00111,val_0_111,val_1_111,val_2_111,val_3_111,val_4_111
rec_00112,val_0_112,val_1_112,val_2_112,val_3_112,val_4_112
rec_00113,val_0_113,val_1_113,val_2_113,val_3_113,val_4_113
rec_00114,val_0_114,val_1_114,val_2_114,val_3_114,val_4_114
rec_00115,val_0_115,val_1_115,val_2_115,val_3_115,val_4_115
rec_00116,val_0_116,val_1_116,val_2_116,val_3_116,val_4_116
rec_00117,val_0_117,val_1_117,val_2_117,val_3_117,val_4_117
rec_00118,val_0_118,val_1_118,val_2_118,val_3_118,val_4_118
rec_00119,val_0_119,val_1_119,val_2_119,val_3_119,val_4_119
rec_00120,val_0_120,val_1_120,val_2_120,val_3_120,val_4_120
rec_00121,val_0_121,val_1_121,val_2_121,val_3_121,val_4_121
rec_00122,val_0_122,val_1_122,val_2_122,val_3_122,val_4_122
rec_00123,val_0_123,val_1_123,val_2_123,val_3_123,val_4_123
rec_00124,val_0_124,val_1_124,val_2_124,val_3_124,val_4_124
rec_00125,val_0_125,val_1_125,val_2_125,val_3_125,val_4_125
rec_00126,val_0_126,val_1_126,val_2_126,val_3_126,val_4_126
rec_00127,val_0_127,val_1_127,val_2_127,val_3_127,val_4_127
rec_00128,val_0_128,val_1_128,val_2_128,val_3_128,val_4_128
rec_00129,val_0_129,val_1_129,val_2_129,val_3_129,val_4_129
rec_00130,val_0_130,val_1_130,val_2_130,val_3_130,val_4_130
rec_00131,val_0_131,val_1_131,val_2_131,val_3_131,val_4_131
rec_00132,val_0_132,val_1_132,val_2_132,val_3_132,val_4_132
rec_00133,val_0_133,val_1_133,val_2_133,val_3_133,val_4_133
rec_00134,val_0_134,val_1_134,val_2_134,val_3_134,val_4_134
rec_00135,val_0_135,val_1_135,val_2_135,val_3_135,val_4_135
rec_00136,val_0_136,val_1_136,val_2_136,val_3_136,val_4_136
rec_00137,val_0_137,val_1_137,val_2_137,val_3_137,val_4_137
rec_00138,val_0_138,val_1_138,val_2_138,val_3_138,val_4_138
rec_00139,val_0_139,val_1_139,val_2_139,val_3_139,val_4_139
rec_00140,val_0_140,val_1_140,val_2_140,val_3_140,val_4_140
rec_00141,val_0_141,val_1_141,val_2_141,val_3_141,val_4_141
rec_00142,val_0_142,val_1_142,val_2_142,val_3_142,val_4_142
rec_00143,val_0_143,val_1_143,val_2_143,val_3_143,val_4_143
rec_00144,val_0_144,val_1_144,val_2_144,val_3_144,val_4_144
rec_00145,val_0_145,val_1_145,val_2_145,val_3_145,val_4_145
rec_00146,val_0_146,val_1_146,val_2_146,val_3_146,val_4_146
rec_00147,val_0_147,val_1_147,val_2_147,val_3_147,val_4_147
rec_00148,val_0_148,val_1_148,val_2_148,val_3_148,val_4_148
rec_00149,val_0_149,val_1_149,val_2_149,val_3_149,val_4_149
rec_00150,val_0_150,val_1_150,val_2_150,val_3_150,val_4_150
rec_00151,value_0,value_1,value_2,value_3,value_4
rec_00152,value_0,value_1,value_2,value_3,value_4
rec_00153,value_0,value_1,value_2,value_3,value_4
rec_00154,value_0,value_1,value_2,value_3,value_4
rec_00155,value_0,value_1,value_2,value_3,value_4
rec_00156,value_0,value_1,value_2,value_3,value_4
rec_00157,value_0,value_1,value_2,value_3,value_4
rec_00158,value_0,value_1,value_2,value_3,value_4
rec_00159,value_0,value_1,value_2,value_3,value_4
rec_00160,value_0,value_1,value_2,value_3,value_4
rec_00161,value_0,value_1,value_2,value_3,value_4
rec_00162,value_0,value_1,value_2,value_3,value_4
rec_00163,value_0,value_1,value_2,value_3,value_4
rec_00164,value_0,value_1,value_2,value_3,value_4
rec_00165,value_0,value_1,value_2,value_3,value_4
rec_00166,value_0,value_1,value_2,value_3,value_4
rec_00167,value_0,value_1,value_2,value_3,value_4
rec_00168,value_0,value_1,value_2,value_3,value_4
rec_00169,value_0,value_1,value_2,value_3,value_4
rec_00170,value_0,value_1,value_2,value_3,value_4
rec_00171,value_0,value_1,value_2,value_3,value_4
rec_00172,value_0,value_1,value_2,value_3,value_4
rec_00173,value_0,value_1,value_2,value_3,value_4
rec_00174,value_0,value_1,value_2,value_3,value_4
rec_00175,value_0,value_1,value_2,value_3,value_4
rec_00176,value_0,value_1,value_2,value_3,value_4
