id,page_id,author,body,created_at
cmt_cf_v32_1,cfp_rtss_v3_2,sarah.kelley@gmail.com,Fritz this page needs an update warning banner. Kintampo 62.0 is pre-Amendment 4.,2026-09-16T10:00:00Z
cmt_cf_v32_2,cfp_rtss_v3_2,fritz.rush@Finthesiss.ai,Agreed. Will add a header note. Amendment 4 summary page is the pointer.,2026-09-18T09:00:00Z
cmt_cf_v32_3,cfp_rtss_v3_2,kosborne@gmail.com,Please do not delete the historical figures. Just banner the page.,2026-09-19T08:00:00Z
cfc_501,cfp_rtss_v3_2,janet.atkins@gmail.com,"Cross-checked with Jira",2026-09-15T10:00:00Z
cfc_502,cfp_rtss_amend_4_summary,sarah.kelley@gmail.com,"Ready for merge",2026-09-15T10:00:00Z
cfc_503,cfp_two_source_rule,janet.atkins@gmail.com,"Archive candidate after IDWeek",2026-09-15T10:00:00Z
cfc_504,cfp_ethics_amend_4,janet.atkins@gmail.com,"Needs Kevin sign-off",2026-09-15T10:00:00Z
cfc_505,cfp_manhica_protocol,sarah.kelley@gmail.com,"Needs Kevin sign-off",2026-09-15T10:00:00Z
cfc_506,cfp_nanoro_protocol,janet.atkins@gmail.com,"Confirming figure",2026-09-15T10:00:00Z
cfc_507,cfp_bagamoyo_protocol,fritz.rush@Finthesiss.ai,"Archive candidate after IDWeek",2026-09-15T10:00:00Z
cfc_508,cfp_pid_fellowship_calendar,akpan.idongesit@glenwood.edu,"Confirming figure",2026-09-15T10:00:00Z
cfc_509,cfp_call_coverage_grid,fritz.rush@Finthesiss.ai,"Confirming figure",2026-09-15T10:00:00Z
cfc_510,cfp_grand_rounds_schedule,akpan.idongesit@glenwood.edu,"Reviewed and updated",2026-09-15T10:00:00Z
cfc_511,cfp_rollup_101,janet.atkins@gmail.com,"Ready for merge",2026-09-15T10:00:00Z
cfc_512,cfp_rollup_102,sarah.kelley@gmail.com,"Ready for merge",2026-09-15T10:00:00Z
cfc_513,cfp_rollup_103,janet.atkins@gmail.com,"Ready for merge",2026-09-15T10:00:00Z
cfc_514,cfp_rollup_104,fritz.rush@Finthesiss.ai,"Cross-checked with Jira",2026-09-15T10:00:00Z
cfc_515,cfp_rollup_105,kosborne@gmail.com,"Cross-checked with Jira",2026-09-15T10:00:00Z
cfc_516,cfp_rollup_106,kosborne@gmail.com,"Cross-checked with Jira",2026-09-15T10:00:00Z
