Category	Line_Item	Type	Base_Month_USD	Peak_Month_USD	Due_Day	Account	Notes
Income	Summit Peak take-home	Income	3500.00	4200.00	15 and 30	Desert Financial 4471	Peak May to Sept with overtime
Housing	Rent	Fixed	1150.00	1150.00	1	Frank Mendez	718 Yucca Dr
Utilities	Electric and water	Variable	210.00	260.00	18	APS and city	Higher in summer with AC
Transport	Truck payment	Fixed	385.00	385.00	10	DFCU-AL-228064	Three years left
Transport	Truck insurance	Fixed	110.00	110.00	22	USAA AZ 0271-44-19B	Auto only
Transport	Gas	Variable	180.00	220.00	NA	Cash and card	More with Tucson drives
Food	Groceries	Variable	280.00	280.00	NA	Walmart	
Food	Dining out	Variable	100.00	100.00	NA	Cash and card	German Cafe, Manny's
Phone	Cell phone	Fixed	55.00	55.00	5	Personal	Samsung A54 line
Health	Health insurance	Fixed	390.00	390.00	15 and 30	Summit Peak payroll	195 per paycheck
Family	Child support	Fixed	480.00	480.00	15	Auto deduct	For Chloe
Subscriptions	Netflix and ESPN+	Fixed	28.00	28.00	8	Personal	
Personal	Personal spending	Variable	80.00	80.00	NA	Cash	
Savings	To savings	Goal	52.00	700.00	30	Desert Financial	Surplus in peak season
Total	Expenses out	Total	3448.00	3538.00	NA	NA	Base cushion about 52
