Date	WO_Number	Customer	Address	City	System	Issue	Diagnosis	Parts	Labor_hr	Status
2026-01-12	SP-44021	Reyes	1140 Calle Portal	Sierra Vista	Trane XR15	No cooling	Failed run capacitor	45/5 MFD dual cap	1.0	Closed
2026-01-12	SP-44022	Coronado Plaza	2300 El Mercado	Sierra Vista	Carrier RTU 5T	Short cycling	Dirty flame sensor, cleaned	None	1.5	Closed
2026-01-13	SP-44031	Whitfield	88 Ramsey Canyon Rd	Hereford	Goodman 3T	Weak airflow	Clogged evap coil	None	2.0	Closed
2026-01-13	SP-44032	Dunlap	705 Yaqui St	Sierra Vista	Lennox furnace	No heat	Cracked igniter	Hot surface igniter	1.0	Closed
2026-01-14	SP-44040	Buena HS	5390 Buena School Blvd	Sierra Vista	Bryant 7.5T	Tripping breaker	Shorted contactor	2-pole 40A contactor	1.5	Closed
2026-01-15	SP-44051	Marsh	214 Tacoma St	Sierra Vista	Trane XR14	No cooling	Low charge, leak at schrader	Schrader core, 2lb R410A	2.5	Closed
2026-01-15	SP-44052	Okafor	1602 Plaza Escalante	Sierra Vista	Rheem 4T	Loud blower	Failing blower motor bearing	1/2 HP ECM motor	2.0	Parts ordered
2026-01-16	SP-44060	Sierra Suites	4400 Avenida Cochise	Sierra Vista	Carrier 10T	Uneven cooling	Stuck zone damper	Zone damper actuator	3.0	Closed
2026-01-16	SP-44061	Pruitt	339 Saguaro Vista	Hereford	Goodman 2.5T	No cooling	Seized compressor	Quote sent, recommend replace	0.5	Estimate
2026-01-17	SP-44070	Linwood	920 Fry Blvd	Sierra Vista	Day and Night 3T	Thermostat blank	Failed 24V transformer	40VA transformer	1.0	Closed
