Member_ID	Name	Join_Year	Rating	Email	Dues_2026	Role
BCC-001	Brandon Kelly	2018	1850	b.kelly@quickpost.net	Paid	President
BCC-002	Roman Tkachuk	2018	1995	r.tkachuk@quickpost.net	Paid	Vice President
BCC-003	Marcus Delaney	2019	1720	m.delaney@quickpost.net	Paid	Treasurer
BCC-004	Priya Nair	2020	1610	p.nair@quickpost.net	Paid	Tournament Director
BCC-005	Walter Boyd	2018	1540	w.boyd@quickpost.net	Paid	Member
BCC-006	Dennis Pruitt	2019	1488	d.pruitt@brightmail.co	Paid	Member
BCC-007	Sofia Marchetti	2021	1402	s.marchetti@quickpost.net	Paid	Member
BCC-008	Harold Quinn	2018	1875	h.quinn@quickpost.net	Paid	Member
BCC-009	Tariq Hassan	2022	1330	t.hassan@quickpost.net	Unpaid	Member
BCC-010	Eleanor Voss	2020	1265	e.voss@brightmail.co	Paid	Member
BCC-011	Greg Olsen	2019	1690	g.olsen@quickpost.net	Paid	Member
BCC-012	Nadia Petrenko	2021	1555	n.petrenko@quickpost.net	Paid	Member
BCC-013	Sam Whitaker	2023	1180	s.whitaker@quickpost.net	Pending	Member
BCC-014	Luis Ferreira	2020	1612	l.ferreira@quickpost.net	Paid	Member
BCC-015	Owen Brady	2018	1744	o.brady@quickpost.net	Paid	Member
BCC-016	Hannah Cole	2022	1290	h.cole@brightmail.co	Paid	Member
BCC-017	Victor Ostrowski	2019	1820	v.ostrowski@quickpost.net	Paid	Member
BCC-018	Renee Dubois	2021	1376	r.dubois@quickpost.net	Unpaid	Member
BCC-019	Patrick Hale	2018	1601	p.hale@quickpost.net	Paid	Member
BCC-020	Yuki Tanaka	2023	1448	y.tanaka@quickpost.net	Paid	Member
BCC-021	Frank Mendez	2019	1533	f.mendez@quickpost.net	Paid	Member
BCC-022	Olivia Reyes	2022	1224	o.reyes@brightmail.co	Pending	Member
BCC-023	Curtis Lang	2020	1668	c.lang@quickpost.net	Paid	Member
BCC-024	Mateo Silva	2021	1702	m.silva@quickpost.net	Paid	Member
BCC-025	Grace Holloway	2018	1395	g.holloway@quickpost.net	Paid	Member
BCC-026	Dmytro Savchenko	2019	1910	d.savchenko@quickpost.net	Paid	Member
BCC-027	Alan Pierce	2022	1147	a.pierce@quickpost.net	Unpaid	Member
BCC-028	Bianca Russo	2020	1486	b.russo@brightmail.co	Paid	Member
BCC-029	Theo Larsen	2023	1352	t.larsen@quickpost.net	Paid	Member
BCC-030	Cynthia Ward	2018	1578	c.ward@quickpost.net	Paid	Member
BCC-031	Raj Malhotra	2021	1641	r.malhotra@quickpost.net	Paid	Member
BCC-032	Stefan Vogel	2019	1799	s.vogel@quickpost.net	Paid	Member
BCC-033	Maria Costa	2022	1208	m.costa@quickpost.net	Pending	Member
BCC-034	Doug Feeney	2018	1456	d.feeney@quickpost.net	Paid	Member
BCC-035	Aisha Bello	2023	1311	a.bello@brightmail.co	Paid	Member
BCC-036	Karl Brenner	2020	1727	k.brenner@quickpost.net	Paid	Member
BCC-037	Lena Hoffmann	2021	1499	l.hoffmann@quickpost.net	Paid	Member
BCC-038	Pavlo Hrytsenko	2019	1863	p.hrytsenko@quickpost.net	Paid	Member
BCC-039	Tony Esposito	2022	1267	t.esposito@quickpost.net	Unpaid	Member
BCC-040	Margaret Shaw	2018	1421	m.shaw@quickpost.net	Paid	Member
