id,name,email,avatar_url,type,bot,owner_workspace,created_time
courtney,Courtney Harper,courtney.harper@finthesiss.ai,,person,0,ws_courtney,2025-08-15T10:00:00Z
nu_0000,User 0,user243@gmail.com,,person,0,ws_courtney,2025-10-19T20:00:00Z
nu_0001,User 1,user945@outlook.com,,person,0,ws_courtney,2026-01-06T20:00:00Z
nu_0002,User 2,user897@gmail.com,,person,0,ws_courtney,2026-08-07T20:00:00Z
nu_0003,User 3,user472@gmail.com,,person,0,ws_courtney,2025-11-27T20:00:00Z
nu_0004,User 4,user497@gmail.com,,person,0,ws_courtney,2026-01-28T20:00:00Z
nu_0005,User 5,user38@outlook.com,,person,0,ws_courtney,2026-03-19T20:00:00Z
nu_0006,User 6,user456@gmail.com,,person,0,ws_courtney,2026-04-25T20:00:00Z
nu_0007,User 7,user917@outlook.com,,person,0,ws_courtney,2026-01-28T20:00:00Z
nu_0008,User 8,user563@outlook.com,,person,0,ws_courtney,2025-12-10T20:00:00Z
nu_0009,User 9,user503@gmail.com,,person,0,ws_courtney,2026-07-06T20:00:00Z
nu_0010,User 10,user805@gmail.com,,person,0,ws_courtney,2026-07-28T20:00:00Z
nu_0011,User 11,user710@gmail.com,,person,0,ws_courtney,2026-04-09T20:00:00Z
nu_0012,User 12,user190@gmail.com,,person,0,ws_courtney,2026-06-24T20:00:00Z
nu_0013,User 13,user966@outlook.com,,person,0,ws_courtney,2026-06-03T20:00:00Z
nu_0014,User 14,user454@gmail.com,,person,0,ws_courtney,2026-06-30T20:00:00Z
nu_0015,User 15,user961@gmail.com,,person,0,ws_courtney,2026-01-03T20:00:00Z
nu_0016,User 16,user605@outlook.com,,person,0,ws_courtney,2025-11-13T20:00:00Z
nu_0017,User 17,user285@gmail.com,,person,0,ws_courtney,2026-07-11T20:00:00Z
nu_0018,User 18,user460@gmail.com,,person,0,ws_courtney,2026-08-29T20:00:00Z
nu_0019,User 19,user119@gmail.com,,person,0,ws_courtney,2026-04-29T20:00:00Z
nu_0020,User 20,user732@gmail.com,,person,0,ws_courtney,2025-11-28T20:00:00Z
nu_0021,User 21,user709@gmail.com,,person,0,ws_courtney,2026-08-25T20:00:00Z
nu_0022,User 22,user652@gmail.com,,person,0,ws_courtney,2026-05-17T20:00:00Z
nu_0023,User 23,user454@gmail.com,,person,0,ws_courtney,2026-05-29T20:00:00Z
nu_0024,User 24,user422@outlook.com,,person,0,ws_courtney,2026-07-17T20:00:00Z
nu_0025,User 25,user302@gmail.com,,person,0,ws_courtney,2026-06-02T20:00:00Z
nu_0026,User 26,user797@outlook.com,,person,0,ws_courtney,2026-01-12T20:00:00Z
nu_0027,User 27,user77@gmail.com,,person,0,ws_courtney,2025-12-16T20:00:00Z
nu_0028,User 28,user378@gmail.com,,person,0,ws_courtney,2026-04-18T20:00:00Z
nu_0029,User 29,user908@gmail.com,,person,0,ws_courtney,2025-10-19T20:00:00Z
nu_0030,User 30,user363@outlook.com,,person,0,ws_courtney,2026-03-29T20:00:00Z
nu_0031,User 31,user746@outlook.com,,person,0,ws_courtney,2026-04-01T20:00:00Z
nu_0032,User 32,user285@gmail.com,,person,0,ws_courtney,2026-05-26T20:00:00Z
nu_0033,User 33,user946@gmail.com,,person,0,ws_courtney,2025-12-09T20:00:00Z
nu_0034,User 34,user366@outlook.com,,person,0,ws_courtney,2026-08-30T20:00:00Z
nu_0035,User 35,user872@outlook.com,,person,0,ws_courtney,2026-05-21T20:00:00Z
nu_0036,User 36,user703@gmail.com,,person,0,ws_courtney,2026-02-15T20:00:00Z
nu_0037,User 37,user309@outlook.com,,person,0,ws_courtney,2026-06-26T20:00:00Z
nu_0038,User 38,user443@gmail.com,,person,0,ws_courtney,2025-11-12T20:00:00Z
nu_0039,User 39,user888@outlook.com,,person,0,ws_courtney,2025-10-25T20:00:00Z
nu_0040,User 40,user548@outlook.com,,person,0,ws_courtney,2025-11-10T20:00:00Z
nu_0041,User 41,user420@gmail.com,,person,0,ws_courtney,2026-04-16T20:00:00Z
nu_0042,User 42,user770@gmail.com,,person,0,ws_courtney,2026-05-16T20:00:00Z
nu_0043,User 43,user582@gmail.com,,person,0,ws_courtney,2026-06-03T20:00:00Z
nu_0044,User 44,user180@outlook.com,,person,0,ws_courtney,2025-11-03T20:00:00Z
nu_0045,User 45,user962@outlook.com,,person,0,ws_courtney,2025-12-29T20:00:00Z
nu_0046,User 46,user341@outlook.com,,person,0,ws_courtney,2026-05-10T20:00:00Z
nu_0047,User 47,user592@outlook.com,,person,0,ws_courtney,2026-04-01T20:00:00Z
nu_0048,User 48,user933@outlook.com,,person,0,ws_courtney,2025-11-13T20:00:00Z
nu_0049,User 49,user427@gmail.com,,person,0,ws_courtney,2026-03-29T20:00:00Z
nu_0050,User 50,user184@outlook.com,,person,0,ws_courtney,2026-08-26T20:00:00Z
nu_0051,User 51,user37@outlook.com,,person,0,ws_courtney,2026-05-27T20:00:00Z
nu_0052,User 52,user136@gmail.com,,person,0,ws_courtney,2026-02-07T20:00:00Z
nu_0053,User 53,user122@outlook.com,,person,0,ws_courtney,2025-10-13T20:00:00Z
nu_0054,User 54,user419@outlook.com,,person,0,ws_courtney,2025-12-28T20:00:00Z
nu_0055,User 55,user997@outlook.com,,person,0,ws_courtney,2026-06-16T20:00:00Z
nu_0056,User 56,user4@gmail.com,,person,0,ws_courtney,2025-12-14T20:00:00Z
nu_0057,User 57,user426@gmail.com,,person,0,ws_courtney,2026-04-11T20:00:00Z
nu_0058,User 58,user673@gmail.com,,person,0,ws_courtney,2026-03-30T20:00:00Z
nu_0059,User 59,user638@gmail.com,,person,0,ws_courtney,2026-07-26T20:00:00Z
nu_0060,User 60,user475@outlook.com,,person,0,ws_courtney,2026-02-06T20:00:00Z
nu_0061,User 61,user666@gmail.com,,person,0,ws_courtney,2026-02-12T20:00:00Z
nu_0062,User 62,user926@gmail.com,,person,0,ws_courtney,2025-10-24T20:00:00Z
nu_0063,User 63,user507@gmail.com,,person,0,ws_courtney,2026-09-08T20:00:00Z
nu_0064,User 64,user598@gmail.com,,person,0,ws_courtney,2025-12-27T20:00:00Z
nu_0065,User 65,user192@outlook.com,,person,0,ws_courtney,2026-06-11T20:00:00Z
nu_0066,User 66,user583@outlook.com,,person,0,ws_courtney,2026-08-16T20:00:00Z
nu_0067,User 67,user887@gmail.com,,person,0,ws_courtney,2026-04-08T20:00:00Z
nu_0068,User 68,user747@outlook.com,,person,0,ws_courtney,2026-01-13T20:00:00Z
nu_0069,User 69,user61@outlook.com,,person,0,ws_courtney,2025-12-31T20:00:00Z
nu_0070,User 70,user584@outlook.com,,person,0,ws_courtney,2026-05-12T20:00:00Z
nu_0071,User 71,user665@outlook.com,,person,0,ws_courtney,2026-05-12T20:00:00Z
nu_0072,User 72,user461@gmail.com,,person,0,ws_courtney,2026-07-30T20:00:00Z
nu_0073,User 73,user251@outlook.com,,person,0,ws_courtney,2026-01-09T20:00:00Z
nu_0074,User 74,user422@gmail.com,,person,0,ws_courtney,2026-01-18T20:00:00Z
nu_0075,User 75,user939@outlook.com,,person,0,ws_courtney,2026-04-17T20:00:00Z
nu_0076,User 76,user306@gmail.com,,person,0,ws_courtney,2026-06-04T20:00:00Z
nu_0077,User 77,user892@outlook.com,,person,0,ws_courtney,2025-10-16T20:00:00Z
nu_0078,User 78,user539@outlook.com,,person,0,ws_courtney,2026-02-11T20:00:00Z
nu_0079,User 79,user616@gmail.com,,person,0,ws_courtney,2026-04-16T20:00:00Z
nu_0080,User 80,user847@outlook.com,,person,0,ws_courtney,2025-11-22T20:00:00Z
nu_0081,User 81,user517@gmail.com,,person,0,ws_courtney,2026-02-14T20:00:00Z
nu_0082,User 82,user149@outlook.com,,person,0,ws_courtney,2025-12-22T20:00:00Z
nu_0083,User 83,user327@gmail.com,,person,0,ws_courtney,2025-11-26T20:00:00Z
nu_0084,User 84,user502@gmail.com,,person,0,ws_courtney,2026-01-05T20:00:00Z
nu_0085,User 85,user966@outlook.com,,person,0,ws_courtney,2026-03-01T20:00:00Z
nu_0086,User 86,user164@outlook.com,,person,0,ws_courtney,2026-05-15T20:00:00Z
nu_0087,User 87,user756@gmail.com,,person,0,ws_courtney,2025-12-17T20:00:00Z
nu_0088,User 88,user792@gmail.com,,person,0,ws_courtney,2025-12-25T20:00:00Z
nu_0089,User 89,user277@outlook.com,,person,0,ws_courtney,2025-12-05T20:00:00Z
nu_0090,User 90,user823@outlook.com,,person,0,ws_courtney,2026-06-26T20:00:00Z
nu_0091,User 91,user615@gmail.com,,person,0,ws_courtney,2026-01-07T20:00:00Z
nu_0092,User 92,user795@gmail.com,,person,0,ws_courtney,2026-02-18T20:00:00Z
nu_0093,User 93,user969@outlook.com,,person,0,ws_courtney,2025-11-15T20:00:00Z
nu_0094,User 94,user709@outlook.com,,person,0,ws_courtney,2026-03-17T20:00:00Z
nu_0095,User 95,user195@outlook.com,,person,0,ws_courtney,2026-04-22T20:00:00Z
nu_0096,User 96,user396@outlook.com,,person,0,ws_courtney,2026-06-03T20:00:00Z
nu_0097,User 97,user450@gmail.com,,person,0,ws_courtney,2026-03-24T20:00:00Z
nu_0098,User 98,user632@gmail.com,,person,0,ws_courtney,2026-05-19T20:00:00Z
nu_0099,User 99,user313@outlook.com,,person,0,ws_courtney,2025-12-27T20:00:00Z
nu_0100,User 100,user724@gmail.com,,person,0,ws_courtney,2026-03-17T20:00:00Z
nu_0101,User 101,user705@outlook.com,,person,0,ws_courtney,2026-05-12T20:00:00Z
nu_0102,User 102,user994@gmail.com,,person,0,ws_courtney,2026-07-31T20:00:00Z
nu_0103,User 103,user604@outlook.com,,person,0,ws_courtney,2026-06-13T20:00:00Z
nu_0104,User 104,user400@outlook.com,,person,0,ws_courtney,2026-09-06T20:00:00Z
nu_0105,User 105,user26@gmail.com,,person,0,ws_courtney,2026-06-16T20:00:00Z
nu_0106,User 106,user910@gmail.com,,person,0,ws_courtney,2025-12-16T20:00:00Z
nu_0107,User 107,user586@outlook.com,,person,0,ws_courtney,2026-06-21T20:00:00Z
nu_0108,User 108,user290@outlook.com,,person,0,ws_courtney,2026-08-22T20:00:00Z
nu_0109,User 109,user959@outlook.com,,person,0,ws_courtney,2025-12-05T20:00:00Z
nu_0110,User 110,user838@gmail.com,,person,0,ws_courtney,2026-08-11T20:00:00Z
nu_0111,User 111,user260@gmail.com,,person,0,ws_courtney,2025-11-09T20:00:00Z
nu_0112,User 112,user569@gmail.com,,person,0,ws_courtney,2026-04-19T20:00:00Z
nu_0113,User 113,user911@outlook.com,,person,0,ws_courtney,2026-08-06T20:00:00Z
nu_0114,User 114,user751@gmail.com,,person,0,ws_courtney,2026-01-04T20:00:00Z
nu_0115,User 115,user140@gmail.com,,person,0,ws_courtney,2025-11-09T20:00:00Z
nu_0116,User 116,user283@outlook.com,,person,0,ws_courtney,2026-01-15T20:00:00Z
nu_0117,User 117,user818@gmail.com,,person,0,ws_courtney,2026-03-17T20:00:00Z
nu_0118,User 118,user410@outlook.com,,person,0,ws_courtney,2026-02-15T20:00:00Z
nu_0119,User 119,user36@gmail.com,,person,0,ws_courtney,2025-11-01T20:00:00Z
nu_0120,User 120,user744@gmail.com,,person,0,ws_courtney,2026-08-25T20:00:00Z
nu_0121,User 121,user249@outlook.com,,person,0,ws_courtney,2025-12-26T20:00:00Z
nu_0122,User 122,user424@outlook.com,,person,0,ws_courtney,2025-11-30T20:00:00Z
nu_0123,User 123,user510@outlook.com,,person,0,ws_courtney,2026-04-10T20:00:00Z
nu_0124,User 124,user619@outlook.com,,person,0,ws_courtney,2025-11-26T20:00:00Z
nu_0125,User 125,user438@outlook.com,,person,0,ws_courtney,2025-11-05T20:00:00Z
nu_0126,User 126,user506@gmail.com,,person,0,ws_courtney,2026-04-18T20:00:00Z
nu_0127,User 127,user508@outlook.com,,person,0,ws_courtney,2025-10-28T20:00:00Z
nu_0128,User 128,user351@outlook.com,,person,0,ws_courtney,2026-05-18T20:00:00Z
nu_0129,User 129,user580@outlook.com,,person,0,ws_courtney,2025-10-14T20:00:00Z
nu_0130,User 130,user281@outlook.com,,person,0,ws_courtney,2026-02-12T20:00:00Z
nu_0131,User 131,user625@outlook.com,,person,0,ws_courtney,2025-11-08T20:00:00Z
nu_0132,User 132,user318@outlook.com,,person,0,ws_courtney,2026-01-15T20:00:00Z
nu_0133,User 133,user614@gmail.com,,person,0,ws_courtney,2026-06-12T20:00:00Z
nu_0134,User 134,user365@outlook.com,,person,0,ws_courtney,2025-12-02T20:00:00Z
nu_0135,User 135,user234@outlook.com,,person,0,ws_courtney,2026-01-01T20:00:00Z
nu_0136,User 136,user369@outlook.com,,person,0,ws_courtney,2025-10-13T20:00:00Z
nu_0137,User 137,user565@gmail.com,,person,0,ws_courtney,2026-03-18T20:00:00Z
nu_0138,User 138,user283@gmail.com,,person,0,ws_courtney,2025-12-16T20:00:00Z
nu_0139,User 139,user621@gmail.com,,person,0,ws_courtney,2026-04-30T20:00:00Z
nu_0140,User 140,user671@gmail.com,,person,0,ws_courtney,2026-06-12T20:00:00Z
