id,employeeId,name,type,start,end
wo_0000,25,Employee 25,Sick,2026-09-25,2026-06-05
wo_0001,22,Employee 22,Sick,2026-09-10,2026-03-19
wo_0002,14,Employee 14,Sick,2026-09-09,2026-06-14
wo_0003,10,Employee 10,Sick,2026-09-22,2026-10-14
wo_0004,10,Employee 10,Vacation,2026-01-05,2026-02-18
wo_0005,24,Employee 24,Sick,2026-08-08,2026-04-06
wo_0006,18,Employee 18,Vacation,2026-04-01,2026-07-15
wo_0007,10,Employee 10,Vacation,2026-08-07,2026-02-20
wo_0008,8,Employee 8,Sick,2026-10-12,2026-03-12
wo_0009,3,Employee 3,Vacation,2026-04-04,2026-04-10
wo_0010,13,Employee 13,Sick,2026-02-10,2026-10-10
wo_0011,5,Employee 5,Sick,2026-04-20,2026-03-25
wo_0012,11,Employee 11,Vacation,2026-04-30,2026-09-23
wo_0013,6,Employee 6,Vacation,2026-03-18,2026-02-05
wo_0014,19,Employee 19,Sick,2026-03-18,2026-06-12
wo_0015,18,Employee 18,Vacation,2026-08-28,2026-06-10
wo_0016,18,Employee 18,Vacation,2026-08-04,2026-04-28
wo_0017,17,Employee 17,Sick,2026-07-04,2026-01-17
wo_0018,23,Employee 23,Vacation,2026-04-23,2026-05-03
wo_0019,13,Employee 13,Vacation,2026-02-17,2026-05-15
wo_0020,20,Employee 20,Vacation,2026-05-08,2026-05-27
wo_0021,7,Employee 7,Sick,2026-04-06,2026-05-17
wo_0022,14,Employee 14,Sick,2026-04-01,2026-10-14
wo_0023,23,Employee 23,Sick,2026-06-15,2026-02-10
wo_0024,27,Employee 27,Sick,2026-07-20,2026-02-09
wo_0025,23,Employee 23,Sick,2026-04-18,2026-03-07
wo_0026,13,Employee 13,Vacation,2026-07-29,2026-01-21
wo_0027,7,Employee 7,Sick,2026-10-11,2026-08-04
wo_0028,16,Employee 16,Sick,2026-04-23,2026-01-01
wo_0029,9,Employee 9,Vacation,2026-09-30,2026-06-23
wo_0030,6,Employee 6,Sick,2026-04-10,2026-03-18
wo_0031,25,Employee 25,Vacation,2026-06-04,2026-03-28
wo_0032,10,Employee 10,Vacation,2026-05-02,2026-10-15
wo_0033,21,Employee 21,Vacation,2026-04-09,2026-05-13
wo_0034,8,Employee 8,Sick,2026-02-09,2026-06-06
wo_0035,22,Employee 22,Sick,2026-04-14,2026-05-29
wo_0036,8,Employee 8,Vacation,2026-02-03,2026-05-30
wo_0037,26,Employee 26,Sick,2026-05-09,2026-08-08
wo_0038,4,Employee 4,Sick,2026-05-14,2026-05-07
wo_0039,25,Employee 25,Sick,2026-07-04,2026-03-03
wo_0040,11,Employee 11,Vacation,2026-01-08,2026-02-27
wo_0041,27,Employee 27,Sick,2026-08-17,2026-09-03
wo_0042,9,Employee 9,Vacation,2026-06-01,2026-09-18
wo_0043,9,Employee 9,Sick,2026-03-19,2026-03-25
wo_0044,19,Employee 19,Sick,2026-09-01,2026-01-30
wo_0045,24,Employee 24,Sick,2026-07-28,2026-02-05
wo_0046,12,Employee 12,Sick,2026-06-28,2026-03-29
wo_0047,27,Employee 27,Sick,2026-05-27,2026-03-04
wo_0048,16,Employee 16,Vacation,2026-07-18,2026-07-12
wo_0049,8,Employee 8,Sick,2026-03-05,2026-04-07
wo_0050,15,Employee 15,Sick,2026-07-28,2026-01-03
wo_0051,25,Employee 25,Vacation,2026-04-07,2026-10-14
wo_0052,24,Employee 24,Vacation,2026-08-19,2026-05-27
wo_0053,20,Employee 20,Vacation,2026-01-28,2026-08-24
wo_0054,8,Employee 8,Sick,2026-08-03,2026-09-24
wo_0055,24,Employee 24,Sick,2026-03-25,2026-09-15
wo_0056,6,Employee 6,Vacation,2026-01-23,2026-05-30
wo_0057,18,Employee 18,Sick,2026-04-04,2026-05-19
wo_0058,1,Employee 1,Vacation,2026-07-19,2026-07-18
wo_0059,27,Employee 27,Sick,2026-03-01,2026-07-10
wo_0060,5,Employee 5,Vacation,2026-02-10,2026-07-06
wo_0061,8,Employee 8,Sick,2026-08-16,2026-07-21
wo_0062,25,Employee 25,Sick,2026-06-23,2026-04-04
wo_0063,25,Employee 25,Sick,2026-10-06,2026-05-08
wo_0064,1,Employee 1,Vacation,2026-07-08,2026-06-12
wo_0065,20,Employee 20,Sick,2026-03-16,2026-08-21
wo_0066,23,Employee 23,Sick,2026-07-04,2026-03-26
wo_0067,25,Employee 25,Vacation,2026-08-29,2026-03-19
wo_0068,15,Employee 15,Vacation,2026-08-07,2026-02-18
wo_0069,28,Employee 28,Sick,2026-07-11,2026-02-16
wo_0070,2,Employee 2,Sick,2026-06-23,2026-09-11
wo_0071,11,Employee 11,Vacation,2026-02-15,2026-07-21
wo_0072,11,Employee 11,Sick,2026-04-09,2026-01-24
wo_0073,14,Employee 14,Vacation,2026-03-25,2026-07-18
wo_0074,26,Employee 26,Sick,2026-08-22,2026-07-01
wo_0075,2,Employee 2,Vacation,2026-10-05,2026-09-30
wo_0076,26,Employee 26,Vacation,2026-01-30,2026-07-22
wo_0077,4,Employee 4,Vacation,2026-01-02,2026-07-08
wo_0078,2,Employee 2,Sick,2026-09-28,2026-08-31
wo_0079,27,Employee 27,Vacation,2026-08-30,2026-05-29
wo_0080,27,Employee 27,Vacation,2026-06-23,2026-04-15
wo_0081,10,Employee 10,Sick,2026-09-30,2026-01-23
