id,email,first_name,last_name,tags,added_date,last_automation_touch,household_id_ref,roster_status,drift_flag
A-00001,bud.herndon@paducah.net,Bud,Herndon,active;christmas_eve_reminder,2021-04-04,2024-07-11,H-0234,assisted_care,
A-00002,peggy.bramlett@paducah.net,Peggy,Bramlett,active;birthday_card;visit_prompt;winter_check_in,2023-08-18,2026-06-16,H-0102,active,
A-00003,odessa.ladd@gmail.com,Odessa,Ladd,active;birthday_card;visit_prompt;winter_check_in,2023-03-12,2026-05-19,H-0155,active,
A-00004,norman.weddle@gmail.com,Norman,Weddle,active;winter_check_in,2019-02-03,2026-08-27,H-0163,active,
A-00005,cletus.doerr@paducah.net,Cletus,Doerr,active;christmas_eve_reminder,2017-09-30,2026-01-13,H-0233,assisted_care,
A-00006,jimmy.beasley@bellsouth.net,Jimmy,Beasley,active;christmas_eve_reminder,2020-10-24,2026-06-06,H-0241,active,
A-00007,harlan.hendon@gmail.com,Harlan,Hendon,birthday_card;homebound;winter_check_in,2019-02-01,2026-06-29,H-0005,homebound,
A-00008,marlene.hurst@gmail.com,Marlene,Hurst,christmas_eve_reminder;homebound,2019-01-05,2026-04-21,H-0068,homebound,
A-00009,opal.ratliff@paducah.net,Opal,Ratliff,christmas_eve_reminder;homebound,2022-06-21,2026-07-06,H-0083,homebound,
A-00010,reba.voss@gmail.com,Reba,Voss,active;winter_check_in,2020-09-08,2026-04-27,H-0256,active,
A-00011,bryant.draffen@paducah.net,Bryant,Draffen,active;birthday_card;winter_check_in,2020-08-09,2020-06-04,,no_household_link,no_household_link_in_roster
A-00012,emmett.wathen@gmail.com,Emmett,Wathen,active;winter_check_in,2022-04-26,2026-08-18,H-0046,active,
A-00013,nancy.underhill@bellsouth.net,Nancy,Underhill,active;christmas_eve_reminder;visit_prompt,2018-08-19,2026-10-08,H-0093,active,
A-00014,shirley.zumwalt@bellsouth.net,Shirley,Zumwalt,active;christmas_eve_reminder,2025-01-15,2026-09-24,H-0087,active,
A-00015,mabel.layman@paducah.net,Mabel,Layman,christmas_eve_reminder;homebound;visit_prompt,2021-07-26,2026-08-10,H-0232,homebound,
A-00016,kenneth.ratliff@paducah.net,Kenneth,Ratliff,christmas_eve_reminder;homebound,2022-12-02,2026-05-06,H-0083,homebound,
A-00017,elton.kemper@paducah.net,Elton,Kemper,active;birthday_card;christmas_eve_reminder;visit_prompt,2025-11-16,2026-04-23,H-0226,active,
A-00018,helen.vickers@gmail.com,Helen,Vickers,active;bereaved;birthday_card;christmas_eve_reminder,2023-01-16,2026-06-10,H-0217,active,
A-00019,bobby.judkins@bellsouth.net,Bobby,Judkins,active;winter_check_in,2022-11-25,2026-09-18,H-0144,active,
A-00020,dolores.massie@bellsouth.net,Dolores,Massie,active;christmas_eve_reminder,2018-04-29,2026-07-04,H-0101,active,
A-00021,milton.chandler@paducah.net,Milton,Chandler,active;winter_check_in,2019-01-16,2020-12-17,,no_household_link,no_household_link_in_roster
A-00022,myrtle.bruce@gmail.com,Myrtle,Bruce,active;christmas_eve_reminder,2018-08-29,2026-09-17,H-0114,active,
A-00023,hazel.cundiff@paducah.net,Hazel,Cundiff,homebound;winter_check_in,2017-07-31,2026-03-04,H-0113,homebound,
A-00024,winifred.hendon@paducah.net,Winifred,Hendon,active;christmas_eve_reminder,2017-01-27,2026-04-19,H-0107,opted_out,audience_still_active_but_roster_opted_out
A-00025,orville.kimbell@gmail.com,Orville,Kimbell,active;christmas_eve_reminder,2021-08-30,2026-07-13,H-0045,active,
A-00026,elton.meade@bellsouth.net,Elton,Meade,active;birthday_card;winter_check_in,2018-03-26,2026-08-07,H-0247,active,
A-00027,sandra.yonts@bellsouth.net,Sandra,Yonts,active;birthday_card;winter_check_in,2021-12-31,2026-05-20,H-0216,active,
A-00028,cora.nally@gmail.com,Cora,Nally,active;bereaved;birthday_card;winter_check_in,2020-02-18,2026-08-28,H-0172,active,
A-00029,winifred.yeager@gmail.com,Winifred,Yeager,active;christmas_eve_reminder,2020-11-07,2026-08-22,H-0115,active,
A-00030,tilden.bruce@paducah.net,Tilden,Bruce,active;winter_check_in,2019-04-29,2026-10-16,H-0195,active,
A-00031,marjorie.callahan@paducah.net,Marjorie,Callahan,active;christmas_eve_reminder,2021-10-17,2026-04-20,H-0031,active,
A-00032,maude.threlkeld@paducah.net,Maude,Threlkeld,active;christmas_eve_reminder,2023-06-01,2026-05-03,H-0013,active,
