id,service_id,service_date,service_time,service_name,role,assigned_name,assigned_status,first_third_sunday_regular,contact_phone
recRota001,SVC-CE-01,2026-12-24,6:30 PM,Family Service,Head Usher,Wallace Grimes,confirmed,TRUE,(270) 555-2334
recRota002,SVC-CE-01,2026-12-24,6:30 PM,Family Service,Aisle Usher,Grover Massie,confirmed,FALSE,(270) 555-4264
recRota003,SVC-CE-01,2026-12-24,6:30 PM,Family Service,Aisle Usher,Purvis Coker,confirmed,FALSE,(270) 555-6614
recRota004,SVC-CE-01,2026-12-24,6:30 PM,Family Service,Greeter,,unfilled,FALSE,
recRota005,SVC-CE-01,2026-12-24,6:30 PM,Family Service,Greeter,Orville Ratliff,confirmed,FALSE,(270) 555-7024
recRota006,SVC-CE-01,2026-12-24,6:30 PM,Family Service,Offering Handler,Bud Osteen,tentative,TRUE,(270) 555-2457
recRota007,SVC-CE-01,2026-12-24,6:30 PM,Family Service,Backup Usher,Hollis Pyle,confirmed,FALSE,(270) 555-3158
recRota008,SVC-CE-02,2026-12-24,8:00 PM,Traditional Service,Head Usher,Frank Tarpley,confirmed,TRUE,(270) 555-7045
recRota009,SVC-CE-02,2026-12-24,8:00 PM,Traditional Service,Aisle Usher,,unfilled,FALSE,
recRota010,SVC-CE-02,2026-12-24,8:00 PM,Traditional Service,Aisle Usher,Elmer Dockery,confirmed,FALSE,(270) 555-6134
recRota011,SVC-CE-02,2026-12-24,8:00 PM,Traditional Service,Aisle Usher,Emmett Sowell,confirmed,FALSE,(270) 555-5712
recRota012,SVC-CE-02,2026-12-24,8:00 PM,Traditional Service,Greeter,Booker Yates,confirmed,FALSE,(270) 555-7191
recRota013,SVC-CE-02,2026-12-24,8:00 PM,Traditional Service,Greeter,Waylon Peel,confirmed,FALSE,(270) 555-3526
recRota014,SVC-CE-02,2026-12-24,8:00 PM,Traditional Service,Offering Handler,Mattie Ruth Sanger,confirmed,TRUE,(270) 555-9826
recRota015,SVC-CE-02,2026-12-24,8:00 PM,Traditional Service,Backup Usher,Merle Whitfield,confirmed,FALSE,(270) 555-3501
recRota016,SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Head Usher,Jean Wilkes,confirmed,TRUE,(270) 555-7216
recRota017,SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Aisle Usher,,unfilled,FALSE,
recRota018,SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Aisle Usher,Doyle Nunn,confirmed,FALSE,(270) 555-6652
recRota019,SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Aisle Usher,Harlan Yancey,confirmed,FALSE,(270) 555-0616
recRota020,SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Greeter,Wendell Sartin,confirmed,FALSE,(270) 555-0640
recRota021,SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Greeter,Vernon Duvall,confirmed,FALSE,(270) 555-7803
recRota022,SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Offering Handler,Sam Ivy,confirmed,TRUE,(270) 555-1014
recRota023,SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Overflow,,unfilled,FALSE,
recRota024,SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Backup Usher,Cletus Fentress,confirmed,FALSE,(270) 555-3598
recRota025,SVC-CE-03,2026-12-24,10:30 PM,Candlelight Service,Backup Usher,Otis Trimble,confirmed,FALSE,(270) 555-7101
recRota026,SVC-NY-01,2026-12-31,7:00 PM,Watchnight Service,Head Usher,Ruth Halbrook,confirmed,TRUE,(270) 555-4871
recRota027,SVC-NY-01,2026-12-31,7:00 PM,Watchnight Service,Aisle Usher,Roy Bramlett,confirmed,FALSE,(270) 555-7827
recRota028,SVC-NY-01,2026-12-31,7:00 PM,Watchnight Service,Aisle Usher,Kermit Overby,confirmed,FALSE,(270) 555-5009
recRota029,SVC-NY-01,2026-12-31,7:00 PM,Watchnight Service,Greeter,,unfilled,FALSE,
recRota030,SVC-NY-01,2026-12-31,7:00 PM,Watchnight Service,Greeter,Corine Latham,confirmed,FALSE,(270) 555-2436
recRota031,SVC-NY-01,2026-12-31,7:00 PM,Watchnight Service,Offering Handler,Rufus Kilburn,confirmed,FALSE,(270) 555-9611
recRota032,SVC-NY-01,2026-12-31,7:00 PM,Watchnight Service,Backup Usher,Cyrus Wathen,confirmed,FALSE,(270) 555-2346
recRota033,SVC-NY-02,2026-12-31,10:30 PM,Candlelight Prayer,Head Usher,,unfilled,FALSE,
recRota034,SVC-NY-02,2026-12-31,10:30 PM,Candlelight Prayer,Aisle Usher,Elmer Dockery,confirmed,FALSE,(270) 555-6134
recRota035,SVC-NY-02,2026-12-31,10:30 PM,Candlelight Prayer,Aisle Usher,Orville Ratliff,confirmed,FALSE,(270) 555-7024
recRota036,SVC-NY-02,2026-12-31,10:30 PM,Candlelight Prayer,Aisle Usher,Hollis Pyle,confirmed,FALSE,(270) 555-3158
recRota037,SVC-NY-02,2026-12-31,10:30 PM,Candlelight Prayer,Greeter,Harlan Yancey,confirmed,FALSE,(270) 555-0616
recRota038,SVC-NY-02,2026-12-31,10:30 PM,Candlelight Prayer,Greeter,Grover Massie,confirmed,FALSE,(270) 555-4264
recRota039,SVC-NY-02,2026-12-31,10:30 PM,Candlelight Prayer,Offering Handler,,unfilled,FALSE,
recRota040,SVC-NY-02,2026-12-31,10:30 PM,Candlelight Prayer,Backup Usher,Merle Whitfield,confirmed,FALSE,(270) 555-3501
recRota041,SVC-NY-02,2026-12-31,10:30 PM,Candlelight Prayer,Backup Usher,Doyle Nunn,confirmed,FALSE,(270) 555-6652
