id,summary,description,time_zone,access_role,primary,color_id
cal_primary,Aaron Delgado,Personal calendar,America/Los_Angeles,owner,True,1
cal_cedarridge,Cedar Ridge Dojo,"Classes, events, tournament schedule",America/Los_Angeles,writer,False,9
cal_cascade,Cascade Interactive,"Studio sprints, meetings, milestones",America/Los_Angeles,reader,False,5
cal-00103,Aaron Cycling v4,America/New_York,#aa00ff,false,detail_652,gen_68499
cal-00104,Kids School v5,Asia/Tokyo,#ff6d00,false,detail_588,gen_17129
cal-00105,Kendo Tournament Circuit v6,America/New_York,#00c853,false,detail_105,gen_98165
cal-00106,Family Delgado v7,America/Los_Angeles,#3d5afe,false,detail_778,gen_32414
cal-00107,Family Delgado v8,Asia/Tokyo,#d50000,false,detail_333,gen_18738
cal-00108,Studio External v9,America/Los_Angeles,#00c853,true,detail_855,gen_83443
cal-00109,Aaron Personal v1,Asia/Tokyo,#aa00ff,false,detail_884,gen_78071
cal-00110,Aaron Woodworking v2,America/Chicago,#00c853,true,detail_586,gen_26949
cal-00111,Family Delgado v3,America/New_York,#aa00ff,true,detail_761,gen_40769
cal-00112,Studio External v4,America/Los_Angeles,#3d5afe,true,detail_103,gen_48223
cal-00113,Studio External v5,America/Los_Angeles,#00c853,true,detail_674,gen_64192
cal-00114,Kids School v6,America/Los_Angeles,#d50000,false,detail_880,gen_15197
cal-00115,Kendo Tournament Circuit v7,America/Los_Angeles,#ff6d00,false,detail_555,gen_33883
cal-00116,Family Delgado v8,America/New_York,#d50000,false,detail_770,gen_19354
cal-00117,Aaron Cycling v9,America/Los_Angeles,#ff6d00,true,detail_159,gen_93733
cal-00118,Studio External v1,Asia/Tokyo,#ff6d00,true,detail_441,gen_59122
cal-00119,Kendo Tournament Circuit v2,Asia/Tokyo,#3d5afe,true,detail_606,gen_86664
cal-00120,Family Delgado v3,America/Los_Angeles,#d50000,false,detail_871,gen_87694
cal-00121,Kendo Tournament Circuit v4,Asia/Tokyo,#d50000,true,detail_495,gen_77352
cal-00122,Kendo Tournament Circuit v5,America/New_York,#00c853,true,detail_351,gen_89964
cal-00123,Lantern Keeper v6,America/New_York,#d50000,true,detail_282,gen_19517
cal-00124,Aaron Woodworking v7,Asia/Tokyo,#00c853,false,detail_426,gen_10977
cal-00125,Kendo Tournament Circuit v8,Asia/Tokyo,#ff6d00,true,detail_284,gen_17718
cal-00126,Kendo Tournament Circuit v9,America/Chicago,#00c853,true,detail_506,gen_44325
cal-00127,Kids School v1,America/Los_Angeles,#ff6d00,false,detail_664,gen_70108
cal-00128,Kendo Tournament Circuit v2,Asia/Tokyo,#3d5afe,true,detail_819,gen_73533
cal-00129,Family Delgado v3,America/Los_Angeles,#ff6d00,true,detail_600,gen_54574
cal-00130,Family Delgado v4,America/Los_Angeles,#aa00ff,true,detail_117,gen_92259
cal-00131,Lantern Keeper v5,America/Los_Angeles,#3d5afe,true,detail_393,gen_77138
cal-00132,Aaron Cycling v6,Asia/Tokyo,#00c853,false,detail_497,gen_38690
cal-00133,Studio External v7,Asia/Tokyo,#aa00ff,true,detail_168,gen_14829
cal-00134,Cedar Ridge Ops v8,America/Los_Angeles,#aa00ff,true,detail_836,gen_78035
cal-00135,Studio External v9,America/Los_Angeles,#aa00ff,false,detail_373,gen_71947
cal-00136,Aaron Woodworking v1,America/Los_Angeles,#3d5afe,false,detail_211,gen_74797
cal-00137,Studio External v2,America/Chicago,#aa00ff,true,detail_645,gen_76614
cal-00138,Cedar Ridge Ops v3,America/New_York,#ff6d00,true,detail_517,gen_09088
cal-00139,Aaron Cycling v4,Asia/Tokyo,#00c853,false,detail_306,gen_26099
cal-00140,Aaron Cycling v5,Asia/Tokyo,#00c853,false,detail_959,gen_61078
cal-00141,Cedar Ridge Ops v6,America/Chicago,#aa00ff,false,detail_477,gen_19627
cal-00142,Kendo Tournament Circuit v7,America/Los_Angeles,#d50000,false,detail_717,gen_60123
cal-00143,Lantern Keeper v8,America/Chicago,#d50000,false,detail_679,gen_06456
cal-00144,Lantern Keeper v9,Asia/Tokyo,#d50000,false,detail_965,gen_17134
cal-00145,Studio External v1,America/Los_Angeles,#3d5afe,true,detail_830,gen_08449
cal-00146,Aaron Cycling v2,Asia/Tokyo,#aa00ff,true,detail_970,gen_24643
cal-00147,Aaron Woodworking v3,America/New_York,#d50000,true,detail_760,gen_89354
cal-00148,Kendo Tournament Circuit v4,Asia/Tokyo,#d50000,false,detail_997,gen_37795
cal-00149,Kendo Tournament Circuit v5,America/Chicago,#00c853,false,detail_427,gen_78923
cal-00150,Kids School v6,Asia/Tokyo,#00c853,true,detail_558,gen_07459
