id,createdTime,Student,Status,CoPayUsd
recCost0000000001,2026-10-11T00:00:00.000Z,Tasha Owens,outstanding,40
recCost0000000002,2026-10-11T00:00:00.000Z,Nicole Kearney,outstanding,40
recCost0000000003,2026-10-11T00:00:00.000Z,Ashley Bauer,outstanding,40
recCost0000000004,2026-10-11T00:00:00.000Z,Maria Concepcion,outstanding,40
recCost0000000005,2026-10-11T00:00:00.000Z,Sarah O'Connell,outstanding,40
recCost0000000006,2026-10-11T00:00:00.000Z,Kelly DiSanto,outstanding,40
recCost0000000007,2026-10-11T00:00:00.000Z,Rosa Iglesias,outstanding,40
recCost0000000008,2026-10-11T00:00:00.000Z,Jennifer Holcomb,outstanding,40
recCost0000000009,2026-10-11T00:00:00.000Z,Renee Atkins,outstanding,40
recCost0000000010,2026-10-11T00:00:00.000Z,Patricia Wong,outstanding,40
recCost0000000011,2026-10-11T00:00:00.000Z,Crystal Aguilar,outstanding,40
recCost0000000012,2026-10-11T00:00:00.000Z,Hope Mitchell,outstanding,40
recCost0000000013,2026-10-11T00:00:00.000Z,Erin Donaldson,outstanding,40
recCost0000000014,2026-10-11T00:00:00.000Z,Vanessa Choi,outstanding,40
recCost0000000015,2026-10-11T00:00:00.000Z,Tina Mwangi,outstanding,40
recCost0000000016,2026-10-11T00:00:00.000Z,Sasha Kim,outstanding,40
recCost0000000001-e001,2026-10-11T00:00:00.000Z,Tasha Owens,outstanding,40
recCost0000000002-e001,2026-10-11T00:00:00.000Z,Nicole Kearney,outstanding,40
recCost0000000003-e001,2026-10-11T00:00:00.000Z,Ashley Bauer,outstanding,40
recCost0000000004-e001,2026-10-11T00:00:00.000Z,Maria Concepcion,outstanding,40
recCost0000000005-e001,2026-10-11T00:00:00.000Z,Sarah O'Connell,outstanding,40
recCost0000000006-e001,2026-10-11T00:00:00.000Z,Kelly DiSanto,outstanding,40
recCost0000000007-e001,2026-10-11T00:00:00.000Z,Rosa Iglesias,outstanding,40
recCost0000000008-e001,2026-10-11T00:00:00.000Z,Jennifer Holcomb,outstanding,40
recCost0000000009-e001,2026-10-11T00:00:00.000Z,Renee Atkins,outstanding,40
recCost0000000010-e001,2026-10-11T00:00:00.000Z,Patricia Wong,outstanding,40
recCost0000000011-e001,2026-10-11T00:00:00.000Z,Crystal Aguilar,outstanding,40
recCost0000000012-e001,2026-10-11T00:00:00.000Z,Hope Mitchell,outstanding,40
recCost0000000013-e001,2026-10-11T00:00:00.000Z,Erin Donaldson,outstanding,40
recCost0000000014-e001,2026-10-11T00:00:00.000Z,Vanessa Choi,outstanding,40
recCost0000000015-e001,2026-10-11T00:00:00.000Z,Tina Mwangi,outstanding,40
recCost0000000016-e001,2026-10-11T00:00:00.000Z,Sasha Kim,outstanding,40
recCost0000000001-e002,2026-10-11T00:00:00.000Z,Tasha Owens,outstanding,40
recCost0000000002-e002,2026-10-11T00:00:00.000Z,Nicole Kearney,outstanding,40
recCost0000000003-e002,2026-10-11T00:00:00.000Z,Ashley Bauer,outstanding,40
recCost0000000004-e002,2026-10-11T00:00:00.000Z,Maria Concepcion,outstanding,40
recCost0000000005-e002,2026-10-11T00:00:00.000Z,Sarah O'Connell,outstanding,40
recCost0000000006-e002,2026-10-11T00:00:00.000Z,Kelly DiSanto,outstanding,40
recCost0000000007-e002,2026-10-11T00:00:00.000Z,Rosa Iglesias,outstanding,40
recCost0000000008-e002,2026-10-11T00:00:00.000Z,Jennifer Holcomb,outstanding,40
recCost0000000009-e002,2026-10-11T00:00:00.000Z,Renee Atkins,outstanding,40
recCost0000000010-e002,2026-10-11T00:00:00.000Z,Patricia Wong,outstanding,40
recCost0000000011-e002,2026-10-11T00:00:00.000Z,Crystal Aguilar,outstanding,40
recCost0000000012-e002,2026-10-11T00:00:00.000Z,Hope Mitchell,outstanding,40
recCost0000000013-e002,2026-10-11T00:00:00.000Z,Erin Donaldson,outstanding,40
recCost0000000014-e002,2026-10-11T00:00:00.000Z,Vanessa Choi,outstanding,40
recCost0000000015-e002,2026-10-11T00:00:00.000Z,Tina Mwangi,outstanding,40
recCost0000000016-e002,2026-10-11T00:00:00.000Z,Sasha Kim,outstanding,40
recCost0000000001-e003,2026-10-11T00:00:00.000Z,Tasha Owens,outstanding,40
recCost0000000002-e003,2026-10-11T00:00:00.000Z,Nicole Kearney,outstanding,40
recCost0000000003-e003,2026-10-11T00:00:00.000Z,Ashley Bauer,outstanding,40
recCost0000000004-e003,2026-10-11T00:00:00.000Z,Maria Concepcion,outstanding,40
recCost0000000005-e003,2026-10-11T00:00:00.000Z,Sarah O'Connell,outstanding,40
recCost0000000006-e003,2026-10-11T00:00:00.000Z,Kelly DiSanto,outstanding,40
recCost0000000007-e003,2026-10-11T00:00:00.000Z,Rosa Iglesias,outstanding,40
recCost0000000008-e003,2026-10-11T00:00:00.000Z,Jennifer Holcomb,outstanding,40
recCost0000000009-e003,2026-10-11T00:00:00.000Z,Renee Atkins,outstanding,40
recCost0000000010-e003,2026-10-11T00:00:00.000Z,Patricia Wong,outstanding,40
recCost0000000011-e003,2026-10-11T00:00:00.000Z,Crystal Aguilar,outstanding,40
recCost0000000012-e003,2026-10-11T00:00:00.000Z,Hope Mitchell,outstanding,40
recCost0000000013-e003,2026-10-11T00:00:00.000Z,Erin Donaldson,outstanding,40
recCost0000000014-e003,2026-10-11T00:00:00.000Z,Vanessa Choi,outstanding,40
recCost0000000015-e003,2026-10-11T00:00:00.000Z,Tina Mwangi,outstanding,40
recCost0000000016-e003,2026-10-11T00:00:00.000Z,Sasha Kim,outstanding,40
recCost0000000001-e004,2026-10-11T00:00:00.000Z,Tasha Owens,outstanding,40
