name	discipline	since	email	phone	city	status
Sarah Nelson	Photography and installation	2025	sarah.nelson@gmail.com	(928) 555-0412	Flagstaff, AZ	Active
James Ortega	Painting	2021	james.ortega@gmail.com	(505) 555-0613	Albuquerque, NM	Active
Maria Chen	Textile	2022	maria.chen@gmail.com	(505) 555-0729	Santa Fe, NM	Active
Daniel Hsu	Ceramics	2020	daniel.hsu@gmail.com	(505) 555-0844	Albuquerque, NM	Active
Tom Becker	Photography	2023	tom.becker@gmail.com	(575) 555-0451	Las Cruces, NM	Active
Rosa Delgado	Sculpture	2021	rosa.delgado@gmail.com	(505) 555-0967	Albuquerque, NM	Active
Aaron Wu	Mixed media	2022	aaron.wu@gmail.com	(505) 555-0188	Santa Fe, NM	Active
Priya Nair	Painting	2024	priya.nair@gmail.com	(505) 555-0276	Albuquerque, NM	Active
Cole Anderson	Sculpture	2020	cole.anderson@gmail.com	(575) 555-0334	Taos, NM	Active
Naomi Frank	Printmaking	2023	naomi.frank@gmail.com	(505) 555-0521	Albuquerque, NM	Active
Hector Vargas	Ceramics	2021	hector.vargas@gmail.com	(505) 555-0639	Albuquerque, NM	Active
Lily Tran	Textile	2024	lily.tran@gmail.com	(505) 555-0742	Santa Fe, NM	Active
Marcus Oliver	Sculpture	2025	marcus.oliver@gmail.com	(575) 555-0389	Albuquerque, NM	Emerging, studio assistant
Devon Reed	Photography	2022	devon.reed@gmail.com	(505) 555-0855	Albuquerque, NM	Active
Sandra Kim	Painting	2023	sandra.kim@gmail.com	(505) 555-0918	Santa Fe, NM	Active
Eli Moreno	Mixed media	2021	eli.moreno@gmail.com	(505) 555-0103	Albuquerque, NM	Active
Grace Okafor	Painting	2024	grace.okafor@gmail.com	(505) 555-0247	Albuquerque, NM	Active
Owen Pratt	Printmaking	2022	owen.pratt@gmail.com	(575) 555-0362	Silver City, NM	Active
