Category	Name	Organization	Role	Phone	Email	Address	Preferred Contact	Notes
Personal	Vera Simmons		Best friend	304-555-0134	vera.simmons.chas@gmail.com	Charleston, WV	Phone or text	Thursday dinner standing. Know about health and most personal things.
Personal	Joel Wilson		Brother	304-555-0102	joel.wilson.mgtn@gmail.com	Morgantown, WV	Phone or WhatsApp	Biweekly Sunday calls. Software developer. Handles site infrastructure.
Personal	Patricia Wilson		Mother	304-555-0101		Huntington, WV	Voice call only	Voice calls only, no text. Monthly cadence or more.
Personal	Nadia Petrov	Capitol Books	Friend and neighbor	304-555-0210	nadia@capitolbooks.com	208 Capitol St, Charleston, WV	Text or Telegram	Studio neighbor. Lunch coordination, snow days, neighborhood notes.
Medical	Dr. Hannah Morris	Private Practice	Therapist	304-555-0415	(patient portal)	Charleston, WV	Patient portal	Weekly Wednesday 5 PM sessions. CBT plus mindfulness.
Medical	Dr. Alan Stokes	CAMC GI	Gastroenterologist	304-555-0420	(CAMC portal)	Charleston, WV	CAMC portal	IBS-M management. Every 6 months.
Medical	Dr. Ellen Hart	CAMC Primary Care	Primary care physician	304-555-0425	(CAMC portal)	Charleston, WV	CAMC portal	Annual physical, February.
Medical	Dr. Chen	Charleston Dental	Dentist	304-555-0430	(office portal)	Charleston, WV	Office portal	Every 6 months. Next December 2026.
Business	University of Charleston Art Dept	University of Charleston	Employer - adjunct	304-555-0600	art.dept@uc-charleston.edu	2300 MacCorkle Ave SE, Charleston, WV 25304	Email	Adjunct ceramics, fall and spring semesters.
Business	Marco Holcomb		Commission client	304-555-0500	marco.h.wv@gmail.com	Huntington, WV	Email	Active commission - 12-piece dinnerware set.
Business	Tamarack Marketplace	Tamarack	Retail partner		vendor@tamarackwv.com	I-77, Beckley, WV 25801	Email	Seasonal consignment. Fall showcase October 2026.
Business	Capitol Market Gift Shop	Capitol Market	Retail partner		giftshop@capitolmarket.net	800 Smith St, Charleston, WV 25301	Email	Seasonal stock. Holiday fair December 2026.
Business	Mountain Stage Gift Shop	Mountain Stage	Retail partner		shop@mountainstage.org	Capitol Music Hall, Charleston, WV	Email	Seasonal consignment.
Business	Charleston Clay Co.	Charleston Clay Co.	Clay supplier	304-555-0700	orders@charlestonclay.com	Charleston, WV	Phone or email	Primary clay and glaze supplier. Monthly orders.
Business	Sheffield Pottery	Sheffield Pottery	Online supplier		orders@sheffieldpottery.com	Online	Email	Specialty glazes and kiln supplies.
Business	Blick Art Materials	Blick	Online supplier		customerservice@dickblick.com	Online	Email	Tools, packaging, art supplies.
Building	Capitol Street Properties		Landlord	304-555-0800	rentals@capitolstprop.com	Charleston, WV	Email or phone	Studio and apartment lease. Renewal February 2027 or purchase offer pending.
Financial	City National Bank	City National Bank	Bank	304-555-0900	support@cnb.com	500 Virginia St E, Charleston, WV 25301	Phone or in-person	Checking and savings accounts.
Financial	Student Loans Servicer	MOHELA	Loan servicer	1-888-866-4352	support@mohela.com	Online	Online portal	Income-driven repayment, $120/month.
