Athlete	Jeff Peterson
Log	Ski touring and uphill training
Season	Winter 2025-26
Device	Garmin Fenix 7X

Date	Location	Vert_ft	Distance_mi	Moving_time	Avg_HR	Notes
2025-12-02	Teton Pass, Mount Glory laps	3200	5.1	1:42	148	Two laps before shift
2025-12-09	Snow King uphill	2400	4.0	1:08	152	Skin track repeats
2025-12-18	25 Short, Teton Pass	2900	4.6	1:31	146	Stable, cold smoke
2025-12-27	Taylor Mountain	4100	7.2	2:25	144	Big day with Cody
2026-01-06	Mount Glory dawn laps	3200	5.0	1:39	150	Pre report
2026-01-15	Edelweiss Bowl tour	3800	6.8	2:18	145	
2026-01-24	Snow King uphill	2400	4.0	1:05	154	PR pace
2026-02-02	Coal Creek tour	4400	8.1	2:41	143	Long aerobic day
2026-02-11	Mount Glory laps	3200	5.0	1:40	149	Birthday tour
2026-02-20	Taylor Mountain	4100	7.0	2:22	145	

Season_total_vert_ft	33700
Season_total_distance_mi	56.8
Weekly_average_vert_ft	15400
