customer_id,first_name,last_name,shop_of_record,first_visit,last_visit,visit_count,preferred_service,insurance_carrier,fleet_flag,notes
C-100001,Frank,Bertolini,Market Street,2013-04,2026-08,42,Collision + paint,State Farm,N,Household 8 vehicles across 12 years
C-100002,Louise,Bertolini,Market Street,2014-02,2026-06,28,Collision + paint,State Farm,N,Household spouse
C-100003,Miguel,Torres,Broadway,2024-05,2026-07,3,Fleet cargo van,Progressive,Y,Torres HVAC 4-van fleet
C-100004,Denise,Alvarado,Broadway,2020-09,2026-09,11,DRP claim,Progressive,N,Recent Sept release
C-100005,Diane,Whitfield,Market Street,2018-01,2026-08,19,DRP claim,Allstate,N,Adjuster on personal side
C-100006,Anthony,Colon,Market Street,2015-06,2026-05,7,Referral source,None,N,First Baptist pastor; sent 3 customers 18mo
C-100007,Sam,Lentini,Totowa,2022-10,2026-08,5,Corridor small biz,Geico,N,Lentini deli owner
C-100008,Maria,Pedraza,Market Street,2019-03,2026-09,14,DRP claim,State Farm,N,Sabor Criollo owner; multi-year
C-100009,Brian,Walsh,Market Street,2018-11,2026-07,9,Collision,Geico,N,Steady household repeat
C-100010,Raj,Patel,Broadway,2021-05,2026-08,6,Paint refinish,None,N,Cash paying private client
C-100011,Elena,Vasquez,Totowa,2023-01,2026-06,4,Paint refinish,Progressive,N,Not related to Hector
C-100012,Kevin,Nguyen,Totowa,2024-08,2026-08,3,Fleet delivery,Geico,Y,Small delivery outfit
C-100013,Christopher,OBrien,Market Street,2017-04,2026-04,12,Collision,State Farm,N,Steady state
C-100014,Angela,DeSantis,Broadway,2019-10,2026-05,8,DRP claim,Allstate,N,No known relation to Angela Russo
C-100015,Reggie,Booker,Market Street,2020-12,2026-08,6,Body work,Progressive,N,Referral from Diane Whitfield
C-100016,Priya,Menon,Broadway,2022-07,2026-06,4,Paint refinish,None,N,Cash paying
C-100017,Jamal,Freeman,Totowa,2023-06,2026-07,3,DRP claim,NJ Manufacturers,N,Non-Lopez claim, clean history
C-100018,Sonia,Peralta,Market Street,2016-11,2026-06,15,Collision,State Farm,N,Steady state
C-100019,Ricardo,Mora,Broadway,2020-04,2026-08,8,Paint refinish,None,N,Cash paying
C-100020,Tara,Lindquist,Market Street,2021-08,2026-05,5,Collision,Geico,N,Suburban commuter
C-100021,Vincent,Marino,Market Street,2015-02,2026-07,17,Body work + paint,State Farm,N,Long-time repeat
C-100022,Amara,Okonkwo,Broadway,2024-03,2026-08,3,DRP claim,Progressive,N,Recent addition
C-100023,Leandro,Cardoso,Totowa,2023-11,2026-05,3,Paint refinish,None,N,Cash paying
C-100024,Hannah,Kim,Market Street,2022-01,2026-07,6,Collision,Allstate,N,Referred by Diane
C-100025,Marcus,Whitfield,Market Street,2019-05,2026-06,8,Collision,Allstate,N,Diane Whitfield brother
