name,email,phone,visited_shop,first_time_or_repeat,nps_response,follow_up_eligible,notes
Maria Pedraza,m.pedraza@saborc.com,973-555-0408,Market St,Repeat,9,Yes,Sabor Criollo owner; long relationship
Brian Walsh,b.walsh1968@gmail.com,973-555-0412,Market St,Repeat,10,Yes,
Susan Park,susan.park.nj@gmail.com,973-555-0415,Market St,Repeat,9,Yes,
Hector Quintanilla,hector.q@gmail.com,973-555-0418,Market St,First time,8,Yes,Came in for an estimate
Jenna Robertson,j.robertson@gmail.com,973-555-0421,Market St,Repeat,10,Yes,
Manuel Torres,m.torres75@gmail.com,973-555-0424,Market St,Repeat,9,Yes,
Patricia Walters,p.walters@gmail.com,973-555-0427,Market St,Repeat,8,Yes,
Dan Foley,dan.foley.nj@gmail.com,973-555-0430,Market St,Repeat,10,Yes,
Vincent Caldarella,v.caldarella@gmail.com,973-555-0433,Market St,Repeat,9,Yes,
Maria Wong,maria.wong@gmail.com,973-555-0436,Market St,Repeat,10,Yes,
Carlos Mendez,c.mendez.ward5@gmail.com,973-555-0337,Market St,Repeat,10,Yes,Ward 5 festival chair
Rosaria Aviles,r.aviles@gmail.com,973-555-0442,Broadway,Repeat,9,Yes,
Tommaso Caputo,t.caputo@gmail.com,973-555-0445,Broadway,Repeat,8,Yes,
Hannah Lindberg,h.lindberg@gmail.com,973-555-0448,Broadway,First time,9,Yes,
Eric Sanchez,e.sanchez75@gmail.com,973-555-0451,Broadway,Repeat,10,Yes,
Karen Maldonado,k.maldonado@gmail.com,973-555-0454,Broadway,Repeat,10,Yes,
Bryan O'Halloran,b.ohalloran@gmail.com,973-555-0457,Broadway,Repeat,8,Yes,
Lisa Tan,l.tan_paterson@gmail.com,973-555-0460,Broadway,Repeat,9,Yes,
Marcus Trent,m.trent.nj@gmail.com,973-555-0463,Broadway,Repeat,9,Yes,
Eve Vasquez,eve.v@gmail.com,973-555-0466,Broadway,Repeat,10,Yes,
Frances DiPaolo,f.dipaolo@gmail.com,973-555-0469,Totowa,Repeat,8,Yes,
Adam Yamada,adam.y75@gmail.com,973-555-0472,Totowa,Repeat,9,Yes,
Tania Wright,t.wright1985@gmail.com,973-555-0475,Totowa,Repeat,10,Yes,
Nichole Velasquez,n.velasquez@gmail.com,973-555-0478,Totowa,Repeat,9,Yes,
Kim Underwood,k.underwood@gmail.com,973-555-0481,Totowa,Repeat,8,Yes,
Tomas Reyes,t.reyes@gmail.com,973-555-0484,Totowa,First time,7,No,Estimate only
Stan Pelosi,s.pelosi@gmail.com,973-555-0487,Totowa,Repeat,9,Yes,
Linda Garcia,l.garcia.totowa@gmail.com,973-555-0490,Totowa,Repeat,10,Yes,
Marcus Sutter,m.sutter@gmail.com,973-555-0493,Totowa,Repeat,8,Yes,
Steven Reuther,s.reuther@gmail.com,973-555-0496,Totowa,Repeat,9,Yes,
Bridget Connolly,b.connolly@gmail.com,973-555-0499,Totowa,Repeat,10,Yes,
Carlos DiNunzio,c.dinunzio@gmail.com,973-555-0502,Totowa,First time,7,No,Took business card only
Sandra Vinson,s.vinson@gmail.com,973-555-0505,Totowa,Repeat,9,Yes,
Aaron Brown,a.brown.nj@gmail.com,973-555-0508,Broadway,First time,8,Yes,
Helena Wessel,h.wessel@gmail.com,973-555-0511,Broadway,Repeat,10,Yes,
