id,firstname,lastname,email,phone,jobtitle,company,lifecyclestage,createdate,lastmodifieddate
2001,Priya,Shah,priya.shah@tangerinemag.com,+12125550456,Senior Food Editor,Tangerine Magazine,customer,2024-08-01T00:00:00.000Z,2025-01-28T00:00:00.000Z
2002,Sophie,Lindqvist,sophie.lindqvist@oatly.com,+19295550567,Creator Partnerships Manager,Oatly,customer,2024-09-03T00:00:00.000Z,2025-03-02T00:00:00.000Z
2003,Rebecca,Allenford,rebecca.a@saltandpress.com,+12125550511,Senior Editor,Salt + Press LLC,customer,2024-10-06T00:00:00.000Z,2025-04-04T00:00:00.000Z
2004,Devon,Marsh,devon.marsh@praxafresh.com,+14155550632,Senior Creative Producer,Praxa Fresh,opportunity,2024-11-08T00:00:00.000Z,2025-05-07T00:00:00.000Z
2005,Marcus,Chen,m.chen@edgewaterfoodjournal.com,+19195550408,Features Editor,Edgewater Food Journal,lead,2024-12-11T00:00:00.000Z,2025-06-09T00:00:00.000Z
2006,Tomás,Herrera,tomas@gmail.com,+12125550178,Agent,Herrera Creative Management,evangelist,2025-01-13T00:00:00.000Z,2025-07-12T00:00:00.000Z
2007,Ana,Moreira,ana.moreira@gmail.com,+17185550189,Chef and Owner,Estrela Restaurant,customer,2025-02-15T00:00:00.000Z,2025-08-14T00:00:00.000Z
2008,Elena,Ruiz,elena.ruiz@tangerinemag.com,+12125550457,Photo Editor,Tangerine Magazine,customer,2025-02-17T00:00:00.000Z,2025-05-18T00:00:00.000Z
2009,Lena,Wright,lena.wright@saltandpress.com,+12125550614,Legal Counsel,Salt + Press LLC,customer,2025-02-26T00:00:00.000Z,2025-05-27T00:00:00.000Z
2010,Talia,Cross,talia.cross@edgewaterfoodjournal.com,+19175550724,Editor in Chief,Edgewater Food Journal,lead,2025-03-07T00:00:00.000Z,2025-06-05T00:00:00.000Z
2011,Jin,Park,jin.park@praxafresh.com,+14155550634,Brand Strategist,Praxa Fresh,opportunity,2025-03-16T00:00:00.000Z,2025-06-14T00:00:00.000Z
2012,Ravi,Krishnamurthy,ravi.k.cpa@gmail.com,+17185550201,CPA,Greenpoint Tax & Advisory,evangelist,2025-03-25T00:00:00.000Z,2025-06-23T00:00:00.000Z
2013,Jess,Williams,jess.williams.style@gmail.com,+13475550167,Food Stylist,Jess Williams Styling,evangelist,2025-04-03T00:00:00.000Z,2025-07-02T00:00:00.000Z
2014,Yuki,Tanabe,yuki.tanabe.photo@gmail.com,+19175550234,Photographer,Tanabe Photo,evangelist,2025-04-12T00:00:00.000Z,2025-07-11T00:00:00.000Z
2015,Maya,Cole,maya.cole@cobblehillkitchen.com,+17185550298,Marketing Lead,Cobble Hill Kitchen,lead,2025-04-21T00:00:00.000Z,2025-07-20T00:00:00.000Z
2016,Aiden,Cho,aiden.cho@brooklyngrange.com,+17185550312,Brand Director,Brooklyn Grange,customer,2025-04-30T00:00:00.000Z,2025-07-29T00:00:00.000Z
2017,Sasha,Volkov,sasha@lotusflowbk.com,+17185550344,Studio Owner,Lotus Flow Studio,customer,2025-05-09T00:00:00.000Z,2025-08-07T00:00:00.000Z
2018,Production,Team,production@saltandpress.com,+12125550613,Production,Salt + Press LLC,customer,2025-05-18T00:00:00.000Z,2025-08-16T00:00:00.000Z
2019,Mateo,Rivera,mateo.rivera.design@gmail.com,+17185550112,Designer,Independent,evangelist,2025-05-27T00:00:00.000Z,2025-08-25T00:00:00.000Z
