sys_id,user_name,name,email,title,department,active
usr00000000000000000000000000000,mateo.cohen1000,Mateo Cohen,mateo.cohen1000@ridgewoodcollegiate.ca,English Teacher,English,true
usr00000000000000000000000000001,hassan.costa1001,Hassan Costa,hassan.costa1001@ridgewoodcollegiate.ca,Numeracy Lead Teacher,Mathematics,true
usr00000000000000000000000000002,sofia.chen1002,Sofia Chen,sofia.chen1002@ridgewoodcollegiate.ca,Science Teacher,Science,true
usr00000000000000000000000000003,carlos.mensah1003,Carlos Mensah,carlos.mensah1003@ridgewoodcollegiate.ca,History Teacher,Social Studies,false
usr00000000000000000000000000004,nina.dupont1004,Nina Dupont,nina.dupont1004@ridgewoodcollegiate.ca,French Teacher,French,true
usr00000000000000000000000000005,ravi.vasquez1005,Ravi Vasquez,ravi.vasquez1005@ridgewoodcollegiate.ca,Athletics Coordinator,Physical Education,true
usr00000000000000000000000000006,diego.novak1006,Diego Novak,diego.novak1006@ridgewoodcollegiate.ca,Visual Arts Teacher,Arts,true
usr00000000000000000000000000007,lucia.sharma1007,Lucia Sharma,lucia.sharma1007@ridgewoodcollegiate.ca,Computer Studies Teacher,Technology,true
usr00000000000000000000000000008,talia.mensah1008,Talia Mensah,talia.mensah1008@ridgewoodcollegiate.ca,Guidance Counsellor,Guidance,true
usr00000000000000000000000000009,maya.bauer1009,Maya Bauer,maya.bauer1009@ridgewoodcollegiate.ca,Education Assistant,Special Education,true
usr00000000000000000000000000010,lucia.dupont1010,Lucia Dupont,lucia.dupont1010@ridgewoodcollegiate.ca,Attendance Secretary,Office Administration,true
usr00000000000000000000000000011,hiro.petrov1011,Hiro Petrov,hiro.petrov1011@ridgewoodcollegiate.ca,Maintenance Technician,Custodial,true
usr00000000000000000000000000012,yuki.hernandez1012,Yuki Hernandez,yuki.hernandez1012@ridgewoodcollegiate.ca,English Teacher,English,true
usr00000000000000000000000000013,leah.bello1013,Leah Bello,leah.bello1013@ridgewoodcollegiate.ca,Numeracy Lead Teacher,Mathematics,true
usr00000000000000000000000000014,wei.dupont1014,Wei Dupont,wei.dupont1014@ridgewoodcollegiate.ca,Science Teacher,Science,true
usr00000000000000000000000000015,lucia.patel1015,Lucia Patel,lucia.patel1015@ridgewoodcollegiate.ca,History Teacher,Social Studies,true
