HIKING TRAIL LOG
Brian Santos
Asheville NC and surrounding area
Personal record, started 2019

DATE	TRAIL	AREA	DISTANCE (miles)	ELEVATION GAIN (ft)	TIME	COMPANIONS	NOTES
October 12, 2019	Lover's Leap Trail	Hot Springs, NC	3.2	1,100	2h 05m	Solo	Last big solo before Hazel arrives in January. Six months along, took it slower. Needed the mountain air.
November 2, 2019	Mountains to Sea Trail segment, Black Mountain section	Black Mountain	5.8	920	3h 20m	Jess	Jess's first real hike. She did great and complained the whole way. Perfect day.
January 18, 2020	Lover's Leap Trail	Hot Springs, NC	3.2	1,100	1h 55m	Solo	Winter. Empty trail. Frozen ferns. Worth the cold drive.
March 7, 2020	Grassy Ridge Bald via Carvers Gap	Roan Mountain, TN/NC	4.4	1,020	2h 50m	Solo	Balds in March, no crowd. Patches of snow. Stunning.
September 19, 2020	Black Balsam Knob	Blue Ridge Parkway, MP 420	4.3	810	2h 20m	Solo	First time on this trail. Became a regular.
October 10, 2020	Max Patch	Madison County, NC	1.4	160	1h 10m	Neil, Hazel (carrier)	Hazel 9 months in the Ergo. Neil took the photos. We stayed for an hour on top.
February 20, 2021	Lover's Leap Trail	Hot Springs, NC	3.2	1,100	2h 00m	Solo	Needed a reset after a hard February birth.
May 15, 2021	Bearwallow Mountain	Fairview, NC	5.2	1,040	3h 15m	Solo	Close to home. Full apple orchard on top. Wild turkeys.
July 3, 2021	Black Balsam Knob	Blue Ridge Parkway	4.3	810	2h 15m	Jess	Convinced Jess this one was worth it. She agreed at the summit.
September 11, 2021	Shining Rock via Ivestor Gap	Shining Rock Wilderness	8.2	1,200	4h 30m	Solo	First Shining Rock solo. Left at 6:30 AM. Back by noon. Best hike of 2021.
November 6, 2021	Pink Beds Loop	Pisgah National Forest	5.0	350	3h 00m	Solo	Quiet and golden. Mid-fall, most color already gone but the light was good.
January 22, 2022	Mountains to Sea, Craggy area	Blue Ridge Parkway	6.0	1,200	3h 45m	Solo	Iced sections. Wore Yaktrax. Worth it for the views.
April 16, 2022	Grassy Ridge Bald	Roan Mountain	4.4	1,020	2h 45m	Neil, Hazel (2 yo)	Hazel in the Osprey Poco. Neil's knees. Good day. Rhododendrons starting.
June 4, 2022	Black Balsam Knob	Blue Ridge Parkway	4.3	810	2h 20m	Solo	Pre-on-call reset. Wind was strong.
September 17, 2022	Lover's Leap	Hot Springs, NC	3.2	1,100	2h 10m	Solo	8 months pregnant with Owen. Took it easy. Felt like flying at the summit.
October 22, 2022	Bearwallow Mountain	Fairview, NC	5.2	1,040	3h 00m	Solo	Three weeks before Owen was born. Last solo before the newborn stretch.
February 11, 2023	Skinny Dip Falls	Graveyard Fields, BRP	0.8	120	1h 00m	Neil, Hazel, Owen (carrier)	First hike with both kids. Owen in the carrier, Hazel walked the whole thing.
May 13, 2023	Black Balsam Knob	Blue Ridge Parkway	4.3	810	2h 25m	Solo	First real solo since Owen. I cried on top. The good kind.
August 5, 2023	Shining Rock	Shining Rock Wilderness	8.2	1,200	4h 40m	Solo	Hot. Carried extra water. The quartz in August heat is extraordinary.
October 14, 2023	Pink Beds Loop	Pisgah National Forest	5.0	350	3h 05m	Jess	Jess and I talked the whole way about work and kids and the usual.
January 11, 2025	Pink Beds Loop	Pisgah National Forest	5.0	350	3h 00m	Hazel	Hazel (just turned 5) did all 5 miles. Frozen bogs fascinated her.
February 15, 2025	Black Balsam Knob	Blue Ridge Parkway	4.3	810	2h 20m	Solo	Post-hard-month reset. I had been needing this trail.
April 5, 2025	Bearwallow Mountain	Fairview, NC	5.2	1,040	3h 10m	Solo	Spring wildflowers starting. Wild geranium everywhere.
June 21, 2025	Mountains to Sea, Craggy section	Blue Ridge Parkway	5.5	1,100	3h 30m	Solo	Long loop variation. Good views. Very hot by 11 AM.
August 16, 2025	Black Balsam Knob	Blue Ridge Parkway	4.3	810	2h 15m	Solo	Pre-dawn start (6:45 AM). Summit in clouds, then cleared. Magic.
October 4, 2025	Looking Glass Rock	Pisgah National Forest	6.4	1,700	4h 00m	Solo	First time. Scouting for when the kids are older. Stunning summit.
October 18, 2025	Skinny Dip Falls	Graveyard Fields, BRP	0.8	120	1h 05m	Neil, Hazel, Owen	Fall color peak. Best family hike of the year. Owen walked back himself.
November 8, 2025	Mill Creek Trail, Bent Creek	Bent Creek Experimental Forest	2.8	450	1h 55m	Solo	Scouting for a future Hazel hike. Good trail for spring 2026.
January 17, 2026	Black Balsam Knob	Blue Ridge Parkway	4.3	810	2h 30m	Solo	Cold and windy. Ice on the ridgeline. Wore the microspikes. Great day.

TOTALS
Total logged hikes: 30
Total approximate miles logged: 142.6
Solo hikes: 21
With family: 6
With Jess: 3
Favorite trail: Black Balsam Knob (8 times)
