page_id,property_name,property_type,value
pg_thompson_expert,Matter,select,Thompson
pg_delacroix_disc,Matter,select,Delacroix
pg_boudreaux,Matter,select,Boudreaux
pg_nt403,Owner,select,Ralph
pg_nt404,Status,select,Open
pg_nt405,Priority,select,High
pg_nt406,Matter,select,Active
pg_nt407,Owner,select,Ralph
pg_nt408,Status,select,Open
pg_nt409,Priority,select,High
pg_nt410,Matter,select,Active
pg_nt411,Owner,select,Ralph
pg_nt412,Status,select,Open
pg_nt413,Priority,select,High
pg_nt414,Matter,select,Active
pg_nt415,Owner,select,Ralph
pg_nt416,Status,select,Open
pg_nt417,Priority,select,High
pg_nt418,Matter,select,Active
pg_nt419,Owner,select,Ralph
pg_nt420,Status,select,Open
pg_nt421,Priority,select,High
pg_nt422,Matter,select,Active
pg_nt423,Owner,select,Ralph
pg_nt424,Status,select,Open
pg_nt425,Priority,select,High
pg_nt426,Matter,select,Active
pg_nt427,Owner,select,Ralph
pg_nt428,Status,select,Open
pg_nt429,Priority,select,High
pg_thompson_expert,Matter,select,Active
pg_delacroix_disc,Owner,select,Ralph
pg_boudreaux,Status,select,Open
pg_nt403,Priority,select,High
pg_nt404,Matter,select,Active
pg_nt405,Owner,select,Ralph
pg_nt406,Status,select,Open
pg_nt407,Priority,select,High
pg_nt408,Matter,select,Active
pg_nt409,Owner,select,Ralph
