object_id,name,company,street1,street2,city,state,zip,country,phone,email,is_residential,validated
addr-dana,Dana Serrano,,1450 Pennsylvania St,Apt 3B,Denver,CO,80203,US,7205550148,dana.serrano@Finthesiss.ai,true,true
addr-mama,Carmen Serrano,,212 Rosewood Ave,,San Antonio,TX,78209,US,2105550518,carmen.serrano@gmail.com,true,true
addr-0001,Sofia Jimenez,Etsy Returns,773 Cedar St,Ste 100,Aurora,TX,78209,US,6044073146,sofia.jimenez@example.com,true,true
addr-0002,Guillermo Cortes,,2223 Cedar St,,Aurora,CO,80203,US,3377954400,guillermo.cortes@example.com,true,true
addr-0003,Rosa Rios,,3162 Colfax St,Apt 2,San Antonio,TX,78704,US,8944285971,rosa.rios@example.com,false,true
addr-0004,Ramon Salazar,,916 Maple St,Ste 100,Aurora,TX,78704,US,8915791985,ramon.salazar@example.com,true,true
addr-0005,Leah Mendoza,Etsy Returns,931 Alameda St,Unit 4,San Antonio,CO,78704,US,6987167343,leah.mendoza@example.com,true,true
addr-0006,Ximena Beltran,,2011 Colfax St,Apt 2,San Antonio,TX,80203,US,4548438439,ximena.beltran@example.com,true,true
addr-0007,Grace Peralta,Rebozo Co,1509 Alameda St,Ste 100,Denver,TX,78209,US,4310040248,grace.peralta@example.com,true,true
addr-0008,Hector Ortega,,1589 Cedar St,Ste 100,Austin,TX,78704,US,5175036161,hector.ortega@example.com,true,true
addr-0009,Daniel Solis,,3769 Speer St,Apt 2,Aurora,CO,80203,US,7515771768,daniel.solis@example.com,false,true
addr-0010,Nina Okafor,Rebozo Co,2871 Colfax St,Ste 100,Denver,TX,78704,US,5545782500,nina.okafor@example.com,false,true
addr-0011,Lorena Morales,,2502 Maple St,Unit 4,Austin,TX,80203,US,6533180188,lorena.morales@example.com,true,true
addr-0012,Andres Park,,1486 Cedar St,Apt 2,Austin,TX,80203,US,2124509388,andres.park@example.com,false,true
addr-0013,Tomas Bautista,Stonebridge Research,3944 Broadway St,Ste 100,Denver,TX,78704,US,7179872866,tomas.bautista@example.com,false,true
addr-0014,Lorena Fuentes,Stonebridge Research,3309 Maple St,,Austin,CO,78209,US,8463815001,lorena.fuentes@example.com,true,true
addr-0015,Carlos Ortega,,750 Colfax St,Apt 2,Denver,CO,78704,US,3973501470,carlos.ortega@example.com,true,true
addr-0016,Gabriel Contreras,Etsy Returns,3263 Cedar St,Ste 100,Austin,CO,78704,US,2228620512,gabriel.contreras@example.com,false,true
addr-0017,Ximena Mendoza,,689 Broadway St,Ste 100,San Antonio,CO,80203,US,4179312960,ximena.mendoza@example.com,false,true
addr-0018,Nadia Villalobos,Rebozo Co,1760 Alameda St,Apt 2,Austin,TX,78209,US,6071385489,nadia.villalobos@example.com,false,true
addr-0019,Monica Ramirez,,2829 Broadway St,Ste 100,Denver,TX,78209,US,3519051712,monica.ramirez@example.com,true,true
addr-0020,Lucia Herrera,,528 Broadway St,Unit 4,San Antonio,CO,78704,US,7753900054,lucia.herrera@example.com,false,true
addr-0021,Omar Rangel,Etsy Returns,867 Alameda St,Ste 100,Austin,TX,80203,US,5123452619,omar.rangel@example.com,true,true
addr-0022,Lorena Salazar,,966 Speer St,Ste 100,Aurora,TX,80203,US,6428202018,lorena.salazar@example.com,true,true
