payout_id,guest_teacher,pay_period,sessions_paid,hours_claimed,hourly_rate,gross_amount,status,funding_line,processed_date
PO-1001,Thanh Bui,2026-09 P1,9,18,42,756.00,Paid,L-100,2026-10-05
PO-1002,Thanh Bui,2026-10 P2,9,22,42,924.00,Paid,L-100,2026-11-05
PO-1003,Bao Vuong,2026-09 P1,8,16,42,672.00,Paid,L-100,2026-10-05
PO-1004,Bao Vuong,2026-10 P2,8,16,42,672.00,Paid,L-100,2026-11-05
PO-1010,Bao Vuong,2026-10 P2,8,16,42,672.00,Paid,L-100,2026-11-06
PO-1005,Linh Dao,2026-09 P1,7,14,42,588.00,Paid,L-100,2026-10-05
PO-1006,Linh Dao,2026-10 P2,8,16,42,672.00,Paid,L-100,2026-11-05
PO-1007,Peter Doan,2026-09 P1,6,12,42,504.00,Paid,L-100,2026-10-05
PO-1008,Peter Doan,2026-10 P2,6,12,42,504.00,Paid,L-100,2026-11-05
PO-1009,Gerald Simmons,2026-10 P2,3,6,42,252.00,Paid,L-100,2026-11-05
PO-1011,Thanh Bui,2026-11 P3,5,10,42,420.00,Pending,L-100,2026-12-05
