route_id,driver,neighborhood,am_pickup,pm_dropoff,riders
BUS-01,Paula Lopez,Midtown,7:15 AM,3:10 PM,57
BUS-02,Hoa Nguyen,Alief,6:25 AM,4:45 PM,53
BUS-03,Zoe Walker,Third Ward,6:15 AM,4:25 PM,31
BUS-04,Isaiah Wilson,Gulfton,7:40 AM,4:45 PM,56
BUS-05,Nadia Clark,Bellaire,7:40 AM,4:45 PM,45
BUS-06,Elena Flores,Gulfton,7:55 AM,3:45 PM,46
BUS-07,Minh Dang,Third Ward,7:40 AM,4:10 PM,56
BUS-08,Linh Ly,Chinatown,7:25 AM,3:10 PM,53
BUS-09,Duc Nguyen,Bellaire,7:05 AM,3:10 PM,43
BUS-10,Camila Torres,Spring Branch,6:55 AM,3:45 PM,56
BUS-11,Isaiah Walker,Gulfton,6:55 AM,4:25 PM,48
BUS-12,Diego Martinez,Sharpstown,6:40 AM,4:45 PM,35
