claim_id,volunteer_name,event,hours_claimed,submitted_by,submit_date
VC-01,Angela Brooks,Fall Literacy Night,12,Angela Brooks,2026-10-18
VC-02,Maria Sanchez,Fall Literacy Night,8,Angela Brooks,2026-10-18
VC-03,Hoa Nguyen,Fall Literacy Night,6,Angela Brooks,2026-10-18
VC-04,Angela Brooks,Bilingual Cultural Showcase,15,Angela Brooks,2026-11-08
VC-05,David Tran,Bilingual Cultural Showcase,10,Angela Brooks,2026-11-08
VC-06,Lucia Flores,Bilingual Cultural Showcase,10,Angela Brooks,2026-11-08
VC-07,Kim Ho,Bilingual Cultural Showcase,8,Angela Brooks,2026-11-08
VC-08,Peter Doan,Music Program Family Open House,9,Rosa Delgado,2026-10-04
VC-09,Grace Williams,Music Program Family Open House,6,Rosa Delgado,2026-10-04
VC-10,Angela Brooks,Newcomer Welcome Reception,7,Angela Brooks,2026-09-20
VC-11,Ana Garcia,Newcomer Welcome Reception,5,Angela Brooks,2026-09-20
VC-12,Minh Le,Parent Workshop - Navigating Middle School,4,Tuan Ngo,2026-10-24
VC-13,Sofia Martinez,Parent Workshop - Navigating Middle School,4,Tuan Ngo,2026-10-24
VC-14,Angela Brooks,Dual-Language Info Session (Sharpstown),3,Andrew Pham,2026-10-30
VC-15,Carlos Lopez,Dual-Language Info Session (Sharpstown),3,Andrew Pham,2026-10-30
VC-16,Nadia Omar,Fall Literacy Night,5,Angela Brooks,2026-10-18
VC-17,David Tran,Music Program Family Open House,6,Rosa Delgado,2026-10-04
VC-18,Maria Sanchez,Bilingual Cultural Showcase,9,Angela Brooks,2026-11-08
VC-19,Grace Williams,Newcomer Welcome Reception,4,Angela Brooks,2026-09-20
VC-20,Kim Ho,Fall Literacy Night,5,Angela Brooks,2026-10-18
