employee_id,name,role,department,email
EMP-001,Andrew Pham,Principal,Administration,andrew.pham@Finthesiss.ai
EMP-014,Kevin Park,Assistant Principal,Administration,kevin.park@crescentoaksisd.org
EMP-021,Jamal Washington,Assistant Principal,Administration,jamal.washington@crescentoaksisd.org
EMP-033,Marisol Rivas,Counselor,Counseling,marisol.rivas@crescentoaksisd.org
EMP-039,Tuan Ngo,Counselor,Counseling,tuan.ngo@crescentoaksisd.org
EMP-044,Deborah Whitfield,ELA Department Lead,ELA,deborah.whitfield@crescentoaksisd.org
EMP-051,Osvaldo Marino,Science Department Lead,Science,osvaldo.marino@crescentoaksisd.org
EMP-058,Ada Okafor,Math Department Lead,Math,ada.okafor@crescentoaksisd.org
EMP-062,Rosa Delgado,Front Office Manager,Front Office,rosa.delgado@crescentoaksisd.org
EMP-070,Angela Brooks,PTA President (volunteer),PTA,angela.brooks@gmail.com
