id,channel_id,team_id,from_user_id,from_display_name,content,content_type,importance,created_date
1750000000001,19:chan-pem-gen@thread.tacv2,19:team-pembroke@thread.tacv2,user-mt,Madeline Trent (Pembroke),"Welcome, Jennifer. Confirming Naomi's tour for the third week of October.",html,normal,2026-09-18T14:11:00Z
1750000000002,19:chan-pem-gen@thread.tacv2,19:team-pembroke@thread.tacv2,user-jc,Jennifer Clark,Thank you. We are flexible Monday afternoons.,html,normal,2026-09-18T15:02:00Z
1750000000003,19:chan-pem-gen@thread.tacv2,19:team-pembroke@thread.tacv2,user-mt,Madeline Trent (Pembroke),"Tour set for Monday October 19, 1:30pm.",html,normal,2026-09-22T12:45:00Z
1750000000004,19:chan-pem-gen@thread.tacv2,19:team-pembroke@thread.tacv2,user-jc,Jennifer Clark,Confirmed. Naomi and I will be there.,html,normal,2026-09-22T18:30:00Z
1750000000005,19:chan-pem-gen@thread.tacv2,19:team-pembroke@thread.tacv2,user-mt,Madeline Trent (Pembroke),Financial aid packet is in your portal.,html,normal,2026-09-25T11:00:00Z
1750000000006,19:chan-pem-gen@thread.tacv2,19:team-pembroke@thread.tacv2,user-mt,Madeline Trent (Pembroke),Please return the recommender form by November 1.,html,normal,2026-09-29T13:15:00Z
1750000000007,19:chan-pem-gen@thread.tacv2,19:team-pembroke@thread.tacv2,user-jc,Jennifer Clark,On the list. Will route to Naomi's homeroom teacher this week.,html,normal,2026-09-29T20:00:00Z
1750000000008,19:chan-pem-gen@thread.tacv2,19:team-pembroke@thread.tacv2,user-mt,Madeline Trent (Pembroke),"Reminder, shadow day options are November 5 or 12.",html,normal,2026-09-30T10:00:00Z
1750000000009,19:chan-pem-gen@thread.tacv2,19:team-pembroke@thread.tacv2,user-jc,Jennifer Clark,We will pick after the Atlanta block lands.,html,normal,2026-09-30T21:10:00Z
1750000000010,19:chan-pem-gen@thread.tacv2,19:team-pembroke@thread.tacv2,user-mt,Madeline Trent (Pembroke),Pembroke open house is October 25.,html,normal,2026-10-01T09:30:00Z
1750000000011,19:chan-pem-tour@thread.tacv2,19:team-pembroke@thread.tacv2,user-mt,Madeline Trent (Pembroke),Tour confirmation October 19 1:30pm.,html,normal,2026-09-22T12:48:00Z
1750000000012,19:chan-pem-tour@thread.tacv2,19:team-pembroke@thread.tacv2,user-mt,Madeline Trent (Pembroke),Park in the visitor lot.,html,normal,2026-09-22T12:49:00Z
1750000000013,19:chan-pem-tour@thread.tacv2,19:team-pembroke@thread.tacv2,user-jc,Jennifer Clark,Got it.,html,normal,2026-09-22T18:31:00Z
1750000000014,19:chan-pem-tour@thread.tacv2,19:team-pembroke@thread.tacv2,user-mt,Madeline Trent (Pembroke),Bring a copy of the prior school report card.,html,normal,2026-09-26T09:00:00Z
1750000000015,19:chan-pem-tour@thread.tacv2,19:team-pembroke@thread.tacv2,user-jc,Jennifer Clark,Will do.,html,normal,2026-09-26T19:00:00Z
1750000000016,19:chan-pem-tour@thread.tacv2,19:team-pembroke@thread.tacv2,user-mt,Madeline Trent (Pembroke),Tour will run about 75 minutes.,html,normal,2026-09-28T10:00:00Z
1750000000017,19:chan-iro-gen@thread.tacv2,19:team-ironwood@thread.tacv2,user-fo,Ironwood Front Office,Reminder: parent teacher conferences October 22 evening.,html,normal,2026-09-15T13:00:00Z
1750000000018,19:chan-iro-gen@thread.tacv2,19:team-ironwood@thread.tacv2,user-fo,Ironwood Front Office,School photos on October 7.,html,normal,2026-09-22T10:00:00Z
