id,employeeId,name,type,start,end
who-9001,hb_miguel,Miguel Reyes,Vacation,2026-10-07,2026-10-07
who-9002,hb_deshawn,DeShawn Williams,Vacation,2026-10-07,2026-10-07
who-9003,hb_maya,Maya Singh,Personal,2026-10-07,2026-10-07
who-9004,hb_carlos,Carlos Medina,Vacation,2026-10-02,2026-10-02
who-9005,hb_miguel,Miguel Reyes,Personal,2026-10-06,2026-10-06
who-9006,hb_carlos,Carlos Medina,Sick,2026-10-13,2026-10-13
who-9007,hb_maya,Maya Singh,Sick,2026-10-12,2026-10-12
who-bg-000,hb_maya,Maya Singh,Sick,2026-06-07,2026-06-07
who-bg-001,hb_hari,Hari Jefferson,Sick,2026-05-16,2026-05-16
who-bg-002,hb_carlos,Carlos Medina,Personal,2026-09-01,2026-09-01
who-bg-003,hb_miguel,Miguel Reyes,Sick,2026-03-26,2026-03-26
who-bg-004,hb_miguel,Miguel Reyes,Personal,2026-03-11,2026-03-11
who-bg-005,hb_deshawn,DeShawn Williams,Holiday,2026-05-18,2026-05-18
who-bg-006,hb_amit,Amit Sharma,Sick,2026-02-03,2026-02-03
who-bg-007,hb_deshawn,DeShawn Williams,Vacation,2026-09-03,2026-09-03
who-bg-008,hb_maya,Maya Singh,Holiday,2026-02-04,2026-02-04
who-bg-009,hb_deshawn,DeShawn Williams,Holiday,2026-02-09,2026-02-09
who-bg-010,hb_maya,Maya Singh,Holiday,2026-09-02,2026-09-02
who-bg-011,hb_deshawn,DeShawn Williams,Holiday,2026-04-08,2026-04-08
who-bg-012,hb_amit,Amit Sharma,Vacation,2026-07-01,2026-07-01
who-bg-013,hb_carlos,Carlos Medina,Personal,2026-01-24,2026-01-24
who-bg-014,hb_maya,Maya Singh,Holiday,2026-09-19,2026-09-19
who-bg-015,hb_miguel,Miguel Reyes,Personal,2026-02-05,2026-02-05
who-bg-016,hb_hari,Hari Jefferson,Holiday,2026-08-12,2026-08-12
who-bg-017,hb_hari,Hari Jefferson,Vacation,2026-08-05,2026-08-05
