audience_id,email,first,last,tags,added_date,last_automation_touch,household_id
A-00001,bud.herndon@paducah.net,Bud,Herndon,active;christmas_eve_reminder,2021-04-04,2024-07-11,H-0234
A-00002,peggy.bramlett@paducah.net,Peggy,Bramlett,active;birthday_card;visit_prompt;winter_check_in,2023-08-18,2026-06-16,H-0102
A-00003,odessa.ladd@gmail.com,Odessa,Ladd,active;birthday_card;visit_prompt;winter_check_in,2023-03-12,2026-05-19,H-0155
A-00004,norman.weddle@gmail.com,Norman,Weddle,active;winter_check_in,2019-02-03,2026-08-27,H-0163
A-00005,cletus.doerr@paducah.net,Cletus,Doerr,active;christmas_eve_reminder,2017-09-30,2026-01-13,H-0233
A-00006,jimmy.beasley@bellsouth.net,Jimmy,Beasley,active;christmas_eve_reminder,2020-10-24,2026-06-06,H-0241
A-00007,harlan.hendon@gmail.com,Harlan,Hendon,birthday_card;homebound;winter_check_in,2019-02-01,2026-06-29,H-0005
A-00008,marlene.hurst@gmail.com,Marlene,Hurst,christmas_eve_reminder;homebound,2019-01-05,2026-04-21,H-0068
A-00009,opal.ratliff@paducah.net,Opal,Ratliff,christmas_eve_reminder;homebound,2022-06-21,2026-07-06,H-0083
A-00010,reba.voss@gmail.com,Reba,Voss,active;winter_check_in,2020-09-08,2026-04-27,H-0256
A-00011,bryant.draffen@paducah.net,Bryant,Draffen,active;birthday_card;winter_check_in,2020-08-09,2020-06-04,
A-00012,emmett.wathen@gmail.com,Emmett,Wathen,active;winter_check_in,2022-04-26,2026-08-18,H-0046
A-00013,nancy.underhill@bellsouth.net,Nancy,Underhill,active;christmas_eve_reminder;visit_prompt,2018-08-19,2026-10-08,H-0093
A-00014,shirley.zumwalt@bellsouth.net,Shirley,Zumwalt,active;christmas_eve_reminder,2025-01-15,2026-09-24,H-0087
A-00015,mabel.layman@paducah.net,Mabel,Layman,christmas_eve_reminder;homebound;visit_prompt,2021-07-26,2026-08-10,H-0232
A-00016,kenneth.ratliff@paducah.net,Kenneth,Ratliff,christmas_eve_reminder;homebound,2022-12-02,2026-05-06,H-0083
A-00017,elton.kemper@paducah.net,Elton,Kemper,active;birthday_card;christmas_eve_reminder;visit_prompt,2025-11-16,2026-04-23,H-0226
A-00018,helen.vickers@gmail.com,Helen,Vickers,active;bereaved;birthday_card;christmas_eve_reminder,2023-01-16,2026-06-10,H-0217
A-00019,bobby.judkins@bellsouth.net,Bobby,Judkins,active;winter_check_in,2022-11-25,2026-09-18,H-0144
A-00020,dolores.massie@bellsouth.net,Dolores,Massie,active;christmas_eve_reminder,2018-04-29,2026-07-04,H-0101
A-00021,milton.chandler@paducah.net,Milton,Chandler,active;winter_check_in,2019-01-16,2020-12-17,
A-00022,myrtle.bruce@gmail.com,Myrtle,Bruce,active;christmas_eve_reminder,2018-08-29,2026-09-17,H-0114
A-00023,hazel.cundiff@paducah.net,Hazel,Cundiff,homebound;winter_check_in,2017-07-31,2026-03-04,H-0113
A-00024,winifred.hendon@paducah.net,Winifred,Hendon,active;christmas_eve_reminder,2017-01-27,2026-04-19,H-0107
A-00025,orville.kimbell@gmail.com,Orville,Kimbell,active;christmas_eve_reminder,2021-08-30,2026-07-13,H-0045
A-00026,elton.meade@bellsouth.net,Elton,Meade,active;birthday_card;winter_check_in,2018-03-26,2026-08-07,H-0247
A-00027,sandra.yonts@bellsouth.net,Sandra,Yonts,active;birthday_card;winter_check_in,2021-12-31,2026-05-20,H-0216
A-00028,cora.nally@gmail.com,Cora,Nally,active;bereaved;birthday_card;winter_check_in,2020-02-18,2026-08-28,H-0172
A-00029,winifred.yeager@gmail.com,Winifred,Yeager,active;christmas_eve_reminder,2020-11-07,2026-08-22,H-0115
A-00030,tilden.bruce@paducah.net,Tilden,Bruce,active;winter_check_in,2019-04-29,2026-10-16,H-0195
A-00031,marjorie.callahan@paducah.net,Marjorie,Callahan,active;christmas_eve_reminder,2021-10-17,2026-04-20,H-0031
A-00032,maude.threlkeld@paducah.net,Maude,Threlkeld,active;christmas_eve_reminder,2023-06-01,2026-05-03,H-0013
A-00033,carolyn.overby@gmail.com,Carolyn,Overby,birthday_card;christmas_eve_reminder;homebound;visit_prompt,2018-08-02,2026-10-15,H-0120
A-00034,billy.peel@paducah.net,Billy,Peel,active;bereaved;birthday_card;christmas_eve_reminder,2022-10-29,2026-10-03,H-0223
A-00035,kathy.nave@paducah.net,Kathy,Nave,active;christmas_eve_reminder,2018-09-14,2026-06-15,H-0032
A-00036,carolyn.yates@paducah.net,Carolyn,Yates,active;birthday_card;christmas_eve_reminder,2020-08-03,2026-04-29,H-0094
A-00037,corine.beasley@gmail.com,Corine,Beasley,active;christmas_eve_reminder;visit_prompt,2017-07-13,2026-03-16,H-0241
A-00038,vernon.hemphill@paducah.net,Vernon,Hemphill,active;birthday_card;christmas_eve_reminder,2021-10-28,2026-08-19,H-0133
A-00039,rita.egerton@paducah.net,Rita,Egerton,active;christmas_eve_reminder,2020-06-25,2026-10-17,H-0127
A-00040,myrtle.whitfield@bellsouth.net,Myrtle,Whitfield,active;visit_prompt;winter_check_in,2024-06-14,2026-09-04,H-0112
A-00041,odessa.jolley@bellsouth.net,Odessa,Jolley,christmas_eve_reminder;homebound,2025-03-16,2026-07-21,H-0039
A-00042,tommy.turnbow@gmail.com,Tommy,Turnbow,active;bereaved;winter_check_in,2025-10-14,2026-05-01,H-0074
A-00043,hazel.roark@bellsouth.net,Hazel,Roark,active;birthday_card;christmas_eve_reminder,2023-11-19,2026-10-01,H-0168
A-00044,winifred.faulkner@paducah.net,Winifred,Faulkner,active;winter_check_in,2016-05-01,2026-08-16,H-0236
A-00045,betty.judkins@paducah.net,Betty,Judkins,active;birthday_card;christmas_eve_reminder,2022-11-16,2026-08-05,H-0144
A-00046,edna.nave@bellsouth.net,Edna,Nave,active;christmas_eve_reminder,2020-08-02,2026-06-23,H-0071
A-00047,chester.jeter@paducah.net,Chester,Jeter,active;birthday_card;christmas_eve_reminder,2025-02-05,2026-07-04,H-0015
A-00048,frances.sartin@gmail.com,Frances,Sartin,active;winter_check_in,2025-05-28,2026-08-07,H-0030
A-00049,otis.franks@bellsouth.net,Otis,Franks,christmas_eve_reminder;homebound;visit_prompt,2019-02-10,2026-09-02,H-0228
A-00050,lucille.kilburn@gmail.com,Lucille,Kilburn,active;birthday_card;winter_check_in,2024-01-15,2026-05-17,H-0167
A-00051,kathy.coates@bellsouth.net,Kathy,Coates,active;christmas_eve_reminder,2018-12-13,2026-08-30,H-0103
A-00052,lloyd.purdom@paducah.net,Lloyd,Purdom,active;winter_check_in,2024-06-13,2026-10-19,H-0156
A-00053,nadine.yancey@paducah.net,Nadine,Yancey,active;birthday_card;visit_prompt;winter_check_in,2021-11-24,2026-10-18,H-0042
A-00054,dennis.bruce@gmail.com,Dennis,Bruce,active;winter_check_in,2020-05-13,2026-06-04,H-0245
A-00055,alma.sartin@bellsouth.net,Alma,Sartin,active;winter_check_in,2025-07-16,2026-10-21,H-0178
A-00056,harold.owings@bellsouth.net,Harold,Owings,active;birthday_card;winter_check_in,2021-05-14,2026-08-27,H-0034
A-00057,roxanne.pyle@gmail.com,Roxanne,Pyle,bereaved;birthday_card;homebound;winter_check_in,2018-12-15,2026-07-20,H-0145
A-00058,eunice.vickers@paducah.net,Eunice,Vickers,active;winter_check_in,2024-03-30,2026-07-21,H-0072
A-00059,charlotte.purdom@paducah.net,Charlotte,Purdom,active;winter_check_in,2022-08-08,2026-05-09,H-0108
A-00060,eunice.kilgore@gmail.com,Eunice,Kilgore,active;winter_check_in,2019-08-18,2026-04-08,H-0134
A-00061,merle.dockery@gmail.com,Merle,Dockery,active;christmas_eve_reminder;visit_prompt,2020-04-30,2025-02-27,H-0190
A-00062,mark.kilburn@paducah.net,Mark,Kilburn,active;christmas_eve_reminder;visit_prompt,2024-10-10,2026-05-29,H-0110
A-00063,ronald.vickers@bellsouth.net,Ronald,Vickers,active;winter_check_in,2021-08-15,2026-09-12,H-0035
A-00064,cecil.lassiter@paducah.net,Cecil,Lassiter,active;bereaved;birthday_card;winter_check_in,2017-03-05,2026-10-09,H-0009
A-00065,patsy.mcdaniel@paducah.net,Patsy,McDaniel,active;birthday_card;christmas_eve_reminder,2019-03-11,2025-04-25,H-0036
A-00066,odell.oxford@gmail.com,Odell,Oxford,birthday_card;homebound;winter_check_in,2022-09-02,2026-08-28,H-0152
A-00067,myrtle.cummings@bellsouth.net,Myrtle,Cummings,active;birthday_card;visit_prompt;winter_check_in,2019-12-20,2026-04-27,H-0258
A-00068,corine.doerr@bellsouth.net,Corine,Doerr,active;christmas_eve_reminder,2020-10-28,2026-06-02,H-0095
A-00069,marie.pemberton@gmail.com,Marie,Pemberton,active;winter_check_in,2019-06-06,2026-09-21,H-0017
A-00070,bonnie.nave@bellsouth.net,Bonnie,Nave,birthday_card;christmas_eve_reminder;homebound,2023-11-22,2026-08-30,H-0024
A-00071,wayne.puckett@bellsouth.net,Wayne,Puckett,active;christmas_eve_reminder,2021-10-05,2026-05-07,H-0194
A-00072,doris.gaddis@gmail.com,Doris,Gaddis,active;bereaved;christmas_eve_reminder,2024-04-10,2026-07-06,H-0002
A-00073,cecil.yonts@gmail.com,Cecil,Yonts,active;birthday_card;christmas_eve_reminder;visit_prompt,2022-12-20,2026-06-21,H-0200
A-00074,wanda.devers@paducah.net,Wanda,Devers,birthday_card;christmas_eve_reminder;homebound;visit_prompt,2020-11-12,2026-08-29,H-0151
A-00075,lloyd.lassiter@bellsouth.net,Lloyd,Lassiter,active;birthday_card;christmas_eve_reminder,2019-09-30,2020-06-30,
A-00076,marie.woodson@gmail.com,Marie,Woodson,birthday_card;homebound;winter_check_in,2021-11-02,2026-09-08,H-0186
A-00077,odessa.doerr@gmail.com,Odessa,Doerr,active;visit_prompt;winter_check_in,2020-10-05,2026-03-20,H-0077
A-00078,marlene.threlkeld@gmail.com,Marlene,Threlkeld,active;visit_prompt;winter_check_in,2019-05-28,2026-04-21,H-0001
A-00079,gerald.jolley@gmail.com,Gerald,Jolley,active;christmas_eve_reminder,2018-01-14,2026-04-25,H-0173
A-00080,barbara.yancey@gmail.com,Barbara,Yancey,active;birthday_card;christmas_eve_reminder,2018-06-02,2024-10-05,H-0106
A-00081,paul.meacham@bellsouth.net,Paul,Meacham,active;christmas_eve_reminder,2017-10-28,2025-10-08,H-0166
A-00082,ann.purdom@gmail.com,Ann,Purdom,active;christmas_eve_reminder,2021-12-28,2026-03-18,H-0058
A-00083,verlene.tarpley@gmail.com,Verlene,Tarpley,active;christmas_eve_reminder,2024-01-25,2026-09-15,H-0122
A-00084,leroy.mcdaniel@bellsouth.net,Leroy,McDaniel,homebound;visit_prompt;winter_check_in,2021-08-24,2026-04-12,H-0193
A-00085,rudy.pyle@bellsouth.net,Rudy,Pyle,active;winter_check_in,2018-10-18,2026-06-18,H-0033
A-00086,vernon.purdom@paducah.net,Vernon,Purdom,active;winter_check_in,2019-06-28,2026-05-30,H-0058
A-00087,ruby.eldridge@gmail.com,Ruby,Eldridge,active;christmas_eve_reminder,2019-11-30,2026-08-28,H-0018
A-00088,roy.ormsby@gmail.com,Roy,Ormsby,active;christmas_eve_reminder,2020-05-03,2021-06-20,
A-00089,thelma.thigpen@bellsouth.net,Thelma,Thigpen,active;birthday_card;winter_check_in,2017-09-27,2026-09-30,H-0213
A-00090,louise.barclay@gmail.com,Louise,Barclay,active;birthday_card;winter_check_in,2022-04-24,2026-05-12,H-0067
A-00091,cyrus.tarpley@gmail.com,Cyrus,Tarpley,active;christmas_eve_reminder,2025-03-04,2026-07-12,H-0252
A-00092,sandra.eller@gmail.com,Sandra,Eller,active;christmas_eve_reminder;visit_prompt,2020-12-04,2026-08-27,H-0153
A-00093,roscoe.osteen@bellsouth.net,Roscoe,Osteen,active;christmas_eve_reminder,2020-01-18,2026-09-12,H-0027
A-00094,jerry.jeter@gmail.com,Jerry,Jeter,active;christmas_eve_reminder,2021-11-03,2026-06-18,H-0015
A-00095,buddy.meacham@bellsouth.net,Buddy,Meacham,christmas_eve_reminder;homebound,2019-04-18,2026-10-03,H-0043
A-00096,dorothy.thigpen@gmail.com,Dorothy,Thigpen,active;birthday_card;winter_check_in,2023-03-20,2026-06-09,H-0213
A-00097,wendell.meade@bellsouth.net,Wendell,Meade,active;visit_prompt;winter_check_in,2023-10-08,2026-06-06,H-0111
A-00098,bernice.draffen@paducah.net,Bernice,Draffen,active;christmas_eve_reminder,2025-11-02,2026-10-16,H-0006
A-00099,ernest.sowell@gmail.com,Ernest,Sowell,active;birthday_card;christmas_eve_reminder,2020-09-06,2026-10-01,H-0014
A-00100,ronald.utley@gmail.com,Ronald,Utley,active;birthday_card;christmas_eve_reminder;visit_prompt,2020-10-09,2026-05-14,H-0063
A-00101,wayne.ratliff@bellsouth.net,Wayne,Ratliff,active;winter_check_in,2024-05-30,2026-08-03,H-0021
A-00102,odell.ackerman@paducah.net,Odell,Ackerman,homebound;winter_check_in,2022-09-28,2026-04-15,H-0100
A-00103,vera.roark@bellsouth.net,Vera,Roark,active;christmas_eve_reminder,2019-06-05,2026-02-18,H-0016
A-00104,ottis.hemphill@paducah.net,Ottis,Hemphill,active;christmas_eve_reminder,2021-03-08,2026-10-21,H-0137
A-00105,gerald.tarpley@gmail.com,Gerald,Tarpley,active;birthday_card;visit_prompt;winter_check_in,2018-03-21,2026-06-17,H-0064
A-00106,josie.rainey@gmail.com,Josie,Rainey,active;bereaved;christmas_eve_reminder,2023-09-22,2026-05-19,H-0254
A-00107,shirley.ewing@bellsouth.net,Shirley,Ewing,active;birthday_card;winter_check_in,2021-04-27,2026-07-25,H-0171
