Name,Position,Years_Playing,Phone,Status,Notes
Hari Jefferson,SG/SF,15,(732) 555-0400,Active,Organizer
Ravi Kapoor,PG,15,(732) 555-0539,Active,Best handle on the court
Danny Torres,C,12,(732) 555-2001,Active,
Mike Pham,SF,10,(732) 555-2002,Active,
Andre Mitchell,PG,8,(732) 555-2003,Active,
Steve Kowalski,PF,6,(732) 555-2004,Active,Also a customer at the shop
Jay Patel,SG,4,(732) 555-2005,Inactive,Moved to Philly
Kevin O'Brien,C,3,(732) 555-2006,Active,
Tommy Rizzo,SF,15,(732) 555-2007,Active,Original crew
Deepak Sharma,PF,7,(732) 555-2008,Active,Also a customer
