uuid,event,name,email,status,timezone,created_at,questions_and_answers
inv-5001,sev-1001,Sarah Henderson,sarah.henderson.design@gmail.com,active,America/New_York,2025-12-02T00:00:00Z,What would you like to discuss?|Quick intro and goals
inv-5002,sev-1002,Robert Henderson,henderson.hardware@gmail.com,canceled,America/New_York,2025-12-01T00:00:00Z,What would you like to discuss?|Quick intro and goals
inv-5003,sev-1003,Patricia Henderson,patricia.henderson.ct@gmail.com,active,America/New_York,2025-11-30T00:00:00Z,What would you like to discuss?|Quick intro and goals
inv-5005,sev-1005,Scott Henderson,scott.henderson.law@gmail.com,active,America/New_York,2025-11-29T00:00:00Z,What would you like to discuss?|Quick intro and goals
inv-5006,sev-1006,Mike Torres,mike.torres.data@gmail.com,active,America/New_York,2025-11-28T00:00:00Z,What would you like to discuss?|Quick intro and goals
inv-5004,sev-1001,Rebecca Foster,rebecca.foster@gmail.com,active,America/New_York,2025-11-15T10:00:00.000Z,What would you like to discuss?|Pricing and onboarding
inv-mentorship-1001,se_a595768938eb,Alicia Nyugen,alicia.nyugen@student.amberfieldinstitute.edu,active,America/New_York,2026-10-10T18:00:00Z,Amberfield undergrad program|MPH program interest
inv-amberfield-1002,se_6ff0e7cc6868,Jesse Torres,j.torres@student.amberfieldinstitute.edu,active,America/New_York,2026-10-14T18:00:00Z,PH 206 student|Question about survival analysis notation
inv-6000,sev-2000,Jesse Torres,j.torres@student.amberfieldinstitute.edu,canceled,America/New_York,2026-07-23T00:00:00Z,What would you like to discuss?|Biostatistics consult
inv-6001,sev-2001,Rebecca Foster,rebecca.foster@gmail.com,active,America/New_York,2026-06-09T00:00:00Z,What would you like to discuss?|Project scope and timeline
inv-6002,sev-2002,Jesse Torres,j.torres@student.amberfieldinstitute.edu,active,America/New_York,2026-05-06T00:00:00Z,What would you like to discuss?|Mentorship and coursework
inv-6003,sev-2003,Scott Henderson,scott.henderson.law@gmail.com,active,America/New_York,2026-08-10T00:00:00Z,What would you like to discuss?|Pricing and onboarding
inv-6004,sev-2004,Alicia Nyugen,alicia.nyugen@student.amberfieldinstitute.edu,active,America/New_York,2026-08-15T00:00:00Z,What would you like to discuss?|Biostatistics consult
