conversation_id,wa_id,started_at,last_message_at,origin,within_24h_window
conv-001,17135550218,2026-03-25T08:00:31+00:00,2026-03-26T09:42:18+00:00,user_initiated,true
conv-002,17135550225,2026-03-23T14:01:03+00:00,2026-03-24T10:22:47+00:00,business_initiated,true
conv-003,14045550232,2026-03-16T03:58:18+00:00,2026-03-17T08:23:28+00:00,user_initiated,true
conv-004,14045550239,2026-03-22T11:52:15+00:00,2026-03-22T16:48:09+00:00,business_initiated,true
conv-005,2348051230253,2026-03-13T16:24:49+00:00,2026-03-19T08:55:46+00:00,user_initiated,true
conv-006,447700900107,2026-03-15T00:28:18+00:00,2026-03-15T20:36:40+00:00,business_initiated,true
conv-008,447700900222,2026-12-02T13:00:00+00:00,2026-12-02T14:05:30+00:00,business_initiated,true
conv-009,14045550301,2026-11-28T17:00:00+00:00,2026-11-28T18:44:02+00:00,user_initiated,true
conv-010,447700900333,2026-10-19T08:00:00+00:00,2026-10-19T09:12:47+00:00,business_initiated,false
conv-011,19195550410,2026-12-10T14:00:00+00:00,2026-12-10T15:33:20+00:00,user_initiated,true
conv-012,19845550422,2026-11-05T19:00:00+00:00,2026-11-05T20:18:55+00:00,user_initiated,true
conv-013,14045550433,2026-12-15T10:00:00+00:00,2026-12-15T11:47:09+00:00,user_initiated,true
conv-014,13365550444,2026-10-08T12:00:00+00:00,2026-10-08T13:29:41+00:00,business_initiated,false
conv-015,17135550455,2026-12-20T07:00:00+00:00,2026-12-20T08:55:14+00:00,user_initiated,true
conv-016,17135550218,2026-11-01T06:30:00+00:00,2026-11-01T07:15:00+00:00,user_initiated,true
conv-017,17135550225,2026-11-18T21:00:00+00:00,2026-11-18T21:40:00+00:00,user_initiated,true
conv-018,14045550232,2026-12-05T16:00:00+00:00,2026-12-05T16:52:00+00:00,user_initiated,true
conv-019,2348051230253,2026-10-25T11:00:00+00:00,2026-10-25T11:38:00+00:00,user_initiated,true
conv-020,447700900107,2026-12-22T19:00:00+00:00,2026-12-22T19:44:00+00:00,business_initiated,true
conv-yemi,2348051230253,2026-11-04T19:00:00+00:00,2026-11-11T06:02:00+00:00,user_initiated,true
