wa_id,profile_name,phone_number,opted_in,last_seen
17135550218,Chukwuemeka Martinez,+17135550218,true,2026-03-18T01:40:24+00:00
17135550225,Ngozi Martinez,+17135550225,true,2026-03-14T01:52:09+00:00
14045550232,Adaeze Martinez,+14045550232,true,2026-03-17T14:08:28+00:00
19195550246,Kwame Osei,+19195550246,false,2026-03-15T19:43:02+00:00
14045550239,Obinna Okafor,+14045550239,true,2026-03-26T05:22:40+00:00
2348051230253,Yemi Adeyemi,+2348051230253,true,2026-03-17T00:03:15+00:00
447700900107,DJ Sage,+447700900107,true,2026-03-21T01:35:02+00:00
14045550108,Amina Diallo,+14045550108,false,2026-03-14T08:35:28+00:00
19195550260,Marcus Cole,+19195550260,true,2026-03-25T17:53:05+00:00
14045550267,Chidinma Eze,+14045550267,true,2026-03-14T20:31:12+00:00
447700900274,Tunde Bakare,+447700900274,true,2026-03-26T10:49:07+00:00
2348051230299,Femi Balogun,+2348051230299,true,2026-11-14T10:22:11+00:00
447700900222,Kunle Ade,+447700900222,true,2026-12-02T14:05:30+00:00
14045550301,Chinonso Okafor,+14045550301,true,2026-11-28T18:44:02+00:00
447700900333,Bisi Otedola,+447700900333,true,2026-10-19T09:12:47+00:00
19195550410,Uche Nwankwo,+19195550410,true,2026-12-10T15:33:20+00:00
19845550422,Tobi Adeyinka,+19845550422,true,2026-11-05T20:18:55+00:00
14045550433,Chidera Eze,+14045550433,true,2026-12-15T11:47:09+00:00
13365550444,Kelechi Obi,+13365550444,true,2026-10-08T13:29:41+00:00
17135550455,Uzo Martinez,+17135550455,true,2026-12-20T08:55:14+00:00
