id,domain,message_id,event,recipient,timestamp,reason
ev_mg_pre_0,mg.receipts.local,mg_pre_0,delivered,alejandro.rios@Finthesiss.ai,2024-11-03T09:00:00Z,
ev_mg_x0000,mg.receipts.local,mg_x0000,delivered,alejandro.rios@Finthesiss.ai,2024-11-17T09:00:00Z,
ev_mg_x0001,mg.receipts.local,mg_x0001,delivered,alejandro.rios@Finthesiss.ai,2024-11-24T09:00:00Z,
ev_mg_x0002,mg.receipts.local,mg_x0002,delivered,alejandro.rios@Finthesiss.ai,2024-11-25T09:00:00Z,
ev_mg_pre_1,mg.receipts.local,mg_pre_1,delivered,alejandro.rios@Finthesiss.ai,2024-12-03T09:00:00Z,
ev_mg_x0003,mg.receipts.local,mg_x0003,delivered,alejandro.rios@Finthesiss.ai,2024-12-05T09:00:00Z,
ev_mg_x0004,mg.receipts.local,mg_x0004,delivered,alejandro.rios@Finthesiss.ai,2024-12-06T09:00:00Z,
ev_mg_x0005,mg.receipts.local,mg_x0005,delivered,alejandro.rios@Finthesiss.ai,2024-12-06T09:00:00Z,
ev_mg_x0006,mg.receipts.local,mg_x0006,delivered,alejandro.rios@Finthesiss.ai,2024-12-09T09:00:00Z,
ev_mg_pre_2,mg.receipts.local,mg_pre_2,delivered,alejandro.rios@Finthesiss.ai,2025-01-03T09:00:00Z,
ev_mg_x0007,mg.receipts.local,mg_x0007,delivered,alejandro.rios@Finthesiss.ai,2025-01-19T09:00:00Z,
ev_mg_x0008,mg.receipts.local,mg_x0008,delivered,alejandro.rios@Finthesiss.ai,2025-01-26T09:00:00Z,
ev_mg_pre_3,mg.receipts.local,mg_pre_3,delivered,alejandro.rios@Finthesiss.ai,2025-02-03T09:00:00Z,
ev_mg_x0009,mg.receipts.local,mg_x0009,delivered,alejandro.rios@Finthesiss.ai,2025-02-13T09:00:00Z,
ev_mg_x0010,mg.receipts.local,mg_x0010,delivered,alejandro.rios@Finthesiss.ai,2025-02-18T09:00:00Z,
ev_mg_pre_4,mg.receipts.local,mg_pre_4,delivered,alejandro.rios@Finthesiss.ai,2025-03-03T09:00:00Z,
ev_mg_x0011,mg.receipts.local,mg_x0011,delivered,alejandro.rios@Finthesiss.ai,2025-03-16T09:00:00Z,
ev_mg_x0012,mg.receipts.local,mg_x0012,delivered,alejandro.rios@Finthesiss.ai,2025-04-01T09:00:00Z,
ev_mg_pre_5,mg.receipts.local,mg_pre_5,delivered,alejandro.rios@Finthesiss.ai,2025-04-03T09:00:00Z,
ev_mg_x0013,mg.receipts.local,mg_x0013,delivered,alejandro.rios@Finthesiss.ai,2025-04-12T09:00:00Z,
ev_mg_x0014,mg.receipts.local,mg_x0014,delivered,alejandro.rios@Finthesiss.ai,2025-04-21T09:00:00Z,
ev_mg_pre_6,mg.receipts.local,mg_pre_6,delivered,alejandro.rios@Finthesiss.ai,2025-05-03T09:00:00Z,
ev_mg_x0015,mg.receipts.local,mg_x0015,delivered,alejandro.rios@Finthesiss.ai,2025-05-22T09:00:00Z,
ev_mg_pre_7,mg.receipts.local,mg_pre_7,delivered,alejandro.rios@Finthesiss.ai,2025-06-03T09:00:00Z,
ev_mg_x0016,mg.receipts.local,mg_x0016,delivered,alejandro.rios@Finthesiss.ai,2025-06-21T09:00:00Z,
ev_mg_x0017,mg.receipts.local,mg_x0017,delivered,alejandro.rios@Finthesiss.ai,2025-06-25T09:00:00Z,
ev_mg_pre_8,mg.receipts.local,mg_pre_8,delivered,alejandro.rios@Finthesiss.ai,2025-07-03T09:00:00Z,
ev_mg_x0018,mg.receipts.local,mg_x0018,delivered,alejandro.rios@Finthesiss.ai,2025-08-01T09:00:00Z,
ev_mg_pre_9,mg.receipts.local,mg_pre_9,delivered,alejandro.rios@Finthesiss.ai,2025-08-03T09:00:00Z,
ev_mg_x0019,mg.receipts.local,mg_x0019,delivered,alejandro.rios@Finthesiss.ai,2025-08-07T09:00:00Z,
ev_mg_x0020,mg.receipts.local,mg_x0020,delivered,alejandro.rios@Finthesiss.ai,2025-08-10T09:00:00Z,
ev_mg_x0021,mg.receipts.local,mg_x0021,delivered,alejandro.rios@Finthesiss.ai,2025-08-15T09:00:00Z,
ev_mg_x0022,mg.receipts.local,mg_x0022,delivered,alejandro.rios@Finthesiss.ai,2025-08-16T09:00:00Z,
ev_mg_x0023,mg.receipts.local,mg_x0023,delivered,alejandro.rios@Finthesiss.ai,2025-08-16T09:00:00Z,
ev_mg_x0024,mg.receipts.local,mg_x0024,delivered,alejandro.rios@Finthesiss.ai,2025-08-20T09:00:00Z,
ev_mg_pre_10,mg.receipts.local,mg_pre_10,delivered,alejandro.rios@Finthesiss.ai,2025-09-03T09:00:00Z,
ev_mg_x0025,mg.receipts.local,mg_x0025,delivered,alejandro.rios@Finthesiss.ai,2025-09-04T09:00:00Z,
ev_mg_x0026,mg.receipts.local,mg_x0026,delivered,alejandro.rios@Finthesiss.ai,2025-09-25T09:00:00Z,
ev_mg_pre_11,mg.receipts.local,mg_pre_11,delivered,alejandro.rios@Finthesiss.ai,2025-10-03T09:00:00Z,
ev_mg_x0027,mg.receipts.local,mg_x0027,delivered,alejandro.rios@Finthesiss.ai,2025-10-08T09:00:00Z,
ev_mg_x0028,mg.receipts.local,mg_x0028,delivered,alejandro.rios@Finthesiss.ai,2025-10-09T09:00:00Z,
ev_mg_20251103,mg.receipts.local,mg_20251103,delivered,alejandro.rios@Finthesiss.ai,2025-11-03T09:00:00Z,
ev_mg_x0029,mg.receipts.local,mg_x0029,delivered,alejandro.rios@Finthesiss.ai,2025-11-16T09:00:00Z,
ev_mg_x0030,mg.receipts.local,mg_x0030,delivered,alejandro.rios@Finthesiss.ai,2025-11-20T09:00:00Z,
ev_mg_20251203,mg.receipts.local,mg_20251203,delivered,alejandro.rios@Finthesiss.ai,2025-12-03T09:00:00Z,
ev_mg_x0031,mg.receipts.local,mg_x0031,delivered,alejandro.rios@Finthesiss.ai,2025-12-18T09:00:00Z,
ev_mg_x0032,mg.receipts.local,mg_x0032,delivered,alejandro.rios@Finthesiss.ai,2025-12-23T09:00:00Z,
ev_mg_x0033,mg.receipts.local,mg_x0033,delivered,alejandro.rios@Finthesiss.ai,2025-12-23T09:00:00Z,
ev_mg_x0034,mg.receipts.local,mg_x0034,delivered,alejandro.rios@Finthesiss.ai,2026-01-02T09:00:00Z,
ev_mg_20260103,mg.receipts.local,mg_20260103,delivered,alejandro.rios@Finthesiss.ai,2026-01-03T09:00:00Z,
ev_mg_x0035,mg.receipts.local,mg_x0035,delivered,alejandro.rios@Finthesiss.ai,2026-01-22T09:00:00Z,
ev_mg_20260203,mg.receipts.local,mg_20260203,delivered,alejandro.rios@Finthesiss.ai,2026-02-03T09:00:00Z,
ev_mg_x0036,mg.receipts.local,mg_x0036,delivered,alejandro.rios@Finthesiss.ai,2026-02-12T09:00:00Z,
ev_mg_x0037,mg.receipts.local,mg_x0037,delivered,alejandro.rios@Finthesiss.ai,2026-02-15T09:00:00Z,
ev_mg_x0038,mg.receipts.local,mg_x0038,delivered,alejandro.rios@Finthesiss.ai,2026-02-21T09:00:00Z,
ev_mg_x0039,mg.receipts.local,mg_x0039,delivered,alejandro.rios@Finthesiss.ai,2026-03-02T09:00:00Z,
ev_mg_20260303,mg.receipts.local,mg_20260303,delivered,alejandro.rios@Finthesiss.ai,2026-03-03T09:00:00Z,
ev_mg_x0040,mg.receipts.local,mg_x0040,delivered,alejandro.rios@Finthesiss.ai,2026-03-19T09:00:00Z,
ev_mg_x0041,mg.receipts.local,mg_x0041,delivered,alejandro.rios@Finthesiss.ai,2026-03-22T09:00:00Z,
ev_mg_20260403,mg.receipts.local,mg_20260403,delivered,alejandro.rios@Finthesiss.ai,2026-04-03T09:00:00Z,
