item_id,column_id,text,value
itm_01,col_date,2027-04-06,
itm_01,col_party,Okafor group,
itm_01,col_size,5,
itm_01,col_trip,full,
itm_01,col_status,tentative,
itm_01,col_dep,no,
itm_01,col_depamt,0.00,
itm_01,col_contact,okafor@example.com,
itm_01,col_notes,,
itm_02,col_date,2027-04-07,
itm_02,col_party,GreenTech corp,
itm_02,col_size,6,
itm_02,col_trip,multi,
itm_02,col_status,held,
itm_02,col_dep,no,
itm_02,col_depamt,0.00,
itm_02,col_contact,greentech@example.com,
itm_02,col_notes,,
itm_03,col_date,2027-04-08,
itm_03,col_party,Reyes family,
itm_03,col_size,7,
itm_03,col_trip,half,
itm_03,col_status,confirmed,
itm_03,col_dep,yes,
itm_03,col_depamt,400.00,
itm_03,col_contact,reyes@example.com,
itm_03,col_notes,,
itm_04,col_date,2027-04-09,
itm_04,col_party,Danvers charter,
itm_04,col_size,8,
itm_04,col_trip,full,
itm_04,col_status,confirmed,
itm_04,col_dep,yes,
itm_04,col_depamt,400.00,
itm_04,col_contact,danvers@example.com,
itm_04,col_notes,,
itm_05,col_date,2027-04-10,
itm_05,col_party,Whitfield group,
itm_05,col_size,9,
itm_05,col_trip,multi,
itm_05,col_status,tentative,
itm_05,col_dep,no,
itm_05,col_depamt,0.00,
itm_05,col_contact,whitfield@example.com,
itm_05,col_notes,,
itm_06,col_date,2027-04-11,
itm_06,col_party,Sunbelt Realty outing,
itm_06,col_size,4,
itm_06,col_trip,half,
itm_06,col_status,held,
itm_06,col_dep,no,
itm_06,col_depamt,0.00,
itm_06,col_contact,sunbelt@example.com,
itm_06,col_notes,,
itm_08,col_date,2027-05-13,
itm_08,col_party,Abrego family,
itm_08,col_size,6,
itm_08,col_trip,multi,
itm_08,col_status,confirmed,
itm_08,col_dep,yes,
itm_08,col_depamt,400.00,
itm_08,col_contact,abrego@example.com,
itm_08,col_notes,,
itm_09,col_date,2027-05-14,
itm_09,col_party,Nolan referral,
itm_09,col_size,7,
itm_09,col_trip,half,
itm_09,col_status,tentative,
itm_09,col_dep,no,
itm_09,col_depamt,0.00,
itm_09,col_contact,nolan@example.com,
itm_09,col_notes,,
itm_10,col_date,2027-05-15,
itm_10,col_party,Bayport Rotary,
itm_10,col_size,8,
itm_10,col_trip,full,
itm_10,col_status,held,
itm_10,col_dep,no,
itm_10,col_depamt,0.00,
itm_10,col_contact,bayport@example.com,
itm_10,col_notes,,
itm_11,col_date,2027-05-16,
itm_11,col_party,Tidewater LLC,
itm_11,col_size,9,
itm_11,col_trip,multi,
itm_11,col_status,confirmed,
itm_11,col_dep,yes,
itm_11,col_depamt,400.00,
itm_11,col_contact,tidewater@example.com,
itm_11,col_notes,,
itm_12,col_date,2027-05-17,
itm_12,col_party,Marsh brothers,
itm_12,col_size,4,
itm_12,col_trip,half,
itm_12,col_status,confirmed,
itm_12,col_dep,yes,
itm_12,col_depamt,400.00,
itm_12,col_contact,marsh@example.com,
itm_12,col_notes,,
itm_13,col_date,2027-05-18,
itm_13,col_party,Vaughn bachelor party,
itm_13,col_size,5,
itm_13,col_trip,full,
itm_13,col_status,tentative,
itm_13,col_dep,no,
itm_13,col_depamt,0.00,
itm_13,col_contact,vaughn@example.com,
itm_13,col_notes,,
itm_14,col_date,2027-05-19,
itm_14,col_party,Delacroix group,
itm_14,col_size,6,
itm_14,col_trip,multi,
itm_14,col_status,held,
itm_14,col_dep,no,
itm_14,col_depamt,0.00,
itm_14,col_contact,delacroix@example.com,
itm_14,col_notes,,
itm_15,col_date,2027-05-20,
itm_15,col_party,Halligan party,
itm_15,col_size,7,
itm_15,col_trip,half,
itm_15,col_status,confirmed,
itm_15,col_dep,yes,
itm_15,col_depamt,400.00,
itm_15,col_contact,halligan@example.com,
itm_15,col_notes,,
itm_16,col_date,2027-06-21,
itm_16,col_party,Okafor group,
itm_16,col_size,8,
itm_16,col_trip,full,
itm_16,col_status,confirmed,
itm_16,col_dep,yes,
itm_16,col_depamt,400.00,
itm_16,col_contact,okafor@example.com,
itm_16,col_notes,,
itm_17,col_date,2027-06-22,
itm_17,col_party,GreenTech corp,
itm_17,col_size,9,
itm_17,col_trip,multi,
itm_17,col_status,tentative,
