id,name,type,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,start_date,kudos_count,segment_id
act_001,Evening Walk Federal Hill,Walk,3800,2400,2700,15,1.58,2026-10-01T18:00:00-04:00,0,
act_002,Evening Walk Inner Harbor,Walk,4200,2700,3000,10,1.56,2026-10-03T18:00:00-04:00,0,
act_003,Evening Walk Canton,Walk,5100,3200,3600,20,1.59,2026-10-05T18:00:00-04:00,1,
act_004,Evening Walk Federal Hill,Walk,3500,2200,2500,15,1.59,2026-10-07T18:00:00-04:00,0,
act_005,Evening Walk Inner Harbor,Walk,4000,2500,2800,12,1.60,2026-10-09T18:00:00-04:00,0,
act_0006,Hanna's Run,Run,8291,2504,3132,0,3.5,2026-10-09T07:00:00-04:00,2,
act_0007,Hanna's Run,Run,5992,2955,2362,0,3.5,2026-10-02T07:00:00-04:00,2,
act_0008,Hanna's Run,Run,9334,2095,1876,0,3.5,2026-10-05T07:00:00-04:00,2,
act_0009,Hanna's Run,Run,9074,2204,3070,0,3.5,2026-10-05T07:00:00-04:00,2,
act_0010,Hanna's Run,Run,9201,1584,2348,0,3.5,2026-10-01T07:00:00-04:00,2,
act_0011,Hanna's Run,Run,9333,2217,3437,0,3.5,2026-10-05T07:00:00-04:00,2,
act_0012,Hanna's Run,Run,7927,2894,3502,0,3.5,2026-10-08T07:00:00-04:00,2,
act_0013,Hanna's Run,Run,7053,2208,2629,0,3.5,2026-10-08T07:00:00-04:00,2,
act_0014,Hanna's Run,Run,5351,2215,2534,0,3.5,2026-10-07T07:00:00-04:00,2,
act_0015,Hanna's Run,Run,8177,2913,2770,0,3.5,2026-10-06T07:00:00-04:00,2,
act_00016,Activity 16,Run,9487,4017,4446,0,2.16,2026-02-24T00:00:00-04:00,5,
act_00017,Activity 17,Swim,13346,4165,6295,0,4.97,2026-08-16T00:00:00-04:00,3,
act_00018,Activity 18,Rowing,13269,754,3815,0,2.74,2026-05-22T00:00:00-04:00,4,
act_00019,Activity 19,Ride,4087,4745,5212,0,2.11,2026-01-09T00:00:00-04:00,0,
act_00020,Activity 20,Walk,3864,4515,4608,0,3.52,2026-06-08T00:00:00-04:00,2,
act_00021,Activity 21,Run,11152,4335,5327,0,2.13,2026-07-05T00:00:00-04:00,5,
