tool_id,tool_name,category,condition,last_checkout,borrower,return_date
TL-001,Wheelbarrow 6cu,hauling,good,2026-09-14,Maria Santos,2026-09-21
TL-002,Spading Fork,digging,fair,2026-10-01,Alonso Reyes,2026-10-08
TL-003,Loppers 28in,pruning,good,2026-09-28,Thanh Nguyen,2026-10-05
TL-004,Garden Hose 75ft,watering,good,,available,
TL-005,Bow Rake,raking,good,2026-10-12,Carlos Mendez,2026-10-19
TL-006,Post Hole Digger,digging,fair,,available,
TL-007,Broadcast Spreader,seeding,good,2026-08-20,Janet Kowalski,2026-08-27
TL-008,Leaf Blower Electric,cleanup,good,,available,
TL-009,Pruning Shears Bypass,pruning,excellent,2026-10-05,Devon Whitfield,2026-10-12
TL-010,Tarp 12x16,hauling,fair,,available,
TL-011,Soil Knife,planting,excellent,2026-09-30,Priya Anand,2026-10-07
TL-012,Hand Trowel,planting,good,,available,
TL-013,Flat-Head Shovel,digging,good,2026-10-10,Sasha Beaumont,2026-10-17
TL-014,Garden Cart 4cu Poly,hauling,excellent,2026-10-08,Karim Pulaski,2026-10-15
TL-015,Hedge Shears 10in,pruning,good,,available,
TL-016,Stirrup Hoe,weeding,good,2026-09-22,Tasha Williams,2026-09-29
TL-017,D-Handle Spade,digging,good,,available,
TL-018,Watering Can 2gal Galvanized,watering,fair,2026-10-03,Marcus Greer,2026-10-10
TL-019,Mattock Pick,digging,fair,2026-08-14,Alonso Reyes,2026-08-21
TL-020,Leaf Rake 24in,raking,good,,available,
TL-021,Soaker Hose 50ft,watering,good,2026-09-10,Priya Anand,2026-09-17
TL-022,Bulb Planter,planting,excellent,,available,
TL-023,Digging Bar 60in,digging,good,2026-07-29,Carlos Mendez,2026-08-05
TL-024,Push Broom 24in,cleanup,good,,available,
TL-025,Compost Thermometer 20in,composting,excellent,2026-10-14,Janet Kowalski,2026-10-21
TL-026,Soil pH Meter,testing,good,2026-09-18,Thanh Nguyen,2026-09-25
TL-027,Tamper Plate Hand,compacting,fair,,available,
TL-028,Hori Hori Knife,planting,excellent,2026-10-06,Devon Whitfield,2026-10-13
TL-029,Edging Shears Long Handle,trimming,good,,available,
TL-030,Transplanting Spade Narrow,planting,good,2026-10-11,Maria Santos,2026-10-18
TL-031,Kneeling Pad Foam,comfort,fair,,available,
TL-032,Rain Gauge Analog,measuring,good,2026-06-15,Sasha Beaumont,2026-06-22
TL-033,Weed Puller Stand-Up,weeding,good,,available,
TL-034,Hand Cultivator 3-Prong,weeding,excellent,2026-10-09,Marcus Greer,2026-10-16
TL-035,Extension Cord 100ft Outdoor,electrical,good,,available,
