survey_id,customer_name,job_id,completion_date,rating,comment
SRV-001,Thomas Wickham,PK-4102,2026-04-18,5,Excellent copper repipe on schedule
SRV-002,Linda Vasquez,PK-4115,2026-05-03,4,Good work but arrived 30 min late
SRV-003,Martin Gallagher,PK-4089,2026-04-09,5,Kevin fixed the sump pump same day
SRV-004,Denise Okafor,PK-4127,2026-05-22,5,Very professional crew
SRV-005,Roger Chiu,PK-4098,2026-04-14,3,Had to call back for a leak at the joint
SRV-006,Annette Russo,PK-4131,2026-06-01,5,Bathroom rough-in was perfect
SRV-007,James Bautista,PK-4140,2026-06-12,4,Clean work but invoice was unclear
SRV-008,Patricia Henley,PK-4144,2026-06-19,5,Water heater swap done in two hours
SRV-009,William Truong,PK-4107,2026-04-28,4,Solid drain clearing
SRV-010,Cynthia Perez,PK-4155,2026-06-30,5,Emily handled the city permit personally
SRV-011,Robert Flanagan,PK-4091,2026-04-11,5,Replaced the whole stack in a day and cleaned up the basement better than they found it
SRV-012,Yolanda Reeves,PK-4096,2026-04-15,4,Needed a follow-up to adjust the pressure valve but otherwise solid
SRV-013,Hector Maldonado,PK-4104,2026-04-22,5,Kevin and Jake were polite and explained every step of the hose bib replacement
SRV-014,Grace Obermann,PK-4109,2026-04-30,3,Job was fine but took longer than the estimate said it would
SRV-015,Derek Townsend,PK-4112,2026-05-01,5,Emergency late-night call for a burst pipe and they had someone out within the hour
SRV-016,Sandra Kovach,PK-4118,2026-05-08,4,Good sump pump install but parking the van blocked my driveway for a while
SRV-017,Lionel Bridges,PK-4121,2026-05-14,5,Third time using Porter Koval and they always deliver
SRV-018,Mei-Ling Dang,PK-4125,2026-05-19,5,Water heater install was quick and they hauled the old unit away same day
SRV-019,Darnell Jefferson,PK-4129,2026-05-28,4,Drain snaking cleared the clog but I wish they had scoped the line too
SRV-020,Colleen McBride,PK-4133,2026-06-04,5,Emily did the kitchen faucet herself and showed me how to maintain it
SRV-021,Franklin Doss,PK-4136,2026-06-09,4,Backflow preventer test was straightforward but the invoice took two weeks to arrive
SRV-022,Naomi Singh,PK-4142,2026-06-16,5,Whole-house repipe in a twin with plaster walls and they patched everything clean
SRV-023,Marcus Whitley,PK-4148,2026-06-22,3,Had to reschedule twice due to parts delay which was frustrating
SRV-024,Bridget Kowalczyk,PK-4151,2026-06-26,5,Gas line hookup for the new range was done to code and they pulled the permit same day
SRV-025,Antoine Marsh,PK-4153,2026-06-28,4,Good bathroom rough-in but the apprentice needed a lot of direction on site
SRV-026,Tamara Rosen,PK-4157,2026-06-30,5,Outdoor hydrant replacement before summer and they winterized the old line too
SRV-027,Ivan Petrov,PK-4094,2026-04-12,4,Toilet flange repair was clean but they left some caulk residue on the tile
SRV-028,Keisha Watkins,PK-4138,2026-06-10,5,Emily diagnosed a mystery leak in the wall that two other plumbers missed
