id,display_name,given_name,surname,email,job_title,company,mobile_phone
c-super,Dr. Patricia Hernandez,Patricia,Hernandez,p.hernandez@maplewoodschoolboard.ca,Superintendent,Maplewood School Board,+14165558801
c-0000,Mateo Cohen,Mateo,Cohen,mateo.cohen1000@ridgewoodcollegiate.ca,English Teacher,Ridgewood Collegiate Institute,+14165553000
c-0001,Hassan Costa,Hassan,Costa,hassan.costa1001@ridgewoodcollegiate.ca,Numeracy Lead Teacher,Ridgewood Collegiate Institute,+14165553001
c-0002,Sofia Chen,Sofia,Chen,sofia.chen1002@ridgewoodcollegiate.ca,Science Teacher,Ridgewood Collegiate Institute,+14165553002
c-0003,Carlos Mensah,Carlos,Mensah,carlos.mensah1003@ridgewoodcollegiate.ca,History Teacher,Ridgewood Collegiate Institute,+14165553003
c-0004,Nina Dupont,Nina,Dupont,nina.dupont1004@ridgewoodcollegiate.ca,French Teacher,Ridgewood Collegiate Institute,+14165553004
c-0005,Ravi Vasquez,Ravi,Vasquez,ravi.vasquez1005@ridgewoodcollegiate.ca,Athletics Coordinator,Ridgewood Collegiate Institute,+14165553005
c-0006,Diego Novak,Diego,Novak,diego.novak1006@ridgewoodcollegiate.ca,Visual Arts Teacher,Ridgewood Collegiate Institute,+14165553006
c-0007,Lucia Sharma,Lucia,Sharma,lucia.sharma1007@ridgewoodcollegiate.ca,Computer Studies Teacher,Ridgewood Collegiate Institute,+14165553007
c-0008,Talia Mensah,Talia,Mensah,talia.mensah1008@ridgewoodcollegiate.ca,Guidance Counsellor,Ridgewood Collegiate Institute,+14165553008
c-0009,Maya Bauer,Maya,Bauer,maya.bauer1009@ridgewoodcollegiate.ca,Education Assistant,Ridgewood Collegiate Institute,+14165553009
c-0010,Lucia Dupont,Lucia,Dupont,lucia.dupont1010@ridgewoodcollegiate.ca,Attendance Secretary,Ridgewood Collegiate Institute,+14165553010
c-0011,Hiro Petrov,Hiro,Petrov,hiro.petrov1011@ridgewoodcollegiate.ca,Maintenance Technician,Ridgewood Collegiate Institute,+14165553011
c-0012,Yuki Hernandez,Yuki,Hernandez,yuki.hernandez1012@ridgewoodcollegiate.ca,English Teacher,Ridgewood Collegiate Institute,+14165553012
c-0013,Leah Bello,Leah,Bello,leah.bello1013@ridgewoodcollegiate.ca,Numeracy Lead Teacher,Ridgewood Collegiate Institute,+14165553013
c-0014,Wei Dupont,Wei,Dupont,wei.dupont1014@ridgewoodcollegiate.ca,Science Teacher,Ridgewood Collegiate Institute,+14165553014
c-0015,Lucia Patel,Lucia,Patel,lucia.patel1015@ridgewoodcollegiate.ca,History Teacher,Ridgewood Collegiate Institute,+14165553015
c-0016,Olivia Rivera,Olivia,Rivera,olivia.rivera1016@ridgewoodcollegiate.ca,French Teacher,Ridgewood Collegiate Institute,+14165553016
c-0017,Liam Vasquez,Liam,Vasquez,liam.vasquez1017@ridgewoodcollegiate.ca,Athletics Coordinator,Ridgewood Collegiate Institute,+14165553017
c-0018,Bruno Park,Bruno,Park,bruno.park1018@ridgewoodcollegiate.ca,Visual Arts Teacher,Ridgewood Collegiate Institute,+14165553018
c-0019,Owen Costa,Owen,Costa,owen.costa1019@ridgewoodcollegiate.ca,Computer Studies Teacher,Ridgewood Collegiate Institute,+14165553019
c-0020,Eduardo Santos,Eduardo,Santos,eduardo.santos1020@ridgewoodcollegiate.ca,Guidance Counsellor,Ridgewood Collegiate Institute,+14165553020
