id,firstName,lastName,workEmail,department,jobTitle,location,hireDate,status,supervisorId
EMP-001,Sam,Osborne,sam.osborne@Finthesiss.ai,Ownership,Owner / Silversmith,"Gallup, NM",2010-04-01,Active,
EMP-002,Rafael,Chavez,rafael.chavez@example.com,Bench,Bench helper (fall rush),"Gallup, NM",2024-09-01,Active,EMP-001
EMP-003,Daria,Whitecloud,daria.whitecloud@example.com,Bench,Bench helper (winter 2024-2025),"Gallup, NM",2024-11-15,Inactive,EMP-001
EMP-004,Marcus,Yazzie,marcus.yazzie@example.com,Bench,Photographer / catalog,"Gallup, NM",2025-06-10,Active,EMP-001
EMP-005,Tessa,Yellowhorse,tessa.yellowhorse@example.com,Bench,Seasonal bench helper (past),"Gallup, NM",2024-10-25,Inactive,EMP-001
EMP-006,Emmett,Kirkland,emmett.kirkland@example.com,Bench,Seasonal bench helper (past),"Gallup, NM",2025-01-06,Inactive,EMP-001
EMP-007,Jonah,Redwater,jonah.redwater@example.com,Bench,Seasonal bench helper (past),"Gallup, NM",2025-05-28,Inactive,EMP-001
EMP-008,Nora,Silvermoon,nora.silvermoon@example.com,Bench,Seasonal bench helper (past),"Gallup, NM",2023-04-10,Inactive,EMP-001
EMP-009,Colin,Draper,colin.draper@example.com,Bench,Seasonal bench helper (past),"Gallup, NM",2023-02-15,Inactive,EMP-001
EMP-010,Rana,Ochoa,rana.ochoa@example.com,Bench,Seasonal bench helper (past),"Gallup, NM",2023-02-22,Inactive,EMP-001
EMP-011,Blair,Hendricks,blair.hendricks@example.com,Bench,Seasonal bench helper (past),"Gallup, NM",2023-01-30,Inactive,EMP-001
EMP-012,Zachary,Vela,zachary.vela@example.com,Bench,Seasonal bench helper (past),"Gallup, NM",2022-12-12,Inactive,EMP-001
EMP-013,Iris,Torres,iris.torres@example.com,Bench,Seasonal bench helper (past),"Gallup, NM",2023-01-04,Inactive,EMP-001
EMP-014,Kellan,Roubideaux,kellan.roubideaux@example.com,Bench,Seasonal bench helper (past),"Gallup, NM",2024-12-12,Inactive,EMP-001
EMP-015,Josie,McNamara,josie.mcnamara@example.com,Bench,Seasonal bench helper (past),"Gallup, NM",2024-08-29,Inactive,EMP-001
EMP-016,Wren,Alavarez,wren.alavarez@example.com,Bench,Seasonal bench helper (past),"Gallup, NM",2024-10-20,Inactive,EMP-001
EMP-020,Emma,Lane,emma.lane@example.com,Bench,Past seasonal bench helper,"Gallup, NM",2021-06-13,Inactive,EMP-001
EMP-021,Kristin,Stanley,kristin.stanley@example.com,Bench,Past seasonal bench helper,"Gallup, NM",2022-05-22,Inactive,EMP-001
EMP-022,Michael,Sullivan,michael.sullivan@example.com,Bench,Past seasonal bench helper,"Gallup, NM",2022-10-20,Inactive,EMP-001
EMP-023,Gary,Sullivan,gary.sullivan@example.com,Bench,Past seasonal bench helper,"Gallup, NM",2022-07-18,Inactive,EMP-001
EMP-024,Ashley,Beck,ashley.beck@example.com,Bench,Past seasonal bench helper,"Gallup, NM",2021-12-15,Inactive,EMP-001
EMP-025,Wendy,Collier,wendy.collier@example.com,Bench,Past seasonal bench helper,"Gallup, NM",2022-01-31,Inactive,EMP-001
EMP-026,Sabrina,Swanson,sabrina.swanson@example.com,Bench,Past seasonal bench helper,"Gallup, NM",2022-02-11,Inactive,EMP-001
