Date	Purpose	Round_trip_miles	Drive_time	Notes	Who	Route
2025-10-18	Monthly visit, Helen	230	4:05	Lunch and errands	Helen Foster	Sacramento to San Jose
2025-11-22	Monthly visit, Helen	230	3:50	Thanksgiving week prep	Helen Foster	Sacramento to San Jose
2025-12-14	Monthly visit, Helen	230	4:20	Birthday, December 15	Helen Foster	Sacramento to San Jose
2025-12-24	Christmas Eve, family	230	4:35	Overnight, David and Nancy	Foster family	Sacramento to San Jose
2026-01-17	Monthly visit, Helen	230	3:55	Pharmacy run and paperwork	Helen Foster	Sacramento to San Jose
2026-02-14	Monthly visit, Helen	230	4:10	Kitchen tap repair	Helen Foster	Sacramento to San Jose
2026-03-21	Monthly visit, Helen	230	3:45	Lunch, walk at the park	Helen Foster	Sacramento to San Jose
2026-04-18	Monthly visit, Helen	230	4:00	Spring clear out of the garage	Helen Foster	Sacramento to San Jose
2026-05-16	Monthly visit, Helen	230	3:50	Lunch at Helen	Helen Foster	Sacramento to San Jose
2026-06-20	Monthly visit, Helen	230	4:15	Air conditioning service call	Helen Foster	Sacramento to San Jose
2026-07-18	Monthly visit, Helen	230	4:05	Lunch and errands	Helen Foster	Sacramento to San Jose
2026-08-15	Monthly visit, Helen	230	3:55	Annual paperwork review	Helen Foster	Sacramento to San Jose
2026-09-19	Monthly visit, Helen	230	4:00	Lunch and errands	Helen Foster	Sacramento to San Jose
2026-10-24	Monthly visit, Helen	230	4:10	Autumn check on the house	Helen Foster	Sacramento to San Jose
2026-11-21	Monthly visit, Helen	230	4:05	Lunch at Helen, back by evening	Helen Foster	Sacramento to San Jose
