id,list_id,type,status,subject_line,from_name,reply_to,title,emails_sent,send_time,create_time
mc-camp-alumni-nl-2026-q4,mc-list-alumni-nl,regular,save,Alumni Q4 - fleet retirement update (retrospective quote slot pending),Mesa Verde Alumni Desk,alumni@mesaverdepaving.com,Alumni Newsletter Q4 2026 (DRAFT),0,,2026-10-18T09:00:00-06:00
mc-camp-2000,mc-list-alumni-nl,regular,sent,MVPG Alumni Newsletter Q1 2022,Mesa Verde Alumni,alumni@mesaverde-retiree.net,MVPG Alumni Newsletter Q1 2022,30,2022-03-15T10:00:00-06:00,2022-03-10T09:00:00-06:00
mc-camp-2001,mc-list-alumni-nl,regular,sent,MVPG Alumni Newsletter Q2 2022,Mesa Verde Alumni,alumni@mesaverde-retiree.net,MVPG Alumni Newsletter Q2 2022,31,2022-06-15T10:00:00-06:00,2022-06-10T09:00:00-06:00
mc-camp-2002,mc-list-alumni-nl,regular,sent,MVPG Alumni Newsletter Q3 2022,Mesa Verde Alumni,alumni@mesaverde-retiree.net,MVPG Alumni Newsletter Q3 2022,32,2022-09-15T10:00:00-06:00,2022-09-10T09:00:00-06:00
mc-camp-2003,mc-list-alumni-nl,regular,sent,MVPG Alumni Newsletter Q4 2022,Mesa Verde Alumni,alumni@mesaverde-retiree.net,MVPG Alumni Newsletter Q4 2022,33,2022-12-15T10:00:00-06:00,2022-12-10T09:00:00-06:00
mc-camp-2004,mc-list-alumni-nl,regular,sent,MVPG Alumni Newsletter Q1 2023,Mesa Verde Alumni,alumni@mesaverde-retiree.net,MVPG Alumni Newsletter Q1 2023,34,2023-03-15T10:00:00-06:00,2023-03-10T09:00:00-06:00
mc-camp-2005,mc-list-alumni-nl,regular,sent,MVPG Alumni Newsletter Q2 2023,Mesa Verde Alumni,alumni@mesaverde-retiree.net,MVPG Alumni Newsletter Q2 2023,35,2023-06-15T10:00:00-06:00,2023-06-10T09:00:00-06:00
mc-camp-2006,mc-list-alumni-nl,regular,sent,MVPG Alumni Newsletter Q3 2023,Mesa Verde Alumni,alumni@mesaverde-retiree.net,MVPG Alumni Newsletter Q3 2023,36,2023-09-15T10:00:00-06:00,2023-09-10T09:00:00-06:00
mc-camp-2007,mc-list-alumni-nl,regular,sent,MVPG Alumni Newsletter Q4 2023,Mesa Verde Alumni,alumni@mesaverde-retiree.net,MVPG Alumni Newsletter Q4 2023,37,2023-12-15T10:00:00-06:00,2023-12-10T09:00:00-06:00
mc-camp-2008,mc-list-alumni-nl,regular,sent,MVPG Alumni Newsletter Q1 2024,Mesa Verde Alumni,alumni@mesaverde-retiree.net,MVPG Alumni Newsletter Q1 2024,38,2024-03-15T10:00:00-06:00,2024-03-10T09:00:00-06:00
