Name	Relation	Phone	Email	Preferred	Notes
Reese Williams	Sister	617-555-0198	reese.williams.bos@gmail.com	Text or WhatsApp	Boston, talk 2 to 3x week
Kevin Williams	Father	401-555-0291		Phone call	Warwick, no email
Michelle Williams	Mother	401-555-0292	michelle.williams.ri@gmail.com	Call or text	Closer, asks about writing
Dex Morales	Best friend	401-555-0345	dex.morales.pvd@gmail.com	Text	Alchemy coworker, zine nights
Nia Okafor	Housemate	401-555-0412	nia.okafor.pvd@gmail.com	Text	MSW student, movie nights
Joon Park	Housemate	401-555-0413	joon.park.pvd@gmail.com	Text	Bookstore, zine distro
Clara Wentworth	Mentor	401-555-0520	cwentworth@narragansettbay.edu	Email	Recommends readings and grants
Fran Delgado	Manager	401-555-0600	fran@alchemycoffee.com	Text or call	Alchemy owner, scheduling
Marie Fournier	Primary care	401-555-0700		Health portal	Fox Point Community Health
Grace Yamada	Dentist	401-555-0715		Dental portal	College Hill Dental
