id,calendar_id,summary,description,location,start,end,all_day,status,creator,organizer,recurrence,visibility
evt_shift_1101,cal_shifts,BMC ER night shift,Week A rotation,Boston Medical Center,2026-11-01T19:00:00-05:00,2026-11-02T07:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_shift_1102,cal_shifts,BMC ER night shift,Week A rotation,Boston Medical Center,2026-11-02T19:00:00-05:00,2026-11-03T07:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_shift_1103,cal_shifts,BMC ER night shift,Week A rotation,Boston Medical Center,2026-11-03T19:00:00-05:00,2026-11-04T07:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_shift_1104,cal_shifts,BMC ER night shift,Week B rotation,Boston Medical Center,2026-11-04T19:00:00-05:00,2026-11-05T07:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_shift_1105,cal_shifts,BMC ER night shift,Week B rotation,Boston Medical Center,2026-11-05T19:00:00-05:00,2026-11-06T07:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_shift_1106,cal_shifts,BMC ER night shift,Week B rotation,Boston Medical Center,2026-11-06T19:00:00-05:00,2026-11-07T07:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_shift_1108,cal_shifts,BMC ER night shift,Week A rotation,Boston Medical Center,2026-11-08T19:00:00-05:00,2026-11-09T07:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_shift_1109,cal_shifts,BMC ER night shift,Week A rotation,Boston Medical Center,2026-11-09T19:00:00-05:00,2026-11-10T07:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_shift_1110,cal_shifts,BMC ER night shift,Week A rotation,Boston Medical Center,2026-11-10T19:00:00-05:00,2026-11-11T07:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_shift_1111,cal_shifts,BMC ER night shift,Week B rotation,Boston Medical Center,2026-11-11T19:00:00-05:00,2026-11-12T07:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_shift_1112,cal_shifts,BMC ER night shift,Week B rotation,Boston Medical Center,2026-11-12T19:00:00-05:00,2026-11-13T07:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_shift_1113,cal_shifts,BMC ER night shift,Week B rotation,Boston Medical Center,2026-11-13T19:00:00-05:00,2026-11-14T07:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_shift_1115,cal_shifts,BMC ER night shift,Week A rotation,Boston Medical Center,2026-11-15T19:00:00-05:00,2026-11-16T07:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_shift_1116,cal_shifts,BMC ER night shift,Week A rotation,Boston Medical Center,2026-11-16T19:00:00-05:00,2026-11-17T07:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_shift_1117,cal_shifts,BMC ER night shift,Week A rotation,Boston Medical Center,2026-11-17T19:00:00-05:00,2026-11-18T07:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_shift_1118,cal_shifts,BMC ER night shift,Week B rotation,Boston Medical Center,2026-11-18T19:00:00-05:00,2026-11-19T07:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_shift_1119,cal_shifts,BMC ER night shift,Week B rotation,Boston Medical Center,2026-11-19T19:00:00-05:00,2026-11-20T07:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_shift_1120,cal_shifts,BMC ER night shift,Week B rotation,Boston Medical Center,2026-11-20T19:00:00-05:00,2026-11-21T07:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_hockey_1103,cal_kids,Liam hockey practice,Recurring Tuesday,Daly Memorial Rink Brighton,2026-11-03T17:30:00-05:00,2026-11-03T18:45:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_art_1104,cal_kids,Chloe art class,Recurring Wednesday,Roslindale Community Center,2026-11-04T15:30:00-05:00,2026-11-04T16:45:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_hockey_1105,cal_kids,Liam hockey practice,Recurring Thursday,Daly Memorial Rink Brighton,2026-11-05T17:30:00-05:00,2026-11-05T18:45:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_scouts_1107,cal_kids,Chloe Girl Scouts,Biweekly Saturday,Holy Name Parish Hall,2026-11-07T08:30:00-05:00,2026-11-07T10:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_vetday_1111,cal_kids,Veterans Day school closed,Ava covering daytime so Kerry can sleep before Week B,74 Chestnut Hill Road,2026-11-11T00:00:00-05:00,2026-11-11T23:59:00-05:00,True,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_earlyrelease_1124,cal_kids,Holy Name early release,Half day dismissal at eleven thirty for professional development,Holy Name Parish School,2026-11-24T11:30:00-05:00,2026-11-24T12:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_thanksgiving,primary,Thanksgiving at Colleen,"Kerry off shift, arrival at four",Quincy MA,2026-11-26T16:00:00-05:00,2026-11-26T21:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_communion,primary,First Communion Michael Cortez,Saint Bernards Worcester ten thirty then lunch at Patrick,Saint Bernards Worcester MA,2026-12-05T10:30:00-05:00,2026-12-05T15:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_winter_concert,cal_kids,Holy Name winter concert,Parish hall six thirty,Holy Name Parish Hall,2026-12-17T18:30:00-05:00,2026-12-17T20:00:00-05:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_christmas,primary,Christmas at home,Colleen coming over,74 Chestnut Hill Road,2026-12-25T00:00:00-05:00,2026-12-25T23:59:00-05:00,True,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_kc_bg_shift_300,cal_shifts,BMC ER night shift,September rotation,Boston Medical Center,2026-09-01T19:00:00-04:00,2026-09-02T07:00:00-04:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_kc_bg_shift_301,cal_shifts,BMC ER night shift,September rotation,Boston Medical Center,2026-09-02T19:00:00-04:00,2026-09-03T07:00:00-04:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
evt_kc_bg_shift_302,cal_shifts,BMC ER night shift,September rotation,Boston Medical Center,2026-09-03T19:00:00-04:00,2026-09-04T07:00:00-04:00,False,confirmed,kerry.cortez@finthesiss.ai,kerry.cortez@finthesiss.ai,,private
