id,first_name,last_name,email,phone,company,title,source,created_at
5001,Aisha,Vasquez,aisha.vasquez.5001@candidatemail.ca,+14165552000,Peel DSB,Education Assistant,LinkedIn,2026-09-01
5002,Mateo,Silva,mateo.silva.5002@candidatemail.ca,+14165552001,Peel DSB,New Graduate,Referral,2026-09-02
5003,Isabella,Haddad,isabella.haddad.5003@candidatemail.ca,+14165552002,Peel DSB,Education Assistant,Board Posting,2026-09-03
5004,Priya,Larsson,priya.larsson.5004@candidatemail.ca,+14165552003,Supply List,New Graduate,Job Fair,2026-09-04
5005,Daniel,Bianchi,daniel.bianchi.5005@candidatemail.ca,+14165552004,Durham DSB,Occasional Teacher,Agency,2026-09-05
5006,Leah,Rivera,leah.rivera.5006@candidatemail.ca,+14165552005,York Region DSB,Occasional Teacher,Direct,2026-09-06
5007,Tariq,Lindqvist,tariq.lindqvist.5007@candidatemail.ca,+14165552006,Supply List,Occasional Teacher,LinkedIn,2026-09-07
5008,Lucia,Nguyen,lucia.nguyen.5008@candidatemail.ca,+14165552007,Supply List,New Graduate,Referral,2026-09-08
5009,Simon,Ahmed,simon.ahmed.5009@candidatemail.ca,+14165552008,York Region DSB,Occasional Teacher,Board Posting,2026-09-09
5010,Nina,Sharma,nina.sharma.5010@candidatemail.ca,+14165552009,Supply List,Teacher,Job Fair,2026-09-10
5011,Sam,Novak,sam.novak.5011@candidatemail.ca,+14165552010,York Region DSB,Occasional Teacher,Agency,2026-09-11
5012,Cora,Wallace,cora.wallace.5012@candidatemail.ca,+14165552011,New Graduate,New Graduate,Direct,2026-09-12
5013,Aisha,Cohen,aisha.cohen.5013@candidatemail.ca,+14165552012,Toronto DSB,New Graduate,LinkedIn,2026-09-13
5014,Mateo,Antoine,mateo.antoine.5014@candidatemail.ca,+14165552013,Supply List,Occasional Teacher,Referral,2026-09-14
5015,Isabella,Okafor,isabella.okafor.5015@candidatemail.ca,+14165552014,Peel DSB,Education Assistant,Board Posting,2026-09-15
5016,Priya,Murphy,priya.murphy.5016@candidatemail.ca,+14165552015,Durham DSB,Education Assistant,Job Fair,2026-09-16
5017,Daniel,Zhang,daniel.zhang.5017@candidatemail.ca,+14165552016,Peel DSB,Teacher,Agency,2026-09-17
5018,Leah,Mbeki,leah.mbeki.5018@candidatemail.ca,+14165552017,York Region DSB,Education Assistant,Direct,2026-09-18
5019,Tariq,Fernandez,tariq.fernandez.5019@candidatemail.ca,+14165552018,Supply List,Education Assistant,LinkedIn,2026-09-19
5020,Lucia,Park,lucia.park.5020@candidatemail.ca,+14165552019,York Region DSB,Teacher,Referral,2026-09-20
5021,Simon,Yamada,simon.yamada.5021@candidatemail.ca,+14165552020,Peel DSB,New Graduate,Board Posting,2026-09-21
5022,Nina,Patel,nina.patel.5022@candidatemail.ca,+14165552021,New Graduate,Education Assistant,Job Fair,2026-09-22
5023,Sam,Dubois,sam.dubois.5023@candidatemail.ca,+14165552022,Durham DSB,Teacher,Agency,2026-09-23
5024,Cora,Ali,cora.ali.5024@candidatemail.ca,+14165552023,York Region DSB,New Graduate,Direct,2026-09-24
5025,Aisha,Costa,aisha.costa.5025@candidatemail.ca,+14165552024,Toronto DSB,New Graduate,LinkedIn,2026-09-25
5026,Mateo,Adeyemi,mateo.adeyemi.5026@candidatemail.ca,+14165552025,Durham DSB,Teacher,Referral,2026-09-26
5027,Isabella,Boateng,isabella.boateng.5027@candidatemail.ca,+14165552026,Peel DSB,Teacher,Board Posting,2026-09-27
5028,Priya,Bello,priya.bello.5028@candidatemail.ca,+14165552027,York Region DSB,Education Assistant,Job Fair,2026-09-28
5029,Daniel,Chen,daniel.chen.5029@candidatemail.ca,+14165552028,Supply List,Occasional Teacher,Agency,2026-09-29
5030,Leah,Santos,leah.santos.5030@candidatemail.ca,+14165552029,Durham DSB,Occasional Teacher,Direct,2026-09-30
5031,Tariq,Osei,tariq.osei.5031@candidatemail.ca,+14165552030,Toronto DSB,New Graduate,LinkedIn,2026-10-01
5032,Lucia,Bauer,lucia.bauer.5032@candidatemail.ca,+14165552031,York Region DSB,Education Assistant,Referral,2026-10-02
5033,Simon,Petrov,simon.petrov.5033@candidatemail.ca,+14165552032,New Graduate,Teacher,Board Posting,2026-10-03
