id,createdTime,EventID,EventDate,Client,GuestCount,BookedUSD,Status
recEv000000000001,2026-04-03T09:00:00.000Z,EV-2024-1214,2024-12-14,Ambervale Properties,30,660,Completed
recEv000000000002,2026-07-05T09:00:00.000Z,EV-2024-1231,2024-12-31,Klein private,12,540,Completed
recEv000000000003,2026-10-07T09:00:00.000Z,EV-2025-0517,2025-05-17,Meredith Alcorn,30,660,Completed
recEv000000000004,2026-01-09T09:00:00.000Z,EV-2025-0614,2025-06-14,Portland Preservation Society,55,1210,Completed
recEv000000000005,2026-04-11T09:00:00.000Z,EV-2025-1122,2025-11-22,Vasquez,80,1760,Completed
recEv000000000006,2026-07-13T09:00:00.000Z,EV-2025-1214,2025-12-14,Ambervale Properties,35,770,Completed
recEv000000000007,2026-10-15T09:00:00.000Z,EV-2025-1230,2025-12-30,Northeast Aviation,100,2200,Completed
recEv000000000008,2026-01-17T09:00:00.000Z,EV-2025-1231,2025-12-31,Klein private,14,630,Completed
recEv000000000009,2026-04-19T09:00:00.000Z,EV-2026-0314,2026-03-14,St. Johns Parish,60,900,Completed
recEv000000000010,2026-07-21T09:00:00.000Z,EV-2026-0425,2026-04-25,Doyle family,50,1100,Completed
recEv000000000011,2026-10-23T09:00:00.000Z,EV-2026-0502,2026-05-02,Cascade Public Library,65,1430,Completed
recEv000000000012,2026-01-25T09:00:00.000Z,EV-2026-0613,2026-06-13,Wong-Ferreira,100,2200,Completed
recEv000000000013,2026-04-27T09:00:00.000Z,EV-2026-0718,2026-07-18,Pearl District Design,40,880,Completed
recEv000000000014,2026-07-02T09:00:00.000Z,EV-2026-1024,2026-10-24,Beaverton engagement,60,1320,Confirmed
recEv000000000015,2026-10-04T09:00:00.000Z,EV-2026-1113,2026-11-13,Ambervale Properties,40,880,Confirmed
recEv000000000016,2026-01-06T09:00:00.000Z,EV-2026-1212,2026-12-12,Northeast Aviation,120,2640,Confirmed
recEv000000000017,2026-04-08T09:00:00.000Z,EV-2027-0306,2027-03-06,Le Sirop Nordique,55,1210,Quoted
recEv000000000018,2026-07-10T09:00:00.000Z,EV-2027-0501,2027-05-01,Casey-Nolan,90,1980,Deposit received
recEv000000000019,2026-10-12T09:00:00.000Z,EV-2027-0612,2027-06-12,Ambervale Properties,45,990,Confirmed
recEv000000000020,2026-01-14T09:00:00.000Z,EV-2027-0627,2027-06-27,Hu-Wallace,110,2420,Deposit received
recEv000000000021,2026-04-16T09:00:00.000Z,EV-2027-0731,2027-07-31,Cascade Public Library,70,1540,Floated
recEv000000000022,2026-07-18T09:00:00.000Z,EV-2027-0801,2027-08-01,Lansdowne,40,880,Floated
recEv000000000023,2026-10-20T09:00:00.000Z,EV-2027-0802,2027-08-02,Portland Preservation Society,90,1980,Floated
recEv000000000024,2026-01-22T09:00:00.000Z,EV-2027-0814,2027-08-14,Ambervale Properties,40,880,Confirmed
recEv000000000025,2026-04-24T09:00:00.000Z,EV-2027-1010,2027-10-10,Ambervale Properties,40,880,Floated
recEv000000000026,2026-07-26T09:00:00.000Z,EV-2027-1114,2027-11-14,Meredith Alcorn,60,1320,Floated
recEv000000000027,2026-10-01T09:00:00.000Z,EV-2027-1211,2027-12-11,Northeast Aviation,130,2860,Floated
