id,customer,subscription,amount_due,amount_paid,currency,status,number,charge,created,due_date
inv_001,cus_ralph,sub_001,0,0,usd,paid,DELANEY-0001,ch_hon_001,1760356800,1760356800
inv_501,cus_301,sub_601,38000,38000,usd,paid,DELANEY-1001,ch_401,1760358000,1761654000
inv_502,cus_302,sub_602,38500,38500,usd,paid,DELANEY-1002,ch_402,1760359200,1761655200
inv_503,cus_303,sub_603,39000,39000,usd,paid,DELANEY-1003,ch_403,1760360400,1761656400
inv_504,cus_304,sub_604,39500,39500,usd,paid,DELANEY-1004,ch_404,1760361600,1761657600
inv_505,cus_305,sub_605,40000,40000,usd,paid,DELANEY-1005,ch_405,1760362800,1761658800
inv_506,cus_306,sub_606,40500,40500,usd,paid,DELANEY-1006,ch_406,1760364000,1761660000
inv_507,cus_307,sub_607,41000,41000,usd,paid,DELANEY-1007,ch_407,1760365200,1761661200
inv_508,cus_308,sub_608,41500,41500,usd,paid,DELANEY-1008,ch_408,1760366400,1761662400
inv_509,cus_309,sub_609,42000,42000,usd,paid,DELANEY-1009,ch_409,1760367600,1761663600
inv_510,cus_310,sub_610,42500,42500,usd,paid,DELANEY-1010,ch_410,1760368800,1761664800
inv_511,cus_311,sub_611,43000,43000,usd,paid,DELANEY-1011,ch_411,1760370000,1761666000
inv_512,cus_312,sub_612,43500,43500,usd,paid,DELANEY-1012,ch_412,1760371200,1761667200
inv_513,cus_313,sub_613,44000,44000,usd,paid,DELANEY-1013,ch_413,1760372400,1761668400
inv_514,cus_314,sub_614,44500,44500,usd,paid,DELANEY-1014,ch_414,1760373600,1761669600
inv_515,cus_315,sub_615,45000,45000,usd,paid,DELANEY-1015,ch_415,1760374800,1761670800
inv_516,cus_ralph,sub_616,45500,45500,usd,paid,DELANEY-1016,ch_416,1760376000,1761672000
inv_517,cus_301,sub_617,46000,46000,usd,paid,DELANEY-1017,ch_417,1760377200,1761673200
