# Associated Bank, N.A.  Account: Heather Cole  Checking xxxxxx6052
# Statement period: 2026-01-01 to 2026-01-31
Date	Description	Category	Amount	Balance
2026-01-01	Beginning balance	Opening		3200.00
2026-01-01	Rent, Titletown Residential LLC	Housing	-1050.00	2150.00
2026-01-02	Payroll, Fox Valley Womens Health	Income	2676.92	4826.92
2026-01-03	Pick n Save Ashwaubenon	Groceries	-82.40	4744.52
2026-01-05	Nelnet student loan payment	Debt	-850.00	3894.52
2026-01-05	Spotify Premium	Subscription	-11.99	3882.53
2026-01-06	Shell gas station	Gas	-38.20	3844.33
2026-01-08	Netflix	Subscription	-15.49	3828.84
2026-01-09	Kavarna Coffee	Dining	-6.50	3822.34
2026-01-10	Amazon Prime membership	Subscription	-14.99	3807.35
2026-01-10	Target Ashwaubenon	Shopping	-54.32	3753.03
2026-01-12	Peloton App Membership	Subscription	-12.99	3740.04
2026-01-13	Honda Financial Services autopay	Debt	-420.00	3320.04
2026-01-14	Pick n Save Ashwaubenon	Groceries	-76.10	3243.94
2026-01-15	Transfer to Associated savings 4471	Transfer	-2000.00	1243.94
2026-01-16	Payroll, Fox Valley Womens Health	Income	2676.92	3920.86
2026-01-17	Hagemeister Park	Dining	-88.45	3832.41
2026-01-18	Walgreens pharmacy, dienogest	Medical	-25.00	3807.41
2026-01-20	American Family Insurance, auto	Insurance	-104.90	3702.51
2026-01-21	NYT Digital	Subscription	-4.25	3698.26
2026-01-22	Shell gas station	Gas	-36.75	3661.51
2026-01-24	Pick n Save Ashwaubenon	Groceries	-71.20	3590.31
2026-01-26	iCloud+ storage	Subscription	-2.99	3587.32
2026-01-27	T-Mobile	Phone	-60.00	3527.32
2026-01-28	Nakashima of Japan	Dining	-52.80	3474.52
2026-01-30	Payroll, Fox Valley Womens Health	Income	2676.92	6151.44
2026-01-31	Wisconsin Public Service, utility	Utilities	-131.47	6019.97
2026-01-31	Ending balance	Closing		6019.97
