transaction_id,account_id,amount,iso_currency_code,date,name,merchant_name,category,pending,payment_channel
ptx-00000,plaid-chq,225.03,CAD,2026-08-01,Loblaws,Loblaws,Groceries,false,in store
ptx-00001,plaid-sav,169.89,CAD,2026-08-02,Metro,Metro,Dining,false,in store
ptx-00002,plaid-chq,212.58,CAD,2026-08-03,Petro Canada,Petro Canada,Groceries,false,online
ptx-00003,plaid-sav,234.95,CAD,2026-08-04,TTC,TTC,Dining,false,in store
ptx-00004,plaid-chq,309.82,CAD,2026-08-05,Amazon,Amazon,Dining,false,in store
ptx-00005,plaid-sav,296.9,CAD,2026-08-06,The Brick Oven Table,The Brick Oven Table,Dining,false,in store
ptx-00006,plaid-chq,28.04,CAD,2026-08-07,Shoppers Drug Mart,Shoppers Drug Mart,Dining,false,online
ptx-00007,plaid-sav,227.48,CAD,2026-08-08,Home Hardware,Home Hardware,Transport,false,online
ptx-00008,plaid-chq,6.19,CAD,2026-08-09,Netflix,Netflix,Dining,false,online
ptx-00009,plaid-sav,101.24,CAD,2026-08-10,Hydro One,Hydro One,Groceries,false,in store
ptx-00010,plaid-chq,89.2,CAD,2026-08-11,Loblaws,Loblaws,Transport,false,in store
ptx-00011,plaid-sav,29.31,CAD,2026-08-12,Metro,Metro,Dining,false,online
ptx-00012,plaid-chq,253.66,CAD,2026-08-13,Petro Canada,Petro Canada,Transport,false,online
ptx-00013,plaid-sav,162.53,CAD,2026-08-14,TTC,TTC,Utilities,false,online
ptx-00014,plaid-chq,59.8,CAD,2026-08-15,Amazon,Amazon,Shopping,false,in store
ptx-00015,plaid-sav,251.03,CAD,2026-08-16,The Brick Oven Table,The Brick Oven Table,Shopping,false,online
ptx-00016,plaid-chq,274.88,CAD,2026-08-17,Shoppers Drug Mart,Shoppers Drug Mart,Groceries,false,in store
ptx-00017,plaid-sav,261.98,CAD,2026-08-18,Home Hardware,Home Hardware,Shopping,false,online
