id,page_id,author,body,created_at
cfc-01,cfp_mv_eq_966f_legacy_log,emp-0022,"Reconciliation debt: 2021-06-02 hr_meter=12,103 was never verified against Jira. Do not use standalone.",2022-08-10T15:00:00-06:00
cfc-02,cfp_mv_proc_2024_draft,emp-0018,Draft only. Requires legal review before adoption. Do not reference in production tickets.,2024-05-11T15:00:00-06:00
cfc-7000,cfp_mv_extra_6000,emp-0022,Reviewed 2022-01. No changes needed.,2022-01-01T10:00:00-06:00
cfc-7001,cfp_mv_extra_6002,emp-0034,Reviewed 2023-02. No changes needed.,2023-02-02T10:00:00-06:00
cfc-7002,cfp_mv_extra_6004,emp-0022,Reviewed 2024-03. No changes needed.,2024-03-03T10:00:00-06:00
cfc-7003,cfp_mv_extra_6006,emp-0034,Reviewed 2025-04. No changes needed.,2025-04-04T10:00:00-06:00
cfc-7004,cfp_mv_extra_6008,emp-0022,Reviewed 2022-05. No changes needed.,2022-05-05T10:00:00-06:00
cfc-7005,cfp_mv_extra_6010,emp-0034,Reviewed 2023-06. No changes needed.,2023-06-06T10:00:00-06:00
cfc-7006,cfp_mv_extra_6012,emp-0022,Reviewed 2024-07. No changes needed.,2024-07-07T10:00:00-06:00
cfc-7007,cfp_mv_extra_6014,emp-0034,Reviewed 2025-08. No changes needed.,2025-08-08T10:00:00-06:00
cfc-7008,cfp_mv_extra_6016,emp-0022,Reviewed 2022-09. No changes needed.,2022-09-09T10:00:00-06:00
cfc-7009,cfp_mv_extra_6018,emp-0034,Reviewed 2023-10. No changes needed.,2023-10-10T10:00:00-06:00
cfc-7010,cfp_mv_extra_6020,emp-0022,Reviewed 2024-11. No changes needed.,2024-11-11T10:00:00-06:00
cfc-7011,cfp_mv_extra_6022,emp-0034,Reviewed 2025-12. No changes needed.,2025-12-12T10:00:00-06:00
cfc-7012,cfp_mv_extra_6024,emp-0022,Reviewed 2022-01. No changes needed.,2022-01-13T10:00:00-06:00
cfc-7013,cfp_mv_extra_6026,emp-0034,Reviewed 2023-02. No changes needed.,2023-02-14T10:00:00-06:00
cfc-7014,cfp_mv_extra_6028,emp-0022,Reviewed 2024-03. No changes needed.,2024-03-15T10:00:00-06:00
cfc-7015,cfp_mv_extra_6030,emp-0034,Reviewed 2025-04. No changes needed.,2025-04-16T10:00:00-06:00
cfc-7016,cfp_mv_extra_6032,emp-0022,Reviewed 2022-05. No changes needed.,2022-05-17T10:00:00-06:00
cfc-7017,cfp_mv_extra_6034,emp-0034,Reviewed 2023-06. No changes needed.,2023-06-18T10:00:00-06:00
cfc-7018,cfp_mv_extra_6036,emp-0022,Reviewed 2024-07. No changes needed.,2024-07-19T10:00:00-06:00
cfc-7019,cfp_mv_extra_6038,emp-0034,Reviewed 2025-08. No changes needed.,2025-08-20T10:00:00-06:00
cfc-7020,cfp_mv_extra_6040,emp-0022,Reviewed 2022-09. No changes needed.,2022-09-21T10:00:00-06:00
cfc-7021,cfp_mv_extra_6042,emp-0034,Reviewed 2023-10. No changes needed.,2023-10-22T10:00:00-06:00
cfc-7022,cfp_mv_extra_6044,emp-0022,Reviewed 2024-11. No changes needed.,2024-11-23T10:00:00-06:00
cfc-7023,cfp_mv_extra_6046,emp-0034,Reviewed 2025-12. No changes needed.,2025-12-24T10:00:00-06:00
cfc-7024,cfp_mv_extra_6048,emp-0022,Reviewed 2022-01. No changes needed.,2022-01-25T10:00:00-06:00
cfc-7025,cfp_mv_extra_6050,emp-0034,Reviewed 2023-02. No changes needed.,2023-02-26T10:00:00-06:00
cfc-7026,cfp_mv_extra_6052,emp-0022,Reviewed 2024-03. No changes needed.,2024-03-27T10:00:00-06:00
cfc-7027,cfp_mv_extra_6054,emp-0034,Reviewed 2025-04. No changes needed.,2025-04-01T10:00:00-06:00
cfc-7028,cfp_mv_extra_6056,emp-0022,Reviewed 2022-05. No changes needed.,2022-05-02T10:00:00-06:00
cfc-7029,cfp_mv_extra_6058,emp-0034,Reviewed 2023-06. No changes needed.,2023-06-03T10:00:00-06:00
cfc-7030,cfp_mv_extra_6060,emp-0022,Reviewed 2024-07. No changes needed.,2024-07-04T10:00:00-06:00
cfc-7031,cfp_mv_extra_6062,emp-0034,Reviewed 2025-08. No changes needed.,2025-08-05T10:00:00-06:00
cfc-7032,cfp_mv_extra_6001,emp-0022,Reviewed 2022-09. No changes needed.,2022-09-06T10:00:00-06:00
cfc-7033,cfp_mv_extra_6003,emp-0034,Reviewed 2023-10. No changes needed.,2023-10-07T10:00:00-06:00
cfc-7034,cfp_mv_extra_6005,emp-0022,Reviewed 2024-11. No changes needed.,2024-11-08T10:00:00-06:00
cfc-7035,cfp_mv_extra_6007,emp-0034,Reviewed 2025-12. No changes needed.,2025-12-09T10:00:00-06:00
cfc-7036,cfp_mv_extra_6009,emp-0022,Reviewed 2022-01. No changes needed.,2022-01-10T10:00:00-06:00
cfc-7037,cfp_mv_extra_6011,emp-0034,Reviewed 2023-02. No changes needed.,2023-02-11T10:00:00-06:00
