sid,from_number,to_number,body,status,direction,num_segments,price,price_unit,error_code,date_sent,date_created
SM0000000000000000000000000000001,+16175550177,+16175550419,Tonight door code 4471 sitter 6 to 7am see you,delivered,outbound-api,1,-0.0079,USD,,2026-10-05T18:15:00Z,2026-10-05T18:15:00Z
SM0000000000000000000000000000002,+16175550177,+16175550177,Reminder Sun Mon Tue block starts 7pm tonight groceries and Chloes lunchbox handled,delivered,outbound-api,1,-0.0079,USD,,2026-10-31T17:30:00Z,2026-10-31T17:30:00Z
SM0000000000000000000000000000003,+16175550419,+16175550177,Here on time. Have my textbook. Feed at 730?,received,inbound,1,0,USD,,2026-10-05T18:55:00Z,2026-10-05T18:55:00Z
SM_kc_bg_200,+16175550177,+16175550419,Background SMS thread message 1 about schedule coordination,delivered,outbound-api,1,-0.0079,USD,,2026-09-01T18:00:00Z,2026-09-01T18:00:00Z
SM_kc_bg_201,+16175550419,+16175550177,Background SMS thread message 2 about sitter arrival,delivered,inbound,1,0,USD,,2026-09-02T18:55:00Z,2026-09-02T18:55:00Z
SM_kc_bg_202,+16175550177,+16175550419,Background SMS thread message 3 about door code,delivered,outbound-api,1,-0.0079,USD,,2026-09-03T18:15:00Z,2026-09-03T18:15:00Z
SM_kc_bg_203,+16175550419,+16175550177,Background SMS thread message 4 about homework check,delivered,inbound,1,0,USD,,2026-09-04T18:55:00Z,2026-09-04T18:55:00Z
SM_kc_bg_204,+16175550177,+16175550419,Background SMS thread message 5 about bedtime routine,delivered,outbound-api,1,-0.0079,USD,,2026-09-05T18:15:00Z,2026-09-05T18:15:00Z
SM_kc_bg_205,+16175550419,+16175550177,Background SMS thread message 6 about Liam hockey gear,delivered,inbound,1,0,USD,,2026-09-06T18:55:00Z,2026-09-06T18:55:00Z
SM_kc_bg_206,+16175550177,+16175550419,Background SMS thread message 7 about Chloe art supplies,delivered,outbound-api,1,-0.0079,USD,,2026-09-07T18:15:00Z,2026-09-07T18:15:00Z
SM_kc_bg_207,+16175550419,+16175550177,Background SMS thread message 8 about dinner leftovers,delivered,inbound,1,0,USD,,2026-09-08T18:55:00Z,2026-09-08T18:55:00Z
SM_kc_bg_208,+16175550177,+16175550419,Background SMS thread message 9 about morning pickup,delivered,outbound-api,1,-0.0079,USD,,2026-09-09T18:15:00Z,2026-09-09T18:15:00Z
SM_kc_bg_209,+16175550419,+16175550177,Background SMS thread message 10 about school forms,delivered,inbound,1,0,USD,,2026-09-10T18:55:00Z,2026-09-10T18:55:00Z
SM_kc_bg_210,+16175550177,+16175550419,Background SMS thread message 11 about weekend swap,delivered,outbound-api,1,-0.0079,USD,,2026-09-11T18:15:00Z,2026-09-11T18:15:00Z
SM_kc_bg_211,+16175550419,+16175550177,Background SMS thread message 12 about scouts meeting,delivered,inbound,1,0,USD,,2026-09-12T18:55:00Z,2026-09-12T18:55:00Z
SM_kc_bg_212,+16175550177,+16175550419,Background SMS thread message 13 about grocery list,delivered,outbound-api,1,-0.0079,USD,,2026-09-13T18:15:00Z,2026-09-13T18:15:00Z
SM_kc_bg_213,+16175550419,+16175550177,Background SMS thread message 14 about car seat install,delivered,inbound,1,0,USD,,2026-09-14T18:55:00Z,2026-09-14T18:55:00Z
SM_kc_bg_214,+16175550177,+16175550419,Background SMS thread message 15 about October block,delivered,outbound-api,1,-0.0079,USD,,2026-10-01T18:15:00Z,2026-10-01T18:15:00Z
SM_kc_bg_215,+16175550419,+16175550177,Background SMS thread message 16 about textbook return,delivered,inbound,1,0,USD,,2026-10-02T18:55:00Z,2026-10-02T18:55:00Z
SM_kc_bg_216,+16175550177,+16175550419,Background SMS thread message 17 about lunchbox note,delivered,outbound-api,1,-0.0079,USD,,2026-10-03T18:15:00Z,2026-10-03T18:15:00Z
SM_kc_bg_217,+16175550419,+16175550177,Background SMS thread message 18 about early release,delivered,inbound,1,0,USD,,2026-10-04T18:55:00Z,2026-10-04T18:55:00Z
SM_kc_bg_218,+16175550177,+16175550419,Background SMS thread message 19 about sitter payment,delivered,outbound-api,1,-0.0079,USD,,2026-10-06T18:15:00Z,2026-10-06T18:15:00Z
SM_kc_bg_219,+16175550419,+16175550177,Background SMS thread message 20 about flu shot reminder,delivered,inbound,1,0,USD,,2026-10-07T18:55:00Z,2026-10-07T18:55:00Z
SM_kc_bg_220,+16175550177,+16175550419,Background SMS thread message 21 about Halloween costume,delivered,outbound-api,1,-0.0079,USD,,2026-10-08T18:15:00Z,2026-10-08T18:15:00Z
SM_kc_bg_221,+16175550419,+16175550177,Background SMS thread message 22 about parent teacher,delivered,inbound,1,0,USD,,2026-10-09T18:55:00Z,2026-10-09T18:55:00Z
SM_kc_bg_222,+16175550177,+16175550419,Background SMS thread message 23 about November coverage,delivered,outbound-api,1,-0.0079,USD,,2026-10-10T18:15:00Z,2026-10-10T18:15:00Z
SM_kc_bg_223,+16175550419,+16175550177,Background SMS thread message 24 about finals week,delivered,inbound,1,0,USD,,2026-10-11T18:55:00Z,2026-10-11T18:55:00Z
SM_kc_bg_224,+16175550177,+16175550419,Background SMS thread message 25 about Thanksgiving plans,delivered,outbound-api,1,-0.0079,USD,,2026-10-12T18:15:00Z,2026-10-12T18:15:00Z
SM_kc_bg_225,+16175550419,+16175550177,Background SMS thread message 26 about communion outfit,delivered,inbound,1,0,USD,,2026-10-13T18:55:00Z,2026-10-13T18:55:00Z
SM_kc_bg_226,+16175550177,+16175550419,Background SMS thread message 27 about winter concert,delivered,outbound-api,1,-0.0079,USD,,2026-10-14T18:15:00Z,2026-10-14T18:15:00Z
